id,account_id,month,aop_amount
1090,383289569650,2025-01-01,0.0
1091,383289569650,2025-02-01,0.0
1092,383289569650,2025-03-01,0.0
1093,388138748053,2024-04-01,0.0
1094,388138748053,2024-05-01,0.0
1095,388138748053,2024-06-01,0.0
1096,388138748053,2024-07-01,0.0
1097,388138748053,2024-08-01,0.0
1098,388138748053,2024-09-01,0.0
1099,388138748053,2024-10-01,0.0
1100,388138748053,2024-11-01,0.0
1101,388138748053,2024-12-01,0.0
1102,388138748053,2025-01-01,0.0
1103,388138748053,2025-02-01,0.0
1104,388138748053,2025-03-01,0.0
1129,416222998094,2024-04-01,0.0
1130,416222998094,2024-05-01,0.0
1131,416222998094,2024-06-01,0.0
1132,416222998094,2024-07-01,0.0
1133,416222998094,2024-08-01,0.0
1134,416222998094,2024-09-01,0.0
1135,416222998094,2024-10-01,0.0
1136,416222998094,2024-11-01,0.0
1137,416222998094,2024-12-01,0.0
1138,416222998094,2025-01-01,0.0
1139,416222998094,2025-02-01,0.0
1140,416222998094,2025-03-01,0.0
1141,416485671007,2024-04-01,0.0
1142,416485671007,2024-05-01,0.0
1143,416485671007,2024-06-01,0.0
1144,416485671007,2024-07-01,0.0
1145,416485671007,2024-08-01,0.0
1146,416485671007,2024-09-01,0.0
1147,416485671007,2024-10-01,0.0
1148,416485671007,2024-11-01,0.0
1149,416485671007,2024-12-01,0.0
1150,416485671007,2025-01-01,0.0
1151,416485671007,2025-02-01,0.0
1152,416485671007,2025-03-01,0.0
1201,433726475936,2024-04-01,0.0
1202,433726475936,2024-05-01,0.0
1203,433726475936,2024-06-01,0.0
1204,433726475936,2024-07-01,0.0
1205,433726475936,2024-08-01,0.0
1206,433726475936,2024-09-01,0.0
1207,433726475936,2024-10-01,0.0
1208,433726475936,2024-11-01,0.0
1209,433726475936,2024-12-01,0.0
1210,433726475936,2025-01-01,0.0
1211,433726475936,2025-02-01,0.0
1212,433726475936,2025-03-01,0.0
1261,448905424764,2024-04-01,0.0
1262,448905424764,2024-05-01,0.0
1263,448905424764,2024-06-01,0.0
1264,448905424764,2024-07-01,0.0
1265,448905424764,2024-08-01,0.0
1266,448905424764,2024-09-01,0.0
1267,448905424764,2024-10-01,0.0
1268,448905424764,2024-11-01,0.0
1269,448905424764,2024-12-01,0.0
1270,448905424764,2025-01-01,0.0
1271,448905424764,2025-02-01,0.0
1272,448905424764,2025-03-01,0.0
1285,463470958933,2024-04-01,0.0
1286,463470958933,2024-05-01,0.0
1287,463470958933,2024-06-01,0.0
1288,463470958933,2024-07-01,0.0
1289,463470958933,2024-08-01,0.0
1290,463470958933,2024-09-01,0.0
1291,463470958933,2024-10-01,0.0
1292,463470958933,2024-11-01,0.0
1293,463470958933,2024-12-01,0.0
1294,463470958933,2025-01-01,0.0
1295,463470958933,2025-02-01,0.0
1296,463470958933,2025-03-01,0.0
1309,466739061204,2024-04-01,0.0
1310,466739061204,2024-05-01,0.0
1311,466739061204,2024-06-01,0.0
1312,466739061204,2024-07-01,0.0
1313,466739061204,2024-08-01,0.0
1314,466739061204,2024-09-01,0.0
1315,466739061204,2024-10-01,0.0
