service_id,service_name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
73,Claude 3 Haiku ( Bedrock Edition),0.0000,0.0000,0.0000,0.0888,45.3872,0.0000,0.0000,0.0000,0.0806,0.0521,0.1057,0.0000
74,Claude 3 Sonnet ( Bedrock Edition),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3168,,5.9511,7.5961,12.8779,16.3384
75,Macie,3.0578,3.1598,3.0315,2.9559,2.9559,2.7948,2.9559,2.8606,2.9559,2.9559,2.6699,2.9559
76,MemoryDB,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,25.8782
77,Cloud Native Database for MariaDB 10.6 (Ubuntu),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.1100,0.0000,0.0000,0.0000,0.0000
78,IoT Device Defender,1.1097,2.1702,2.8782,0.6035,0.8763,1.0352,0.7806,0.5147,0.7989,3.9785,0.8788,1.1625
79,Claude 3.5 Sonnet ( Bedrock Edition),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9033,3.9791
80,Security Hub,0.9940,0.9920,0.9600,0.9920,0.9920,0.9600,0.9920,0.9600,0.9920,0.9920,0.8960,0.9920
81,Amplify,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,10.2689
82,CodePipeline,2.0000,3.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3840
83,OpenJDK 8 (Java 8) on CentOS 7,7.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,Claude 3.7 Sonnet ( Bedrock Edition),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0093
85,CodeBuild,0.8820,0.8160,0.0960,0.0000,0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7300
86,FSx,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2923,0.2926,0.2926,0.2926,0.2926,0.2926
87,Compute Optimizer,0.2419,0.2500,0.2419,0.2500,0.2500,0.2419,0.2500,0.2419,0.2500,0.2500,0.2258,0.2500
88,DevOps Guru,1.2247,0.1685,0.1282,0.1899,0.1434,0.0688,0.1538,0.1034,0.0884,0.0750,0.3861,0.0346
89,CodeArtifact,0.1053,0.0992,0.1025,0.1012,0.1020,0.1013,0.1032,0.1042,0.1092,0.1115,0.1108,0.1100
90,Polly,0.0000,0.0000,0.0000,0.4416,0.2215,0.1765,0.0520,0.0000,0.0000,0.0000,0.0000,0.0000
91,Keyspaces (for Apache Cassandra),0.0324,0.0314,0.0411,0.0390,0.0341,0.0581,0.0528,0.0376,0.0353,0.0417,0.0366,0.0361
92,Transcribe,0.0000,0.0060,0.0000,0.1589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,CentOS 7.9 (ARM) with support by Fleximg - Kernel 5.10,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,Claude 3.5 Haiku ( Bedrock Edition),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0182
95,Location Service,0.0067,0.0069,0.0065,0.0069,0.0172,0.0067,0.0120,0.0092,0.0053,0.0053,0.0050,0.0057
