id,account_id,month,spend,service_type
358,155772818492,2025-01-01,0.0,compute
359,155772818492,2025-02-01,0.0,compute
360,155772818492,2025-03-01,0.0,compute
361,159245624542,2024-04-01,2300.0,compute
362,159245624542,2024-05-01,2800.0,compute
363,159245624542,2024-06-01,1700.0,compute
364,159245624542,2024-07-01,1900.0,compute
365,159245624542,2024-08-01,1200.0,compute
366,159245624542,2024-09-01,1200.0,compute
367,159245624542,2024-10-01,1300.0,compute
368,159245624542,2024-11-01,1400.0,compute
369,159245624542,2024-12-01,0.0,compute
370,159245624542,2025-01-01,0.0,compute
371,159245624542,2025-02-01,0.0,compute
372,159245624542,2025-03-01,0.0,compute
433,189893850600,2024-04-01,71000.0,compute
434,189893850600,2024-05-01,66000.0,compute
435,189893850600,2024-06-01,68300.0,compute
436,189893850600,2024-07-01,64400.0,compute
437,189893850600,2024-08-01,63000.0,compute
438,189893850600,2024-09-01,68300.0,compute
439,189893850600,2024-10-01,78600.0,compute
440,189893850600,2024-11-01,78100.0,compute
441,189893850600,2024-12-01,79700.0,compute
442,189893850600,2025-01-01,84400.0,compute
443,189893850600,2025-02-01,86000.0,compute
444,189893850600,2025-03-01,87600.0,compute
457,211125336551,2024-04-01,5300.0,compute
458,211125336551,2024-05-01,5500.0,compute
459,211125336551,2024-06-01,5400.0,compute
460,211125336551,2024-07-01,5900.0,compute
461,211125336551,2024-08-01,6400.0,compute
462,211125336551,2024-09-01,6200.0,compute
463,211125336551,2024-10-01,6800.0,compute
464,211125336551,2024-11-01,6400.0,compute
465,211125336551,2024-12-01,0.0,compute
466,211125336551,2025-01-01,0.0,compute
467,211125336551,2025-02-01,0.0,compute
468,211125336551,2025-03-01,0.0,compute
601,271855570343,2024-04-01,700.0,compute
602,271855570343,2024-05-01,800.0,compute
603,271855570343,2024-06-01,800.0,compute
604,271855570343,2024-07-01,800.0,compute
605,271855570343,2024-08-01,800.0,compute
606,271855570343,2024-09-01,800.0,compute
607,271855570343,2024-10-01,800.0,compute
608,271855570343,2024-11-01,700.0,compute
609,271855570343,2024-12-01,800.0,compute
610,271855570343,2025-01-01,800.0,compute
611,271855570343,2025-02-01,800.0,compute
612,271855570343,2025-03-01,800.0,compute
649,302399626617,2024-04-01,200.0,compute
650,302399626617,2024-05-01,300.0,compute
651,302399626617,2024-06-01,100.0,compute
652,302399626617,2024-07-01,0.0,compute
653,302399626617,2024-08-01,0.0,compute
654,302399626617,2024-09-01,0.0,compute
655,302399626617,2024-10-01,0.0,compute
656,302399626617,2024-11-01,0.0,compute
657,302399626617,2024-12-01,0.0,compute
658,302399626617,2025-01-01,0.0,compute
659,302399626617,2025-02-01,0.0,compute
660,302399626617,2025-03-01,0.0,compute
757,339712912282,2024-04-01,0.0,compute
758,339712912282,2024-05-01,0.0,compute
759,339712912282,2024-06-01,0.0,compute
760,339712912282,2024-07-01,0.0,compute
761,339712912282,2024-08-01,300.0,compute
762,339712912282,2024-09-01,700.0,compute
763,339712912282,2024-10-01,1000.0,compute
764,339712912282,2024-11-01,1300.0,compute
765,339712912282,2024-12-01,0.0,compute
766,339712912282,2025-01-01,0.0,compute
767,339712912282,2025-02-01,0.0,compute
768,339712912282,2025-03-01,0.0,compute
841,370214104985,2024-04-01,0.0,compute
842,370214104985,2024-05-01,0.0,compute
843,370214104985,2024-06-01,0.0,compute
844,370214104985,2024-07-01,0.0,compute
845,370214104985,2024-08-01,0.0,compute
846,370214104985,2024-09-01,0.0,compute
847,370214104985,2024-10-01,0.0,compute
848,370214104985,2024-11-01,0.0,compute
849,370214104985,2024-12-01,0.0,compute
850,370214104985,2025-01-01,0.0,compute
851,370214104985,2025-02-01,0.0,compute
852,370214104985,2025-03-01,0.0,compute
865,381492106076,2024-04-01,400.0,compute
866,381492106076,2024-05-01,3500.0,compute
867,381492106076,2024-06-01,4700.0,compute
868,381492106076,2024-07-01,5600.0,compute
869,381492106076,2024-08-01,6900.0,compute
870,381492106076,2024-09-01,2500.0,compute
871,381492106076,2024-10-01,2000.0,compute
872,381492106076,2024-11-01,2000.0,compute
873,381492106076,2024-12-01,2100.0,compute
874,381492106076,2025-01-01,2200.0,compute
875,381492106076,2025-02-01,2300.0,compute
876,381492106076,2025-03-01,2400.0,compute
877,381492193378,2024-04-01,3500.0,compute
878,381492193378,2024-05-01,4700.0,compute
879,381492193378,2024-06-01,5700.0,compute
880,381492193378,2024-07-01,6800.0,compute
881,381492193378,2024-08-01,7100.0,compute
882,381492193378,2024-09-01,6600.0,compute
883,381492193378,2024-10-01,6700.0,compute
884,381492193378,2024-11-01,6800.0,compute
885,381492193378,2024-12-01,0.0,compute
886,381492193378,2025-01-01,0.0,compute
887,381492193378,2025-02-01,0.0,compute
888,381492193378,2025-03-01,0.0,compute
925,423387369363,2024-04-01,800.0,compute
926,423387369363,2024-05-01,800.0,compute
927,423387369363,2024-06-01,800.0,compute
928,423387369363,2024-07-01,800.0,compute
929,423387369363,2024-08-01,800.0,compute
930,423387369363,2024-09-01,800.0,compute
931,423387369363,2024-10-01,800.0,compute
932,423387369363,2024-11-01,800.0,compute
933,423387369363,2024-12-01,0.0,compute
934,423387369363,2025-01-01,0.0,compute
935,423387369363,2025-02-01,0.0,compute
936,423387369363,2025-03-01,0.0,compute
973,442231926211,2024-04-01,8800.0,compute
974,442231926211,2024-05-01,8500.0,compute
975,442231926211,2024-06-01,5900.0,compute
976,442231926211,2024-07-01,100.0,compute
977,442231926211,2024-08-01,0.0,compute
978,442231926211,2024-09-01,0.0,compute
979,442231926211,2024-10-01,0.0,compute
980,442231926211,2024-11-01,0.0,compute
981,442231926211,2024-12-01,0.0,compute
982,442231926211,2025-01-01,0.0,compute
983,442231926211,2025-02-01,0.0,compute
984,442231926211,2025-03-01,0.0,compute
1057,471112548387,2024-04-01,7300.0,compute
1058,471112548387,2024-05-01,7200.0,compute
1059,471112548387,2024-06-01,6800.0,compute
1060,471112548387,2024-07-01,6700.0,compute
1061,471112548387,2024-08-01,6700.0,compute
1062,471112548387,2024-09-01,6700.0,compute
1063,471112548387,2024-10-01,7000.0,compute
1064,471112548387,2024-11-01,6900.0,compute
1065,471112548387,2024-12-01,7000.0,compute
1066,471112548387,2025-01-01,10200.0,compute
1067,471112548387,2025-02-01,10300.0,compute
1068,471112548387,2025-03-01,10400.0,compute
1069,471112571211,2024-04-01,289100.0,compute
1070,471112571211,2024-05-01,278300.0,compute
1071,471112571211,2024-06-01,262700.0,compute
1072,471112571211,2024-07-01,287100.0,compute
1073,471112571211,2024-08-01,310800.0,compute
1074,471112571211,2024-09-01,329600.0,compute
1075,471112571211,2024-10-01,289500.0,compute
1076,471112571211,2024-11-01,278300.0,compute
1077,471112571211,2024-12-01,270800.0,compute
1078,471112571211,2025-01-01,266700.0,compute
1079,471112571211,2025-02-01,269300.0,compute
1080,471112571211,2025-03-01,271900.0,compute
1117,475804058290,2024-04-01,21300.0,compute
1118,475804058290,2024-05-01,24400.0,compute
1119,475804058290,2024-06-01,24100.0,compute
