account_id,month,spend
337891198417,Aug-2024,39351
752518464574,Aug-2024,22979
929265682896,Aug-2024,24227
021891570382,Aug-2024,1167
419830208690,Aug-2024,20422
753168370952,Aug-2024,22245
161115069565,Aug-2024,18150
233815244996,Aug-2024,18336
522974168642,Aug-2024,15444
28914776520,Aug-2024,16058
546818093346,Aug-2024,31395
758230397644,Aug-2024,14395
252197745876,Aug-2024,13767
576293063887,Aug-2024,12022
251917288737,Aug-2024,11036
474140895141,Aug-2024,12197
239103975135,Aug-2024,10600
789596305652,Aug-2024,8194
072401294672,Aug-2024,9687
495419344110,Aug-2024,10222
339712759199,Aug-2024,5682
340677782776,Aug-2024,7352
984308723723,Aug-2024,8149
407648374860,Aug-2024,7186
480732456233,Aug-2024,7516
885068115609,Aug-2024,5751
339712810712,Aug-2024,5000
318633126153,Aug-2024,6370
090436275138,Aug-2024,6862
952840895893,Aug-2024,5420
442447453008,Aug-2024,4931
66548792077,Aug-2024,1610
685585466397,Aug-2024,4624
337158390682,Aug-2024,4296
471112958605,Aug-2024,2876
698979518480,Aug-2024,5901
615069360012,Aug-2024,3397
997924011427,Aug-2024,4283
68930846606,Aug-2024,3964
131752971524,Aug-2024,1462
66636274316,Aug-2024,3550
64619502227,Aug-2024,3993
562921704166,Aug-2024,3660
97001033170,Aug-2024,3172
848332057417,Aug-2024,3322
718893572916,Aug-2024,3071
914516902729,Aug-2024,1683
736384229724,Aug-2024,3936
127247839315,Aug-2024,2443
722152247093,Aug-2024,2681
664526282133,Aug-2024,2448
611670160261,Aug-2024,1976
439726107081,Aug-2024,2256
821240137883,Aug-2024,2190
469795226344,Aug-2024,60505
368920154232,Aug-2024,1542
135329050410,Aug-2024,1390
54736913503,Aug-2024,2368
824873459626,Aug-2024,1625
625612021127,Aug-2024,1750
465354398947,Aug-2024,1220
272968093320,Aug-2024,1224
494799526181,Aug-2024,1200
153518195166,Aug-2024,1015
481935107677,Aug-2024,965
505767364771,Aug-2024,284
389881277731,Aug-2024,813
17820698743,Aug-2024,49
954976288980,Aug-2024,0
130653941854,Aug-2024,1601
630307967658,Aug-2024,843
745098155683,Aug-2024,652
492902601864,Aug-2024,815
239666495852,Aug-2024,615
510772292268,Aug-2024,954
367464822874,Aug-2024,182
