account_id,account_name,hod_name,entity,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
352506242819,payments-platform_prod_ocl,Gagan Verma,OCL,"755,100.00000000","766,400.00000000","777,900.00000000","789,600.00000000","801,400.00000000","813,400.00000000","825,600.00000000","838,000.00000000","850,600.00000000","863,400.00000000","876,300.00000000","889,500.00000000"
239103975135,QR,Gagan Verma,OCL,"10,300.00000000","10,500.00000000","10,600.00000000","10,700.00000000","10,800.00000000","10,900.00000000","11,000.00000000","11,100.00000000","11,200.00000000","11,300.00000000","11,400.00000000","11,500.00000000"
128131020113,pa-nonprod,Gagan Verma,PPSL,"5,300.00000000","5,300.00000000","5,400.00000000","5,400.00000000","5,500.00000000","5,500.00000000","5,600.00000000","5,700.00000000","5,700.00000000","5,800.00000000","5,800.00000000","5,900.00000000"
189893850600,pa-prod,Gagan Verma,PPSL,"89,300.00000000","113,100.00000000","92,800.00000000","94,600.00000000","96,400.00000000","98,300.00000000","100,200.00000000","124,200.00000000","104,100.00000000","106,200.00000000","108,200.00000000","110,300.00000000"
471112548387,ppsl-affordability-prod,Gagan Verma,PPSL,"10,500.00000000","9,700.00000000","10,700.00000000","10,800.00000000","11,000.00000000","11,100.00000000","11,200.00000000","10,400.00000000","11,400.00000000","11,600.00000000","11,700.00000000","11,800.00000000"
730335596554,ppsl-aml-prod,Gagan Verma,PPSL,"3,600.00000000","3,700.00000000","3,700.00000000","3,700.00000000","3,800.00000000","3,800.00000000","3,900.00000000","3,900.00000000","3,900.00000000","4,000.00000000","4,000.00000000","4,100.00000000"
239937555916,ppsl-cardservice,Gagan Verma,PPSL,"1,200.00000000",800.00000000,"1,200.00000000","1,200.00000000","1,300.00000000","1,300.00000000","1,300.00000000",900.00000000,"1,300.00000000","1,300.00000000","1,300.00000000","1,300.00000000"
905418390117,ppsl-pg2-nonprod,Gagan Verma,PPSL,"10,500.00000000","10,600.00000000","10,700.00000000","10,800.00000000","10,900.00000000","11,100.00000000","11,200.00000000","11,300.00000000","11,400.00000000","11,500.00000000","11,600.00000000","11,700.00000000"
590183666588,ppsl-pg2-prod,Gagan Verma,PPSL,"334,400.00000000","408,200.00000000","343,700.00000000","348,500.00000000","353,300.00000000","358,200.00000000","363,200.00000000","437,400.00000000","373,400.00000000","378,600.00000000","383,800.00000000","389,200.00000000"
590183673148,ppsl-rtdd-prod,Gagan Verma,PPSL,"54,200.00000000","55,300.00000000","56,400.00000000","57,500.00000000","58,700.00000000","59,800.00000000","61,000.00000000","62,200.00000000","63,500.00000000","64,800.00000000","66,100.00000000","67,400.00000000"
913203018054,ppblpgpa-nonprod,Gagan Verma,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
658447621694,hrtech_ocl,Gaurav Chopra, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
700271710604,labs-llm,Harinder Takhar,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
505767364771,Risk Anomaly,Bhaskar Gopalan,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
