"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","Elastic MapReduce($)","Elastic Container Service for Kubernetes($)","Managed Streaming for Apache Kafka($)","VPC($)","Route 53($)","EC2 Container Registry (ECR)($)","GuardDuty($)","CloudWatch($)","QuickSight($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","API Gateway($)","Secrets Manager($)","SNS($)","Lambda($)","DynamoDB($)","Glacier($)","Step Functions($)","SQS($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-04-24","974.928203821","851.0599122008","151.89942966","51.0309226187","30.4133951244","16.8","15.6292418737","14.1003022838","13.4858072","4.8236925936","","2.6218008473","1.6000000128","0.1582860012","0.12","0","0.0007905962","0.00198","0.0000183545","0.0000144281","0.0000103911","0.0000023053","0.0000003612","0.000000644","0.0000006403","","0","0","0","","","2128.673811958"
"2024-04-25","980.7496693468","830.9199005759","158.914988625","51.4277624151","24.2852056284","16.8","15.6316573663","14.1938718148","13.5209744","4.9279565773","","2.6274452501","1.6000000128","0.2025656682","0.11","0","0.0014881181","0.00216","0.0000169133","0.000013665","0.0000091086","0.0000024473","0.000000331","0.0000007084","0.0000006694","","0","0","0","","","2115.9156896418"
"2024-04-26","977.2990141743","809.9705345055","147.9215757115","50.8528608765","18.0055230012","16.8","15.6366596845","14.0722338058","13.4538464","5.0007194395","","2.6491561428","1.6000000128","0.2108180016","0.11","0","0.0007545894","0.00198","0.0000183549","0.0000152835","0.00000057","0.0000022393","0.0000003652","0.000000644","0.0000006111","","0","0","0","","","2073.5857144134"
"2024-04-27","982.8242599755","816.1002315408","163.5128916782","50.1153333553","18.6894770052","16.8","15.6257621802","13.9843034146","13.4783848","5.0614419555","","2.625741164","1.6000000128","0.2095460016","0.05","0","0.0008212735","0.00225","0.0000173524","0.0000127884","0.000000285","0.0000022179","0.0000003788","0.0000007084","0.000000757","","0","0","0","","","2100.6804788451"
"2024-04-28","990.4999236008","814.1127664683","137.4129266769","49.2315105869","18.3304055748","16.8","15.6331599633","13.9471019374","13.4174452","5.1004984944","","2.6156729068","1.6000000128","0.2107910016","0.06","0","0.0007159823","0.00198","0.0000168409","0.0000155286","0.000000285","0.0000023866","0.0000003788","0.000000805","0.0000007278","","0","0","0","","","2078.974935359"
"2024-04-29","998.2674582238","808.8863311525","179.495719227","49.6004740573","17.613354828","16.8","15.6306375448","14.0900458854","13.5333312","5.1315395047","","2.7137758934","1.6000000128","0.2112020016","0.19","0","0.0009019966","0.00198","0.0000213735","0.0000133423","0.0000294633","0.0000025507","0.0000003934","0.0000007084","0.0000006113","","0","0","0","","","2123.7668199708"
"2024-04-30","1012.5305739683","829.3581266585","204.4716771018","49.7828581387","18.7658134404","16.8","15.6062921311","14.2053568846","13.7860892","5.1803179365","","2.7760304755","1.6000000128","0.2108030016","0.11","0","0.0009686818","0.00207","0.0000293551","0.0000149131","0.0000128117","0.0000029569","0.0000003622","0.0000006762","0.0000006987","","0","0","0","","","2185.1870394055"
"2024-05-01","947.9146575869","813.167501348","77.5265550859","49.0373615402","18.4496450964","16.8","15.5414087676","14.0511844013","19.3817344","5.0475925584","","0.726618754","1.548387072","0.197976384","0.12","0","0.000421498","0.00216","0.0000228531","0.0000126272","0.0000004275","0.0000029076","0.000000413","0.000000805","0.0000006405","","0","0","0","","","1979.5132451666"
"2024-05-02","974.3478963557","821.0260002492","129.7940302357","49.6729702749","18.0448755804","16.8","15.5479788392","14.1628705334","13.430782","5.1325612949","","2.7689566946","1.548387072","0.197940384","0.15","0","0.0008113842","0.00216","0.0000216697","0.0000150295","0.0000086887","0.0000030618","0.0000003768","0.0000007084","0.0000007279","","0","0","0","","","2062.628271161"
"2024-05-03","981.1525386176","823.2651110727","142.0859160103","50.0658737268","18.6446188944","16.8","15.5609776377","14.168552386","13.5098268","5.2372696267","","2.7343396999","1.548387072","0.204441384","0.12","0","0.000814898","0.00207","0.0000266244","0.0000133132","0.000001995","0.0000029723","0.0000003446","0.000000644","0.0000006403","","0","0","0","","","2085.1007843599"
"2024-05-04","989.7276158891","820.7050158687","169.0036423255","49.8951468646","18.7748916588","16.8","15.548939876","13.9512611822","13.5032776","5.2945913745","","2.6685373838","1.548387072","0.202860384","0.06","0","0.0006568373","0.00207","0.0000296054","0.0000147978","0.0000009975","0.0000030616","0.000000411","0.000000483","0.0000006695","","0","0","0","","","2117.6869443423"
"2024-05-05","993.0063615295","825.5350406745","118.6135486124","49.6038326695","16.145389686","16.8","15.6360362808","13.9568424863","13.4126812","5.3005586266","","2.6742419051","1.548387072","0.204654384","0.06","0","0.000551461","0.00216","0.0000281694","0.0000130779","0.0000009975","0.0000030277","0.0000003808","0.000000644","0.0000006112","","0","0","0","","","2072.5003334962"
"2024-05-06","1034.4310160162","837.7780824234","194.5652381064","50.2729806717","16.155000534","16.8","15.5988317148","14.0861879473","13.4662564","5.3395616432","","2.7441042564","1.548387072","0.204633384","0.19","0","0.0006462996","0.00207","0.0000239833","0.0000155125","0.000002565","0.0000030743","0.0000004286","0.0000007728","0.0000007276","","0","0","0","","","2203.1830435331"
"2024-05-07","1032.7430157814","866.2490090161","190.1714286829","50.7241932988","16.7343435","16.8","15.6294774106","14.1962215375","13.6551656","5.4183299251","","2.8843480543","1.548387072","0.204429384","0.11","0","0.0014857846","0.00216","0.0000261742","0.0000138735","0.00000171","0.0000030754","0.0000003632","0.0000007406","0.0000006696","","0","0","0","","","2227.0720416538"
