"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"2024-06-09","4.4407588073","3.100219081","2.2356576176","0.01","0","0.001218","0.0019770728","0.000095","0.0000019724","0.0000009984","","0","0","0","0","","9.7899285495"
"2024-06-10","4.4968128498","3.1005276415","2.2459512332","0.01","0","0.00147","0.0019770727","0.00009","0.0000019724","0.0000007488","","0","0","0","0","","9.8568315184"
"2024-06-11","4.6762465915","3.1007979558","2.253400136","0.01","0","0.000966","0.0017220323","0.000085","0.0000014793","0.0000009984","","0","0","0","0","","10.0432201933"
"2024-06-12","4.8372828611","3.1007495444","2.2551351114","0.01","0","0.001512","0.0016570277","0.00009","0.0000014793","0.0000007488","","0","0","0","0","","10.2064287727"
"2024-06-13","4.8196818542","3.1008775724","2.2572818004","0.02","0","0.001512","0.0015420061","0.000075","0.0000019724","0.0000007488","","0","0","0","0","","10.2009729543"
"2024-06-14","4.8325170071","3.100789965","2.2592447064","0.01","0","0.00147","0.0011119828","0.00005","0.0000019724","0.0000009984","","0","0","0","0","","10.2051866321"
"2024-06-15","4.5123015083","3.1007152249","2.2692852386","","0","0.001512","0.0006769149","0.00002","0.0000009862","0.0000004992","","0","0","0","0","","9.8845123721"
"2024-06-16","4.4680559234","3.1005588797","2.2670622294","0.04","0","0.001512","0.0005518649","0.000025","0.0000014793","0.0000007488","","0","0","0","0","","9.8777681255"
"2024-06-17","4.7716000453","3.1011992701","2.273256977","0.05","0","0.001512","0.0005417282","0.00003","0.0000014793","0.0000004992","","0","0","0","0","","10.1981419991"
"2024-06-18","4.6843267646","3.1011117235","2.2713070757","0.06","0","0.00126","0.0006168579","0.000025","0.0000009862","0.0000007488","","0","0","0","0","","10.1186491567"
"2024-06-19","4.7306282457","3.1012646124","2.2774217421","0.05","0","0.001134","0.0006619581","0.00002","0.0000014793","0.0000007488","","0","0","0","0","","10.1611327864"
"2024-06-20","4.646721599","3.1013816718","2.2794830938","0.03","0","0.00105","0.0004768608","0.000015","0.0000009862","0.0000004992","","0","0","0","0","","10.0591297108"
"2024-06-21","4.715922472","3.1012545915","2.2802061739","0.05","0","0.001512","0.0002866878","0.000015","0.0000009862","0.0000004992","","0","0","0","0","","10.1491984106"
"2024-06-22","4.5259176276","3.1011198603","2.2858238933","0.05","0","0.001554","0.0006168585","0.000025","0.0000014793","0.0000007488","","0","0","0","0","","9.9650594678"
"2024-06-23","4.480929378","3.058057372","2.2861236594","0.07","0","0.001386","0.0009569115","0.000045","0.0000014793","0.0000009984","","0","0","0","0","","9.8975007986"
"2024-06-24","6.0265318683","3.1014543391","2.2802098466","0.01","0","0.001344","0.0027421929","0.000145","0.0000019724","0.0000009984","","0","0","0","0","","11.4224302177"
"2024-06-25","6.6177034247","3.1014710698","2.2802100007","0.01","0","0.001512","0.0029972333","0.00017","0.0000019724","0.0000007488","","0","0","0","0","","12.0140664497"
"2024-06-26","6.6074070969","3.1027758047","2.3657614696","0.01","0","0.001512","0.0030822465","0.000165","0.0000019724","0.0000009984","","0","0","0","0","","12.0907065885"
"2024-06-27","6.4899476311","3.1015714204","2.3374837492","0.01","0","0.001512","0.0024871537","0.000115","0.0000014793","0.0000009984","","0","0","0","0","","11.9431194321"
"2024-06-28","6.4231504624","3.101088773","2.3310850031","0.01","0","0.001512","0.0031672599","0.000145","0.0000019724","0.0000009984","","0","0","0","0","","11.8701514692"
"2024-06-29","6.1844229128","3.1007056452","2.3389202327","0.01","0","0.001218","0.0031672599","0.000175","0.0000019724","0.0000009984","","0","0","0","0","","11.6386120214"
"2024-06-30","6.1728931895","3.100568147","2.3401367614","0.01","0","0.00126","0.0032522737","0.00018","0.0000019724","0.0000009984","","0","0","0","0","","11.6282933424"
"2024-07-01","6.227053564","3.1011835271","2.3024084455","0.01","0","0.001131","0.0030822465","0.00017","0.0000019724","0.0000007488","","0","0","0","0","","11.6450315043"
"2024-07-02","6.2962049953","3.1012415541","2.2939391296","","0","0.001209","0.0031672599","0.000175","0.0000019724","0.0000009984","","0","0","0","0","","11.6959399097"
"2024-07-03","6.2305464582","3.1013766889","2.3027416079","0.01","0","0.001404","0.0031672599","0.00018","0.0000014793","0.0000009984","","0","0","0","0","","11.6494184926"
"2024-07-04","6.2251371203","3.1012064333","2.2990605465","0.01","0","0.001131","0.0024021397","0.000145","0.0000019724","0.0000007488","","0","0","0","0","","11.639084961"
"2024-07-05","6.2294241941","3.1012518634","2.3060899797","0.01","0","0.001512","0.0022321125","0.000125","0.0000019724","0.0000009984","","0","0","0","0","","11.6506381205"
"2024-07-06","6.1690239341","3.1011385283","2.30460642","0.01","0","0.00147","0.0021470991","0.00012","0.0000014793","0.0000009984","","0","0","0","0","","11.5885084592"
"2024-07-07","6.1471980513","3.1011388298","2.3063007254","0.01","0","0.001512","0.0022321131","0.00012","0.0000019724","0.0000007488","","0","0","0","0","","11.5685044408"
"2024-07-08","6.2329565577","3.1014652406","2.3004438518","0.01","0","0.001512","0.0022321125","0.00009","0.0000019724","0.0000009984","","0","0","0","0","","11.6487027334"
"2024-07-09","6.2284510916","3.1016057743","2.3123211165","0.01","0","0.001512","0.0022321125","0.0001","0.0000014793","0.0000009984","","0","0","0","0","","11.6562245726"
"2024-07-10","6.2328313343","3.1015183194","2.3190833083","0.01","0","0.001512","0.0031672604","0.00017","0.0000019724","0.0000007488","","0","0","0","0","","11.6682849436"
"2024-07-11","6.2381237721","3.1017109897","2.3296811782","0.01","0","0.00147","0.0030822465","0.00017","0.0000019724","0.0000009984","","0","0","0","0","","11.6842411573"
"2024-07-12","6.2143747507","3.1015130728","2.3270017442","0.01","0","0.00147","0.0032522733","0.000175","0.0000014793","0.0000009984","","0","0","0","0","","11.6577893187"
