"Service","EC2-Instances($)","EC2-Other($)","Relational Database Service($)","ElastiCache($)","DocumentDB (with MongoDB compatibility)($)","Elastic Container Service for Kubernetes($)","S3($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic MapReduce($)","Elastic File System($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Transfer Family($)","Route 53($)","DynamoDB($)","Backup($)","WAF($)","Key Management Service($)","Elastic Container Service($)","Cost Explorer($)","Service Catalog($)","SNS($)","Athena($)","SES($)","Lambda($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","SQS($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-04-26","268.1119504729","157.3832911244","130.0656617538","55.944","21.546","30.259051666","22.0832953617","25.4688234228","22.8148168562","2.8391666623","7.2576","4.3779728328","1.9017967483","1.1587166672","7.2","0.6540284","1.6341204139","0.6816376205","0.7672008672","0.1949550015","2.48976","0.14","0","0.0001052568","","0.0000079634","0.0000114013","0.0000020139","0.0000007872","","0","0","0","","","764.9739732941"
"2024-04-27","269.0644324236","149.5318610844","125.6113770466","55.944","21.546","31.2","22.0861894003","25.4591181165","18.6959030478","2.8533333288","7.2576","4.3779728328","1.90179792","1.1575916672","7.2","0.6416844","1.63392","0.6816376205","0.6389040672","0.2098070016","2.48976","0.12","0","0.0000735767","","0.0000074488","0.0000159531","0.0000020179","0.0000010352","","0","0","0","","","750.302989989"
"2024-04-28","272.6153877387","154.4808732669","126.2125902479","55.944","21.546","31.2","22.113351363","25.5031454626","21.4491317275","3.3282936146","7.2576","4.3779728328","1.90179792","1.1574716672","7.2","0.6205648","1.6339288255","0.6816376205","0.6724542672","0.2100800016","2.48976","0.13","0","0.0000824459","","0.0000002155","0.0000128209","0.0000015174","0.0000010352","","0","0","0","","","762.7261393909"
"2024-04-29","280.8558754894","146.6714963612","128.7374700613","55.944","21.546","31.2","22.273364012","25.6662090871","19.2774741978","4.2955173174","7.2576","4.3779728328","1.9017980818","1.1588616672","7.2","0.6982676","1.63392","0.6816376205","0.5885142672","0.2098580016","2.48976","0.58","0","0.0001227966","","0.0000413684","0.0000153948","0.0000020104","0.0000010384","","0","0","0","","","765.2457792059"
"2024-04-30","282.2138260241","147.2616726847","124.825350123","55.944","21.546","31.2","22.2977894389","25.6339890607","19.8056790517","4.1377353198","7.2576","4.3779728328","1.9017980408","1.1584216672","7.2","0.7190884","1.63392","0.6816376205","0.5711106672","0.2102570016","1.3174263737","0.14","0","0.0001487901","","0.0001543117","0.0000129567","0.000002014","0.0000007856","","0","0","0","","","762.0355931648"
"2024-05-01","285.7740189336","142.9660737966","128.6757665658","55.944","21.546","31.2","21.6756148518","23.602522623","16.5429904113","0.1283487223","7.2576","2.5867479029","1.790451132","1.1214574184","7.2","7.1502864","0.0000244366","0.6596493102","0.5361893064","0.196200384","","0.19","0","0.0001475464","","0.0000797134","0.0000146272","0.0000015174","0.0000010384","","0","0","0","","","756.7441866377"
"2024-05-02","287.4018376726","148.717305126","137.3937505924","55.944","21.546","31.2","21.7763573662","24.109778808","20.174768494","2.0842519527","7.2576","4.2367479024","1.8408571406","1.1217724184","7.2","0.7312132","0","0.6596493102","0.5679971064","0.197832384","","0.14","0","0.0001630631","","0.0000009786","0.0000142888","0.000001523","0.0000007856","","0","0","0","","","774.301900113"
"2024-05-03","286.4102961543","152.0349650171","133.5201504469","55.944","21.546","31.2","21.7788114324","26.0814292811","18.5773278904","2.7061873278","7.2576","4.2367479024","1.8409893437","1.1201774184","7.2","0.6870952","0","0.6596493102","0.5415797064","0.197742384","","0.15","0","0.00019667","","0.0000052438","0.0000141447","0.0000020123","0.0000010352","","0","0","0","","","773.6909679211"
"2024-05-04","281.9136162063","155.4379015233","125.5323346057","55.944","21.546","31.2","21.8379268533","25.6110442415","19.3270584016","2.6888715963","7.2576","4.2367479024","1.8409890816","1.1210024184","7.2","0.7261612","0.23088","0.6596493102","0.6118895064","0.203580384","","0.13","0","0.0001343266","","0.0000035143","0.0000139346","0.000002016","0.0000010368","","0","0","0","","","765.2574080593"
"2024-05-05","282.0617614028","149.7818234599","117.862177009","55.944","25.7148846676","31.2","21.6849770976","25.7224741397","17.745715259","2.6181169179","7.2576","4.2367479024","1.8409890816","1.1205874184","7.2","0.6307432","0.74592","0.6596493102","0.5667503064","0.201795384","","0.13","0","0.0001244748","","0.0000002154","0.0000136052","0.0000015246","0.0000007856","","0","0","0","","","754.9268531621"
