"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic File System($)","Transfer Family($)","Lambda($)","MongoDB on Hardened  Linux 2 (ARM)($)","DynamoDB($)","ElastiCache($)","Secrets Manager($)","Cost Explorer($)","Key Management Service($)","API Gateway($)","SES($)","EC2 Container Registry (ECR)($)","Service Catalog($)","SQS($)","Route 53($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Backup($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-08","3601.4594348527","3067.3293849005","2347.4704386544","570.5071698465","39.1025980089","10.029346665","7.419695267","7.5885648132","5.0177208829","0.9254560204","","0.3935050147","1.2","1.1069129126","0.576","0.2901086022","0.01","0.222163128","0.158122731","0.120684797","0.0173093952","0","0.0051332","","0","0.0000014349","0.0000010136","","","0","0","","9660.9497521407"
"2024-05-09","3680.4948286306","3127.8513404408","2423.2381655888","585.3681158435","39.1025980029","4.8","9.1212576176","7.5354393308","5.2535105349","1.1698333649","","0.3907424309","1.2","1.1071806084","0.576","0.3023141936","0.01","0.231040128","0.170206354","0.1103218081","0.0173093952","0","0.0054664","","0","0.0000019128","0.0000007602","","","0","0","","9888.055673346"
"2024-05-10","3450.5511147049","3064.9193397071","2253.2420390592","524.9226799693","39.1025979716","4.8","9.0401979205","7.5496666747","5.0660621812","1.2550831925","","0.4172576142","1.2","1.1074663715","0.576","0.3023991936","0.01","0.231586128","0.1701535444","0.1078025735","0.0173093952","0","0.005128","","0","0.0000019128","0.0000010136","","","0","0","","9364.5938871278"
"2024-05-11","3254.2670081422","2637.2183782078","2064.9351375096","537.4368770169","39.1025977356","4.8","9.0639010577","7.5114368219","5.1444375986","1.2782685619","","0.4273459882","1.2","1.1077533248","0.576","0.2896636022","0.01","0.237730128","0.1754777938","0.0981059272","0.0173093952","0","0.0042368","","0","0.0000019128","0.0000007602","","","0","0","","8564.9016682846"
"2024-05-12","3102.7294201758","2582.2324527032","1932.1976204648","502.7266124013","39.1025977145","4.8","9.0118033677","7.4975768785","5.1474780983","1.2957837754","","0.4172531804","1.2","1.1080509995","0.576","0.3016591936","0.01","0.239227128","0.1785736601","0.0988845485","0.0173093952","0","0.0044212","","0","0.0000014349","0.0000010136","","","0","0","","8190.8927273333"
"2024-05-13","3789.5470590768","2756.1441654505","2468.286451374","631.15457202","39.1025979107","4.8","9.0883539945","7.5216737555","5.1511588057","1.3164427739","","0.4483752098","1.2","1.1083426469","0.576","0.3013091936","0.01","0.232657128","0.1719058997","0.1879759116","0.0173093952","0","0.0051384","","0","0.0000019128","0.0000010136","","","0","0","","9716.3714918728"
"2024-05-14","3678.8334335725","2766.0198639396","2419.4255068984","622.0614121181","39.10259798","4.8","9.0679459061","7.4958416034","5.2013461637","1.3418090661","","0.4166205783","1.2","1.1086279181","0.576","0.3020591936","0.01","0.233488128","0.1714316255","0.1162433975","0.0173093952","0","0.0053724","","0","0.0000019128","0.0000007602","","","0","0","","9557.5069125571"
"2024-05-15","3391.8539542849","2640.1856868651","2095.8068659068","584.5599303894","39.1025982361","4.8","9.0555480364","7.5239409656","5.3986166644","1.3638226717","","0.4392411515","1.15","1.108914851","0.576","0.2897686022","0.01","0.238060128","0.1739342918","0.1136816663","0.0173093952","0","0.0051276","","0","0.0000014349","0.0000010136","","","0","0","","8783.7730041549"
"2024-05-16","3684.7371824763","2605.6153390071","2195.2977599216","614.6918338948","39.1025977211","4.8","9.07272357","7.5179828472","5.2214803732","1.3839285609","","0.4168740035","1.2","1.109208081","0.576","0.3023341936","0.01","0.237607128","0.1764250056","0.1004811741","0.0173093952","0","0.0047356","","0","0.0000019128","0.0000007602","","","0","0","","9171.5918056262"
"2024-05-17","3594.0453313111","2594.255574058","2073.831828868","577.9849823307","39.1025983577","4.8","9.0263816069","7.5148679416","5.1177565549","1.4013533983","","0.3988966228","1.2","1.1095047542","0.576","0.3022291936","0.01","0.238150128","0.1769566738","0.1079495804","0.0173093952","0","0.0045036","","0","0.0000019128","0.0000010136","","","0","0","","8911.2221773016"
"2024-05-18","3565.8725056661","2565.0088065705","2106.0482374312","559.3063405971","39.1025977288","4.8","9.0100180598","7.5034655612","5.0193689381","1.4186528835","","0.4276140599","1.2","1.1098018223","0.576","0.3020241936","0.01","0.238234128","0.1770432166","0.0803379973","0.0173093952","0","0.0041284","","0","0.0000019128","0.0000010136","","","0","0","","8867.2324895756"
"2024-05-19","3448.2566371861","2550.5481795743","1972.111761558","540.0857130672","39.1025977152","4.8","9.0053562516","7.5030425241","5.0496179687","1.4352383138","","0.4118876573","1.2","1.1100994755","0.576","0.3016741936","0.01","0.242095128","0.1795063818","0.1057386619","0.0173093952","0","0.0037668","","0","0.0000014349","0.0000007602","","","0","0","","8582.0562240474"
"2024-05-20","3730.2896478483","2594.8922378222","2175.06421138","637.8461418368","39.1025977214","4.8","9.0369550512","7.5191111005","5.1511967328","1.4527010081","","0.4223923073","1.2","1.1103971779","0.576","0.3023141936","0.01","0.243049128","0.1789691387","0.1093451347","0.0173093952","0","0.0051576","","0","0.0000019128","0.0000010136","","","0","0","","9209.3297375031"
"2024-05-21","3661.2467126053","2597.5277683785","2111.7269364792","578.1065557113","39.1025977241","4.8","9.0461669261","7.5177321359","5.2987790834","1.4698311769","","0.4401396491","1.2","1.1106991189","0.576","0.3020741936","0.01","0.243898128","0.1803709373","0.0960938051","0.0173093952","0","0.004872","","0","0.0000019128","0.0000010136","","","0","0","","9020.0245403743"
"2024-05-22","3877.3588799766","2636.5937052235","2269.8179794648","634.3202467469","39.1025977284","4.8","9.0725774181","7.5380826432","5.3858714207","1.485901719","","0.4297364637","1.2","1.1110044799","0.576","0.3019191936","0.01","0.249076128","0.1832008286","0.0917741845","0.0173093952","0","0.0051452","","0","0.0000014349","0.0000010136","","","0","0","","9489.6510106632"
"2024-05-23","3480.4385540882","2634.0974267334","2113.8744484628","579.7183151867","39.1025977212","4.8","9.0790560909","7.5253319697","5.2562333235","1.5018638233","","0.7744837451","1.2","1.111310344","0.576","0.3015891936","0.01","0.243526128","0.1794278643","0.1036275627","0.0173093952","0","0.0051408","","0","0.0000019128","0.0000007602","","","0","0","","8879.9162451056"
"2024-05-24","3157.8053134678","2609.8347914973","1934.035377534","537.5720779737","39.1025982427","4.8","9.092816998","7.5337024902","5.4498279861","1.5186292118","","1.0125770501","1.2","1.1116215995","0.576","0.3018391936","0.01","0.238867128","0.1742848556","0.1020672027","0.0173093952","0","0.0050664","","0","0.0000014349","0.0000010136","","","0","0","","8311.4947706748"
"2024-05-25","2944.1875832484","2564.863639894","1760.0138025344","509.0279775663","39.1025977246","4.8","9.0072225161","7.4927320222","5.3411341595","1.5386934675","","1.0579011109","1.2","1.111939936","0.576","0.3019141936","0.01","0.247204128","0.1822965608","0.1187093429","0.0173093952","0.0014","0.003704","","0","0.0000019128","0.0000007602","","","0","0","","7850.2037644734"
"2024-05-26","2981.3376734746","2572.4099631682","1805.1536971844","502.0690583874","39.1025977254","4.8","9.0299550686","7.497402397","5.3859240833","1.5602856562","","1.0678717136","1.2","1.1122674238","0.576","0.3015441936","0.01","0.254266128","0.1866526799","0.0848276518","0.0173093952","0.0014","0.003736","","0","0.0000019128","0.0000010136","","","0","0","","7933.1624352574"
"2024-05-27","3172.2093631096","2610.5508874037","1852.7185463268","528.816809242","39.102597732","4.8","9.1305238698","7.5299644088","5.6869060476","1.5820298271","","1.041783714","1.2","1.1125932631","0.576","0.3017241936","1.86","0.245635128","0.1806288924","0.1080601609","0.0173093952","0.0014","0.0049636","","0","0.0000014349","0.0000007602","","","0","0","","8238.7777285097"
"2024-05-28","3185.2411044588","2619.1127686954","1906.0262439292","582.650157585","39.1025977177","4.8","9.1318343176","7.5280435235","6.132739256","1.6042787988","","1.0650310748","1.2","1.1129151445","0.576","0.3020591936","0.24","0.246322128","0.1801609878","0.094378982","0.0173093952","0.0014","0.0050364","","0","0.0000019128","0.0000010136","","","0","0","","8366.3703845143"
"2024-05-29","3546.2606971443","2704.9394349348","2140.9831597908","677.8161154123","39.1025977068","4.8","9.1566919271","7.5371587491","6.3131661567","1.6241175943","","1.0735111662","1.2","1.1132352147","0.576","0.3019391936","0.43","0.246817128","0.180915968","0.1264321055","0.0173093952","0.0007","0.0051708107","","0","0.0000019128","0.0000007602","","","0","0","","9143.8051730711"
"2024-05-30","3420.4951195569","2684.4546167361","2080.034241212","650.4739993299","39.1025977274","4.8","9.1277259591","7.5388272569","6.3782823093","1.6454902661","","0.9700563626","1.2","1.1135537449","0.576","0.3016941936","0.25","0.245785128","0.1783422338","0.1265952746","0.0173093952","0.0014","0.0049284","","0","0.0000014349","0.0000010136","","","0","0","","8909.0365675349"
"2024-05-31","3314.6039584805","2688.5057066705","2045.7653246576","566.3351680043","39.102597728","4.8","9.078083394","7.5543448712","5.6900904685","1.6665368651","","0.8897602829","1.2","1.1138704808","0.576","0.3018541936","0.25","0.246058128","0.1789364151","0.1476687041","0.0173093952","0.0014","0.0047876","","0","0.0000019128","0.0000010136","","","0","0","","8688.0294592658"
"2024-06-01","3088.6126377826","2686.1036691109","1768.3416355052","516.2131969401","39.2364173865","4.8","9.0933753638","7.6059568119","5.8888598264","1.7403434011","","0.0216784838","1.2","0.2093361658","0.576","0.3123316672","0.25","0.2460486672","0.2590865238","0.1547114883","0.0178863768","0","0.0042328","0.1","0","0.0000014349","0.0000007602","","","0","0","","8130.9874064965"
"2024-06-02","2926.498680116","2626.8857060185","1687.9354763352","492.7833915452","39.2364173874","4.8","9.0656443261","7.4969512285","5.3307591575","1.7570102399","","0.4038054786","1.2","1.1154218776","0.576","0.3118216672","0.25","0.2454486672","0.208169547","0.1513575858","0.0178863768","0","0.0038024","","0","0.0000019128","0.0000010136","","","0","0","","7806.2737528809"
"2024-06-03","3592.9901545743","2711.2547722539","2254.7067140484","641.0878118255","39.2364173875","4.8","9.1721504679","7.537325621","5.6906278206","1.7735961657","","0.8836287613","1.2","1.1157476783","0.576","0.3112266672","0.43","0.2479656672","0.2080538326","0.1318694501","0.0178863768","0","0.004748","","0","0.0000014349","0.0000007602","","","0","0","","9273.3766987934"
"2024-06-04","3374.1457690338","2783.281602498","2017.2057207952","589.6252700058","39.2364173909","4.8","9.2063347294","7.5415189531","6.0007663289","1.791108889","","0.872118142","1.2","1.1160693015","0.576","0.3115416672","0.91","0.2448306672","0.2051953981","0.1301998608","0.0178863768","0","0.0044664","","0","0.0000019128","0.0000010136","","","0","0","","8838.4228193641"
"2024-06-05","3433.7190997413","2777.0341092963","2063.0094403052","588.7053997108","39.2364173981","4.8","9.1360899149","7.5302782282","5.9565903775","1.8089729415","","0.8615243574","1.2","1.1163916961","0.576","0.3115666672","0.43","0.2461536672","0.2072007756","0.1030485461","0.0178863768","0","0.0047056","","0","0.0000019128","0.0000007602","","","0","0","","8936.0108782732"
"2024-06-06","3643.264771709","2783.8269397852","2228.8106877856","645.9783709284","39.2364173876","4.8","9.1775694252","7.5384796582","5.6741404833","1.8253369523","","0.9021438306","1.2","1.1167155945","0.576","0.3113666672","0.25","0.2481066672","0.1773770183","0.1416139881","0.0178863768","0","0.0048612","","0","0.0000014349","0.0000010136","","","0","0","","9375.078787906"
"2024-06-07","3398.0664841319","2728.2715696384","2085.955964568","595.6711865613","39.2364174119","4.8","9.0649604458","7.5218076529","5.9040198328","1.8418698608","","0.9287226177","1.2","1.1170395594","0.576","0.3115016672","0.25","0.2453826672","0.175090741","0.1266831722","0.0178863768","0","0.004986","","0","0.0000019128","0.0000007602","","","0","0","","8881.2875755783"
"2024-06-08","3013.1470242429","2653.9210040149","1733.7396091972","484.7117273474","39.2364173872","4.8","9.0049672937","7.4961765249","5.8141557801","1.8581187176","","1.2408501364","1.2","1.1173611528","0.576","0.3112116672","0.25","0.2466726672","0.1777803699","0.12262237","0.0178863768","0","0.003774","","0","0.0000014349","0.0000010136","","","0","0","","7958.9933616947"
