"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","EC2 Container Registry (ECR)($)","Route 53($)","S3($)","Key Management Service($)","SQS($)","SNS($)","Step Functions($)","Glacier($)","Simple Workflow Service($)","DynamoDB($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-26","14.8093989366","8.6674705326","5.4001694607","2.4","1.8334116968","1.7669433631","0.0800643536","0.01","0.0014","0.0141464256","","0.0009466773","0.002829","0.000096","0","0.00000027","0.0000029507","0.0000004959","0.0000000504","","0","0","","34.9868802133"
"2024-05-27","14.8102182034","8.66749919","5.4001283835","2.4","1.8331447264","1.766133395","0.0797193536","0.01","0.0014","0.0141464256","","0.0008743679","0.002346","0.0000912","0","0.000000283","0.0000029726","0.0000005742","0.0000000504","","0","0","","34.9857051256"
"2024-05-28","14.8120115745","8.6675156436","5.4001111758","2.4","1.8319576984","1.7859097359","0.0798343536","0.01","0.0014","0.0141464256","","0.0008539704","0.002829","0.000096","0","0.000000285","0.0000029508","0.000000522","0.0000000504","","0","0","","35.006669386"
"2024-05-29","14.8226102063","8.6675764689","5.4001113279","2.4","1.8363881283","1.837850745","0.0796043536","0.01","0.0014","0.0141464256","","0.0023486633","0.002898","0.0000912","0","0.000000299","0.0000029849","0.000000522","0.0000000504","","0","0","","35.0750293752"
"2024-05-30","14.8335924555","8.6675148976","5.4001127826","2.4","1.8344591393","1.8404447399","0.0796043536","0.41","0.0014","0.0141464256","","0.0025895935","0.00276","0.0001008","0","0.000000283","0.0000028711","0.0000004698","0.0000000504","","0","0","","35.4867288619"
"2024-05-31","14.8232771699","8.6675121965","5.4001144051","2.4","1.8307681404","1.843157851","0.0798343536","0.05","0.0014","0.0141464256","","0.0026008224","0.002346","0.0001104","0","0.000000313","0.0000028842","0.0000004698","0.0000000504","","0","0","","35.1152714819"
"2024-06-01","15.0357627291","8.667488706","5.4001191381","2.4","1.8329563097","1.8556589638","0.0827599992","0.05","0","0.0146179728","1","0.0027511153","0.002772","0.0001056","0","0.000000328","0.0000029952","0.0000006525","0.0000000528","","0","0","","36.3449965625"
"2024-06-02","15.0334691642","8.6674814941","5.4001190857","2.4","1.8320643103","1.8560648228","0.0826449992","0.05","0","0.0146179728","","0.002777254","0.002112","0.0001056","0","0.000000356","0.0000029495","0.0000006525","0.0000000528","","0","0","","35.3414607139"
"2024-06-03","15.0343122605","8.6675197091","5.4003487983","2.4","1.829877182","1.8574580293","0.0824149992","0.05","0","0.0146179728","","0.0024584308","0.00231","0.0001152","0","0.00000033","0.0000029727","0.0000005742","0.0000000528","","0","0","","35.3414365117"
"2024-06-04","15.0810988844","8.6688675943","5.4014248283","2.4","1.8307006559","1.8558758697","0.0822999992","0.05","0","0.0146179728","","0.0027986411","0.002706","0.0000768","0","0.000000311","0.000003568","0.0000004437","0.0000000528","","0","0","","35.3904716212"
"2024-06-05","15.1636328092","8.6700696162","5.4001154219","2.4","1.8326842312","1.8592455699","0.0816099992","0.05","0","0.0146179728","","0.0022551637","0.002244","0.0000816","0","0.000000312","0.0000036318","0.0000005481","0.0000000528","","0","0","","35.4765609288"
"2024-06-06","15.0257851536","8.6030435839","5.4001206684","2.4","1.8362008651","1.8479801242","0.0819549992","0.05","0","0.0146179728","","0.0026496404","0.002442","0.0000864","0","0.000000269","0.0000040555","0.0000004959","0.0000000528","","0","0","","35.2648862808"
"2024-06-07","15.028602498","8.6698838262","5.4001175855","2.4","1.8304885255","2.190021296","0.0817249992","0.05","0","0.0146179728","","0.0022855202","0.002376","0.0000912","0","0.000000255","0.0000036988","0.0000004698","0.0000000528","","0","0","","35.6702138998"
"2024-06-08","15.029557738","8.669764218","5.4001509712","2.4","1.8308078796","1.8557206746","0.0819549992","0.05","0","0.0146179728","","0.0024931119","0.002376","0.0000672","0","0.00000021","0.0000037578","0.0000004698","0.0000000528","","0","0","","35.3375152557"
"2024-06-09","15.0321792458","8.6697695557","5.4001716655","2.4","1.8289581338","1.8584380587","0.0820699992","0.05","0","0.0146179728","","0.0024663053","0.002376","0.0000768","0","0.000000283","0.0000040201","0.0000004176","0.0000000528","","0","0","","35.3411285103"
"2024-06-10","15.0320236768","8.6698233746","5.4001750844","2.4","1.8292598685","1.8571046557","0.0817249992","0.05","0","0.0146179728","","0.0024789698","0.00231","0.0000864","0","0.00000024","0.0000039248","0.0000004437","0.0000000528","","0","0","","35.3396096631"
"2024-06-11","15.0585792179","8.6463828075","5.4001764213","2.4","1.8320607996","1.8646336213","0.0817249992","0.05","0","0.0146179728","","0.0022296389","0.002376","0.000072","0","0.00000024","0.000003831","0.0000003654","0.0000000528","","0","0","","35.3528579677"
"2024-06-12","15.056865992","8.6698563599","5.4001734192","2.4","1.8316732753","1.8741540528","0.0817249992","0.05","0","0.0146179728","","0.0021680337","0.002376","0.0000768","0","0.000000225","0.0000036388","0.0000003654","0.0000000528","","0","0","","35.3836911869"
"2024-06-13","15.0378008334","8.6481570068","5.4001698614","2.4","1.8334849121","1.8623084057","0.0816099992","0.05","0","0.0146179728","","0.0022084228","0.002376","0.0000624","0","0.000000225","0.0000037323","0.0000004698","0.0000000528","","0","0","","35.3328002941"
"2024-06-14","15.035737084","8.6463364757","5.4002211496","2.4","1.8304647374","1.8697621596","0.0812649992","0.06","0","0.0146179728","","0.0018419314","0.002178","0.0000576","0","0.00000018","0.0000036814","0.0000002871","0.0000000528","","0","0","","35.342486311"
"2024-06-15","15.0345233046","8.669831677","5.4002251951","2.4","1.8316246199","1.8657530721","0.0804599992","0.04","0","0.0146179728","","0.0012611394","0.002244","0.0000192","0","0.00000006","0.0000033795","0.0000001044","0.0000000528","","0","0","","35.3405637768"
"2024-06-16","15.0333729484","8.6698183786","5.4002276852","2.4","1.8332094568","1.8594361791","0.0802299992","0.05","0","0.0146179728","","0.0010931694","0.00231","0.0000048","0","0.00000003","0.0000032198","0.0000000522","0.0000000528","","0","0","","35.3443239443"
"2024-06-17","15.0747698901","8.6699632768","5.4002254457","2.4","1.8307407534","1.8638642496","0.0766666659","0.04","","0.0146179728","","0.0009210857","0.002244","","","","0.0000031039","","0.0000000528","","0","","","35.3740164967"
