"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","Route 53($)","Elastic Load Balancing($)","OpenSearch Service($)","DocumentDB (with MongoDB compatibility)($)","DynamoDB Accelerator (DAX)($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Secrets Manager($)","DynamoDB($)","ElastiCache($)","EC2 Container Registry (ECR)($)","S3($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","API Gateway($)","SQS($)","SNS($)","Lambda($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","X-Ray($)","CloudWatch Events($)","Total costs($)"
"2024-05-18","143.5410471812","15.3963954774","5.8230892826","3.7113783277","0.000036","1.7208718759","3.2873080697","2.6875044536","2.808","2.4","1.7225841494","1.2996951604","1.0290957964","","0.1321882392","0.0037205617","0.01","0","0.035948064","","0.001856","0","","0.0000029159","0.000000343","0.0000005742","","0","0","","","","185.6107224723"
"2024-05-19","143.5378077597","14.8896044386","5.8230730365","3.6792814278","0.000026","1.7208602016","3.2873074527","2.6866229136","2.808","2.4","1.7383898896","1.3274545152","1.0290957368","","0.1321882392","0.0037531174","0.01","0","0.035948064","0.0000010769","0.0018296","0","","0.0000029551","0.000000315","0.0000006003","","0","0","","","","185.11124734"
"2024-05-20","142.8565089187","15.3951965811","5.8241481703","3.6724864976","0.000418","1.7219970044","3.2873077078","2.6875802293","2.808","2.4","1.7320069299","1.3278945152","1.0290959988","","0.133230116","0.0040282145","0.01","0","0.036134064","0.000025844","0.0018788","0.0000000022","","0.0000029786","0.00000036","0.0000006264","","0","0","","","","184.9279415588"
"2024-05-21","141.8317907764","15.9786974981","5.8257330121","3.68994624","0.0003812","1.7214708358","3.2873076555","2.6888268125","2.808","2.4","1.7366999394","1.3339195152","1.0290936127","","0.1341969528","0.0057346467","0.01","0","0.035972064","0.0002335281","0.001888","0","","0.0000029088","0.000000344","0.0000005742","","0","0","","","","184.5198961163"
"2024-05-22","140.4801849129","15.9138729208","5.8264315036","3.7077628852","0.0008344","1.7216862179","3.2873080184","2.6871324032","2.808","2.4","1.7681820819","1.3398845152","1.0397491125","0.624","0.1341969528","0.0069889047","0.01","0","0.036038064","0.0008460937","0.0018576","0","","0.0000030171","0.000000314","0.0000005742","","0","0","","","","183.7949604921"
"2024-05-23","136.6656611422","16.7889199054","5.8279173111","5.2217695967","0.0006068","1.7215431301","3.2873044734","2.6865267432","2.808","2.4","1.9719213861","1.3475195152","1.0797095088","1.152","0.1359896823","0.0088091332","0.01","0","0.035978064","0.0009828306","0.0018924","0","","0.0000028174","0.000000342","0.0000004698","","0","0","","","","183.1530552515"
"2024-05-24","138.5097193551","15.9365582386","5.8256660164","6.1192064537","0.000788","2.0103031583","3.2873016544","2.6876382942","2.808","2.4","1.8017438451","1.3323595152","1.0930299377","1.152","0.1370574792","0.0150734665","0.01","0","0.035948064","0.0013091715","0.0018636","0","","0.000002862","0.000000329","0.0000005742","","0","0","","","","185.1655700151"
"2024-05-25","135.6837280982","15.4111525166","5.8231693836","6.1670880278","0.000054","2.2991271611","3.2873016109","2.6869738168","2.808","2.4","1.8000402077","1.3260245152","1.0930300905","1.152","0.1370574792","0.0117392661","0.01","0.0014","0.036164064","","0.0018564","0","","0.0000028445","0.000000284","0.000000522","","0","0","","","","182.1359102882"
"2024-05-26","134.5883420754","15.4417182938","5.8231214576","6.1371000546","0.0000348","2.2991242025","3.2873019769","2.6873398968","2.808","2.4","1.8000402077","1.3273195152","1.0930300992","1.152","0.1370574792","0.010593783","0.01","0.0014","0.036071064","","0.0018336","0","","0.0000029681","0.000000358","0.0000004959","","0","0","","","","181.0414323279"
"2024-05-27","140.3508858949","15.52999559","5.825947109","6.614716603","0.000778","2.2996280014","3.2873020608","2.6871339768","2.808","2.4","1.8001902232","1.3277645152","1.0930302992","1.152","0.1370574792","0.0130401591","0.01","0.0014","0.036182064","0.0011659188","0.0018644","0","","0.0000029488","0.0000003139","0.0000005481","","0","0","","","","187.3780861054"
"2024-05-28","140.4752059266","15.6224097117","5.8257751258","6.1325526397","0.0011548","2.2997463107","3.2873027696","2.6875264738","2.808","2.4","1.8000405773","1.3264345152","1.0930308818","1.152","0.1370574792","0.0123448524","0.01","0.0014","0.035234064","0.0011003556","0.0018524","0","","0.0000028857","0.00000027","0.000000522","","0","0","","","","187.1101725611"
"2024-05-29","140.4788254487","15.6540114929","5.8249611826","6.1420367671","0.0014292","2.3022692137","3.2873020645","2.6865712552","2.808","2.4","1.8000402851","1.3267845152","1.093031163","1.152","0.1370574792","0.0125295524","0.01","0.0014","0.036164064","0.0005207127","0.0018556","0","","0.0000028218","0.000000328","0.0000005742","","0","0","","","","187.1567937203"
"2024-05-30","140.4142414797","15.5055969353","5.8249456773","6.1706239822","0.001292","2.2997600479","3.2873020386","2.6874944405","2.808","2.4","1.8000402851","1.3263145152","1.0930314962","1.152","0.1370574792","0.0133977371","0.01","0.0014","0.036071064","0.0008167381","0.001844","0","","0.0000029145","0.000000254","0.0000005742","","0","0","","","","186.9712336591"
"2024-05-31","140.4793473279","15.8859590723","5.8231247722","6.1363377789","0.0013164","2.29938529","3.2873017998","2.6867967672","2.808","2.4","1.8001398801","1.3256045152","1.0930320533","1.152","0.1370574792","0.0141383564","0.01","0.0014","0.036071064","0.0018643905","0.0018492","0","","0.0000027822","0.000000285","0.0000004698","","0","0","","","","187.380729684"
"2024-06-01","140.3829539677","16.1138880484","5.8230181573","6.1510689364","0.2008528","2.299125552","3.3120714141","2.7144614375","2.808","2.4","0.9600416526","1.3481199992","0.166944","1.152","0.1416260712","0.0110438431","","0","0.0370233336","","0.0018452","0","","0.0000027952","0.000000299","0.0000005742","","0","0","","","","186.0240880815"
"2024-06-02","140.4805239413","16.1213677021","5.8231622578","6.1452047231","0.0039996","2.2991397988","3.3120703948","2.7245781536","2.808","2.4","1.8600416526","1.3492549992","1.0931179349","1.152","0.1416260712","0.0113226275","0.01","0","0.0370233336","","0.0018448","0","","0.0000028076","0.000000358","0.0000006525","","0","0","","","","187.7742818086"
"2024-06-03","140.4807104445","16.5205918142","7.2446102259","6.1491942621","0.00126","2.299331844","3.3120884736","2.7240778736","2.808","2.4","1.8600416526","1.3493499992","1.0931180432","1.152","0.1416260712","0.0131250358","0.01","0","0.0364893336","0.0009446769","0.0018356","0","","0.0000028494","0.000000298","0.0000006003","","0","0","","","","189.5983990981"
"2024-06-04","139.6027680761","16.3668837369","9.0038401135","6.175929712","0.0013628","2.2993844212","3.3120896517","2.7248434904","2.808","2.4","1.8600737155","1.3918833327","1.0931182618","1.152","0.1416260712","0.0133049552","0.01","0","0.0371973336","0.0011156904","0.0018748","0","","0.0000026929","0.000000313","0.0000004176","","0","0","","","","190.3972995857"
"2024-06-05","140.888667653","16.7072801753","8.7035053124","6.1565466158","0.0016016","2.2993521337","3.3120893925","2.7247370356","2.808","2.4","1.8600416611","1.4408833328","1.0931183692","1.152","0.145434933","0.0125879606","0.01","0","0.0356793336","0.0001324612","0.0018644","0","","0.0000026076","0.000000313","0.0000003915","","0","0","","","","191.7535256819"
"2024-06-06","140.9998468231","16.7165109354","8.7036361494","6.1170330473","0.001678","2.2995246971","3.3120893489","2.723925042","2.808","2.4","1.8600416611","1.4427083328","1.0931183807","1.152","0.1534133002","0.011846835","0.01","0","0.0366693336","0.0000159812","0.0018424","0","","0.0000041433","0.00000024","0.0000004698","","0","0","","","","191.8439051209"
"2024-06-07","141.0465915496","16.8653596163","8.7052811462","6.1277007439","0.0016488","2.2997829598","3.3120896144","2.7249298084","2.808","2.4","1.8600416611","1.4419583328","1.0931184582","1.152","0.1610549226","0.0131277043","0.01","0","0.0365793336","0.0002267241","0.0018412","0","","0.0000037436","0.000000255","0.0000004437","","0","0","","","","192.0613370176"
"2024-06-08","141.5211604718","16.6413005295","8.7033068261","6.1693128226","0.0012344","2.2991788457","3.3120890669","2.7231253952","2.808","2.4","1.8600416611","1.4411833328","1.0931184917","1.152","0.1625138928","0.0114413188","0.01","0","0.0365733336","","0.001828","0","","0.0000036471","0.00000024","0.0000003654","","0","0","","","","192.3474126411"
"2024-06-09","141.5201208925","16.83804171","8.7033290769","6.1495986227","0.0012112","2.2991152272","3.3120897398","2.72523544","2.808","2.4","1.8600416611","1.4413333328","1.0931183996","1.152","0.1625138928","0.0116268538","0.01","0","0.0364833336","","0.0018284","0","","0.0000039313","0.000000269","0.0000004698","","0","0","","","","192.5256924529"
"2024-06-10","142.5662418553","17.1529022391","8.7049975961","6.137189541","0.001628","2.299669631","3.3120894973","2.7235131746","2.808","2.4","1.8600416611","1.4411433328","1.0931184549","1.152","0.1637308727","0.0125419428","0.01","0","0.0365733336","0.000153116","0.0018424","0","","0.0000038076","0.000000269","0.0000004176","","0","0","","","","193.8773811425"
"2024-06-11","142.7534776506","17.1122717629","8.7033409721","6.1344669203","0.0013676","2.2992742081","3.3120901576","2.7245179932","2.808","2.4","1.860041661","1.4415783328","1.0931184827","1.152","0.1647333648","0.0122020426","0.01","0","0.0365733336","0.0000797882","0.0018424","0","","0.00000372","0.00000021","0.0000003915","","0","0","","","","194.020980992"
"2024-06-12","142.8462507388","17.7499134605","8.9041718755","6.1681003081","0.0013688","2.299215124","3.3120897372","2.7250317578","2.808","2.4","1.8600416611","1.4411483328","1.0931184737","1.152","0.1647333648","0.0125714839","0.01","0","0.0365733336","0.0000886845","0.0018188","0.0000000022","","0.0000035243","0.00000027","0.0000003915","","0","0","","","","194.9862401243"
"2024-06-13","144.4763880111","19.252083459","8.7050296997","6.145518512","0.0014604","2.2993627519","3.3120905214","2.7244794684","2.808","2.4","1.8600417434","1.4405283328","1.0931185397","1.152","0.1647333648","0.0137544698","0.01","0","0.0365733336","0.0000940684","0.0018368","0","","0.0000035324","0.00000024","0.0000004437","","0","0","","","","197.8970976921"
"2024-06-14","145.6140864618","20.3414996737","8.7037158269","6.1496536897","0.0014484","2.299234541","3.3120907382","2.7241322376","2.808","2.4","1.8600416613","1.4389783328","1.093118509","1.152","0.1647333648","0.0113564848","0.01","0","0.0363933336","0.0000032305","0.0017936","0","","0.0000032614","0.00000015","0.000000261","","0","0","","","","200.1222837581"
"2024-06-15","145.7112598909","20.2190667844","8.7032598618","6.1209213425","0.00122","2.299092645","3.3120898185","2.7244972452","2.808","2.4","1.8600416613","1.4370333328","1.0931185088","1.152","0.1647333648","0.0106654577","","0","0.0350944447","","0.0017552","0","","0.0000031445","0.000000075","0.0000001305","","0","0","","","","200.0538529084"
"2024-06-16","145.3696842017","20.2703163267","8.7033032463","6.173263928","0.0012096","2.2991105902","3.3120904625","2.7245230116","2.808","2.4","1.8600416613","1.4351183328","1.0931184781","1.152","0.1647333648","0.0104091647","0.02","0","0.0363933336","","0.0017276","0","","0.0000034289","0.000000015","0.0000000522","","0","0","","","","199.8350467984"
"2024-06-17","145.6905874199","20.1157818226","8.7054503497","6.1558726626","0.001368","2.2993078577","3.3120896181","2.7235889172","2.808","2.4","1.8600417443","1.4027661106","1.0931185395","1.152","0.1647333648","0.0111410563","","","0.0363933336","0.0001106737","0.0017564","","","0.0000034062","","","","0","","","","","199.9341112768"
"2024-06-18","87.3966320983","21.5812029634","8.7042841492","6.151590368","0.0012704","2.2992285467","3.3120902158","2.7249499128","2.808","2.4","1.8600416614","1.4029111106","1.0931184756","1.152","0.1647333648","0.0112919732","","","0.0366393336","0.0000222707","0.001732","","","0.00000295","","","","0","0","","","","143.1017417941"
"2024-06-19","88.515772559","23.3816058333","8.7056661598","6.1381303826","0.0013776","2.7294185734","3.3120905585","2.7279760197","2.808","2.4","1.8600416614","1.4351133328","1.093103803","1.152","0.1647333648","0.0298398295","","","0.0358833336","0.0000423876","0.0017332","0","","0.0000026395","","0.0000000261","","0","","","","","146.4925312646"
"2024-06-20","89.7109623836","24.7718516177","8.7067770965","6.1271326502","0.0014304","2.8730373153","3.312091641","2.7359604357","2.808","2.4","1.8600425624","1.4351133328","1.0931062737","1.152","0.1647333648","0.024119324","","","0.0354453336","0.0000964484","0.0017408","","","0.0000026841","","","","0","","","","","149.2136436638"
