"Service","Relational Database Service($)","EC2-Instances($)","EC2-Other($)","API Gateway($)","DynamoDB($)","CloudWatch($)","DocumentDB (with MongoDB compatibility)($)","S3($)","DynamoDB Accelerator (DAX)($)","Lambda($)","Elastic Load Balancing($)","OpenSearch Service($)","VPC($)","Elastic Container Service for Kubernetes($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SES($)","Route 53($)","Athena($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-04-29","6714.8242313744","1745.2184817063","808.9804093312","383.4344462594","63.7705137131","47.3786785302","79.6204387421","20.2293351693","33.576","45.9167363883","26.9211810406","25.247677749","20.596559544","2.4","2.4171416672","0.8571147955","0.3210636348","0.2665864","0.067095","0.0386703336","0.01","0.0014","0.0036812","0.0000067785","0.0000019128","0.0000010136","","0","0","","","","10022.0974522839"
"2024-04-30","6739.4182553242","1747.2096778371","827.8977113699","422.070121067","64.2260567919","50.3841864837","79.6203415501","20.6426377902","33.576","49.4224971823","29.649213488","25.2476599667","22.2039093278","2.4","2.4165666672","0.8730845801","0.9009733904","0.2686656","0.349335","0.0385533336","0.01","0.0014","0.0036788","0.0000154883","0.0000014349","0.0000007602","","0","0","","","","10118.8305432336"
"2024-05-01","6696.5699956837","1710.9569349937","809.9077330009","603.1983081891","47.6728434491","45.4165861257","79.6003656634","20.8784506902","33.576","45.2417876555","29.006388455","25.1485672769","21.8082834935","2.4","2.3770814512","0.8557411851","0.3752395322","1.2688896","","0.037322064","0.01","0","0.0036456","0.0000018","0.0000019128","0.0000010136","","0","0","","","","10176.3101688356"
"2024-05-02","6690.8886622964","1719.274929404","826.999029217","606.5873004139","63.9376147614","49.8462424318","79.6003853901","21.0421773326","33.576","47.5234625905","30.1932434731","25.1485691837","22.4634101456","2.4","2.3755664512","0.862465139","0.4008828607","0.2841364","","0.037391064","0.01","0","0.0036316","0.0000047669","0.0000019128","0.0000010136","","0","0","","","","10223.4551078483"
"2024-05-03","6659.0578505646","1721.6316398327","815.9394183814","497.0798643965","64.1206018224","49.6104024446","79.5988814638","21.6353929165","33.576","49.4551424501","29.8552062856","25.1485697097","22.3032259962","2.4","2.3745264512","0.8668491594","0.6136021874","0.284652","0.092705","0.036386064","0.01","0","0.0036652","0.0000027024","0.0000014349","0.0000007602","","0","0","","","","10075.6945872236"
"2024-05-04","6744.8173734724","1719.9824922405","800.0395133346","490.9388365536","64.560256219","49.1654135097","79.6004589912","22.0476745786","33.576","48.952330967","29.2672677485","25.1485720885","21.9676254618","2.4","2.3740314512","0.8680654824","0.5693195754","0.2827004","","0.037178064","0.01","0","0.0036052","0.0000024819","0.0000019128","0.0000010136","","0","0","","","","10136.6087207467"
"2024-05-05","6679.9468111903","1712.4073117025","792.6264202997","489.8554024","64.1880018544","49.0622876767","79.6004589912","22.3521910213","33.576","48.8431818995","29.6035896168","25.1485730146","22.1412107027","2.4","2.3754114512","0.8680654824","0.4284071389","0.2801716","","0.037298064","0.01","0","0.0036076","0.0000020269","0.0000019128","0.0000010136","","0","0","","","","10055.7544066595"
"2024-05-06","6683.5101696208","1717.6002655775","796.961398317","448.6522001076","64.3816408981","48.8728925054","79.6004178755","23.0540260275","33.576","48.4406467389","29.0233715388","25.1485739294","21.8415398588","2.4","2.3744764512","0.8701652272","0.3757698656","0.2850776","1.200385","0.037220064","0.01","0","0.0036604","0.0000030481","0.0000014349","0.0000007602","","0","0","","","","10028.2199028465"
"2024-05-07","6650.0174611219","1599.4887937889","795.0472588802","407.5214230863","64.3754164233","48.5425038575","79.6003999901","23.2357034598","33.576","48.0244553528","28.6061048248","25.1485755864","21.624240812","2.4","2.3750814512","0.8740431371","0.1808779049","0.2855728","","0.037595064","0.01","0","0.0036288","0.0000106133","0.0000019128","0.0000010136","","0","0","","","","9830.9751498809"
"2024-05-08","6547.649050135","1647.6065139781","788.5951980472","425.5071661599","64.6457671106","50.1308795606","79.6003829998","23.5834885789","33.576","49.6800265518","29.7650565145","25.148577379","22.3208335037","2.4","2.3270261824","0.8866244775","0.1976939009","0.3001368","0.00064","0.037358064","0.01","0","0.00364","0.0000167394","0.0000014349","0.0000010136","","0","0","","","","9793.9720791318"
"2024-05-09","6229.7267252425","1653.7435335975","787.5158220165","420.0225076693","65.3728518694","49.8677118746","79.6003948315","24.4460017388","33.576","49.0677747193","29.7386084429","25.1485771678","22.2097139976","2.4","2.3744664512","0.8999003714","0.9050950956","0.2974588","","0.037190064","0.01","0","0.0036264","0.0000101198","0.0000019128","0.0000007602","","0","0","","","","9476.9639731427"
"2024-05-10","6036.2710712369","1626.0553645151","793.7775686908","418.1683664604","65.1372482459","50.8142673304","79.6004348843","25.4612529921","33.576","48.9964671854","29.5452268359","25.1485784385","22.1518072193","2.4","2.3770014512","0.9025059912","0.6489674133","0.3017564","","0.037253064","0.01","0","0.003638","0.0000125374","0.0000019128","0.0000010136","","0","0","","","","9261.3847918185"
"2024-05-11","5958.5420980543","1630.2859744735","800.6897988812","402.6230432538","64.7830077629","48.4688755115","79.6004436758","26.1610503241","33.576","47.5968860745","28.2896420084","25.1485785737","21.4193455087","2.4","2.3241311824","0.9025059912","0.4576619501","0.3044584","","0.037307064","0.01","0","0.0036144","0.0000110162","0.0000019128","0.0000010136","","0","0","","","","9173.6244370327"
"2024-05-12","6005.2244276624","1635.7735638011","826.5458371334","386.9460961907","64.9617040162","47.1618100384","79.6004438856","26.881855489","33.576","46.1683590362","27.3669233441","25.1485796209","20.9177056495","2.4","2.3770014512","0.9025059912","0.0621273896","0.3005388","","0.036989064","0.01","0","0.003614","0.0000094279","0.0000014349","0.0000007602","","0","0","","","","9232.3660941865"
"2024-05-13","6017.4299543","1631.3973163584","813.308188667","395.8864690086","64.9244118136","47.9963290752","79.6004393113","26.7186064805","33.576","46.9703111984","27.8263690737","25.1485810762","21.1268383155","2.4","2.3232861824","0.9038722467","","0.3033004","","0.036608064","0.01","0","0.003632","0.0000106414","0.0000019128","0.0000010136","","0","0","","","","9237.8905271393"
"2024-05-14","6023.0824747836","1646.7754080841","815.8476089178","409.2773942267","65.0622816694","49.1526327334","79.6004506171","26.8728495905","33.576","48.1928237335","28.8613366622","25.1486180359","21.7179078598","2.4","2.3756064512","0.9054129959","0.0416407335","0.3056436","","0.037244064","0.01","0","0.0036312","0.0000103439","0.0000014349","0.0000010136","","0","0","","","","9279.246978751"
"2024-05-15","6023.3557687422","1629.0712396469","817.5424179567","408.4342062968","65.0840010535","49.0724170949","79.6004455623","27.2448366916","33.576","48.1127250224","28.8980338584","25.1486245936","21.7411523286","2.4","2.3252311824","0.912089105","0.4806931083","0.2799432","","0.037223064","0.01","0","0.0036488","0.0000126323","0.0000019128","0.0000007602","","0","0","","","","9263.3307126129"
"2024-05-16","5995.3521515283","1498.3229347373","814.7380351742","394.1142863852","65.2105892238","48.0245691603","79.6005264686","27.7979098472","33.576","46.7949897627","28.0085426864","25.1486252169","21.2100797284","2.4","2.3755114512","0.9146339688","0.7502372747","0.2259556","0.083195","0.036476064","0.01","0","0.0035848","0.0000336987","0.0000019128","0.0000010136","","0","0","","","","9084.6988707031"
"2024-05-17","5866.7370735889","1493.2934015073","817.1765256933","398.2058168071","65.4102372404","48.3866411639","79.600718532","28.0743826444","33.576","47.2069050585","28.0156617218","25.1486079969","21.2068612364","2.4","2.3746764512","0.9146339688","0.7500963006","0.224534","0.199135","0.036491064","0.03","0","0.0035936","0.0000326155","0.0000014349","0.0000010136","","0","0","","","","8958.9720286395"
"2024-05-18","5872.355144496","1495.4278183188","825.6160277361","422.04163008","66.2164390163","50.2805745655","79.6007185958","28.2958049542","33.576","49.369493349","29.5094801526","25.1486079945","22.1410550404","2.4","2.3757364512","0.9146339688","1.155007081","0.2278856","","0.037178064","0.01","0","0.0035792","0.0000500458","0.0000019128","0.0000007602","","0","0","","","","9006.702867383"
"2024-05-19","5876.3961241709","1489.7207302301","811.5591345667","378.4963205369","65.4497198433","46.6829078727","79.6007187658","28.5445367726","33.576","45.4118376394","26.8306270621","25.1486078196","20.5284908276","2.4","2.3749314512","0.9146339688","0.5554949432","0.2270788","","0.037298064","0.01","0","0.0035628","0.0000515954","0.0000019128","0.0000010136","","0","0","","","","8934.4688106567"
"2024-05-20","5886.6101447093","1508.971938696","787.7023967081","381.747158744","65.5072383657","47.1146024236","79.6007018298","28.8704004197","33.576","45.6740167691","27.0762229088","25.1486090323","20.6393868233","2.4","2.3756814512","0.9161878639","0.3273236783","0.2252056","","0.037178064","0.01","0","0.0036104","0.0000620923","0.0000019128","0.0000010136","","0","0","","","","8944.5340695058"
"2024-05-21","5877.0687636031","1513.0463534815","790.1602008477","398.7157025681","66.7121480647","48.487887386","79.6007003579","29.2332005212","33.576","47.2181978481","28.1499277465","25.1486097591","21.2903005879","2.4","2.3764714512","0.9173235","0.7389617168","0.2274232","0.074575","0.037241064","0.03","0","0.003616","0.0000811284","0.0000014349","0.0000007602","","0","0","","","","8965.2136880273"
"2024-05-22","5858.9093665277","1466.1625112067","798.1704970514","409.1727057906","65.9854683264","49.2733617336","79.6006912659","29.7912634143","33.576","48.147870032","28.2764532214","25.1486107936","21.3977119233","2.4","2.3742514512","0.9210919417","0.6305593679","0.2292492","0.022675","0.037427064","0.01","0","0.0036124","0.0000815277","0.0000019128","0.0000010136","","0","0","","","","8920.2414621658"
"2024-05-23","5831.7310621494","1226.3412903322","796.5863333112","391.5788210473","66.438736617","47.8807588123","79.6007223051","30.1703548001","33.576","46.520094954","27.4994721205","25.1486160291","20.9170324191","2.4","2.3748964512","0.9249163372","0.4263825417","0.228406","","0.037427064","0.01","0","0.0036076","0.0000764312","0.0000019128","0.0000010136","","0","0","","","","8630.395010249"
"2024-05-24","5774.5898418897","1164.8278755496","802.4203058107","404.5728885146","66.6946760171","48.8521018322","79.6007291974","30.4608583197","33.576","47.6677843982","28.3235847476","25.1486203451","21.3856749481","2.4","2.3753714512","0.9269897088","0.5546391254","0.2207424","","0.037205064","0.01","0","0.0035896","0.0000650062","0.0000014349","0.0000007602","","0","0","","","","8534.6495461207"
"2024-05-25","5781.6706828496","1118.2741136382","791.9299262256","376.3816252","66.1725601781","46.5448974902","79.6007416076","30.8929209269","33.576","45.0992944158","26.3138528491","25.1486201963","20.1950032075","2.4","2.3742064512","0.9269897088","0.3630601085","0.2167808","2.006815","0.037178064","0.01","0","0.0035616","0.0000466051","0.0000019128","0.0000010136","","0","0","","","","8450.1388800489"
"2024-05-26","5779.8545928552","1124.460150528","796.2717823563","379.16618236","66.3329885776","46.7452982126","79.6007598168","31.1071292813","33.576","45.3818314138","26.5728261799","25.1486212391","20.3523972955","2.4","2.3733864512","0.9269897088","0.4299381717","0.219986","","0.037424064","0.01","0.0014","0.0035728","0.0000502723","0.0000014349","0.0000010136","","0","0","","","","8460.9733100326"
"2024-05-27","5771.9191737806","1139.9967181856","799.5406955186","380.6808923925","65.9729281787","46.9248157606","79.6007554099","31.4964981489","33.576","45.4959000146","26.5067980524","25.1486219173","20.3104686113","2.4","2.3749264512","0.9274677154","0.4023003358","0.226266","","0.037376064","0.01","0.0014","0.0035836","0.0000318926","0.0000019128","0.0000007602","","0","0","","","","8473.553620703"
"2024-05-28","5763.6068165737","1179.7432375898","806.0065563643","392.269656562","66.1782955591","47.9394645272","79.6007515568","32.2780122659","33.576","46.5258244297","27.1312729729","25.1486237652","20.6653254199","2.4","2.3744264512","0.928384548","0.5261908438","0.2268296","0.29672","0.037373064","0.01","0.0014","0.0035696","0.0000270374","0.0000014349","0.0000010136","","0","0","","","","8527.4747611794"
"2024-05-29","5739.5633541914","1219.0434303162","788.9843179486","384.1531537832","66.2869863796","47.1932424445","79.6007630349","31.9139999701","33.576","45.8083613382","26.8527356173","25.1486247581","20.491257132","2.4","2.3742664512","0.9289332648","0.5163516939","0.2271176","","0.037481064","0.01","0.0014","0.0035764","0.0000029249","0.0000019128","0.0000007602","","0","0","","","","8515.1153589859"
"2024-05-30","5748.5396481322","1209.04430417","791.6749870447","396.1547151255","66.6400274324","48.1921981531","79.6007738436","32.3204942274","33.576","46.8659460499","27.6231510897","25.1486256603","20.9585866357","2.4","2.3745464512","0.9289332648","0.6617524336","0.225004","","0.037247064","0.01","0.0014","0.0035792","0.000002697","0.0000019128","0.0000010136","","0","0","","","","8532.9819256015"
"2024-05-31","5758.5309813868","1157.5215180803","801.5258547254","415.1779973812","66.51392313","49.688881786","79.6007811898","32.8148849739","33.576","48.6005988879","28.9396493811","25.1486261457","21.7286551888","2.4","2.3753364512","0.9289332648","0.8537508644","0.2249572","","0.036563064","0.01","0.0014","0.0035792","0.0000006744","0.0000014349","0.0000010136","","0","0","","","","8526.2028754242"
"2024-06-01","5830.6733115105","1188.6469493753","824.9176676863","614.6295085","54.8064002437","46.7877683212","79.6207122841","34.2995121055","33.576","45.8886215742","29.1376144008","25.2477036318","21.8356057869","2.4","2.4152266672","0.9598977096","0.1695635487","1.218014","","0.0375333336","0.01","0","0.0035408","0.0000022567","0.0000019128","0.0000010136","","0","0","","","","8837.2811566625"
"2024-06-02","5841.1781300383","1172.58528604","825.6725189648","568.6058455","66.6167782601","48.559508453","79.6207176906","34.9122476057","33.576","45.2190302761","27.7197645651","25.2477043058","20.9857318781","2.4","2.4144016672","0.9598977096","0.3136426459","0.226882","","0.0377733336","0.01","0","0.0035516","0.0000006753","0.0000014349","0.0000007602","","0","0","","","","8796.8654154043"
"2024-06-03","5853.149411313","1179.2542117791","837.3318688329","501.4024128612","67.1950577623","50.9980316486","79.6207219674","35.2894543335","33.576","49.6819067954","29.7081482647","25.2477010256","23.4685976726","2.4","2.4137566672","0.9598977096","0.7835628042","0.2203052","","0.0379083336","0.01","0","0.0035456","0.0000015692","0.0000019128","0.0000010136","","0","0","","","","8772.7525050665"
"2024-06-04","5878.9753587212","1179.6332970724","831.7663937155","510.8279339674","67.0861887315","51.6234626827","79.6207110175","35.300842309","33.576","50.4477640554","30.1322641768","25.247700755","25.3553722359","2.4","2.4134616672","0.9628930798","0.93882344","0.2206848","0.022675","0.0384423336","0.01","0","0.003596","0.0000063415","0.0000014349","0.0000010136","","0","0","","","","8806.6038745509"
"2024-06-05","5931.0041569425","1218.5196258484","834.7574741422","508.7520975381","67.9415765061","51.5907122814","79.6207180647","35.7471133033","33.576","50.1781507878","30.7590375829","25.2477018371","25.6835116422","2.4","2.4139016672","0.9676094136","0.5716589557","0.2247808","","0.0382833336","0.01","0","0.003568","0.0000013485","0.0000019128","0.0000007602","","0","0","","","","8900.0076826683"
