"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-11-03","14.3671886814","8.9829775543","13.3007655952","9.6384509291","1.9681525958","","1.7266393461","1.0751196054","0.6441850008","","0.000000068","0.1342999872","0.0377103336","0.01","","0","0.00001325","0.0000004076","0.0000076","0.0000019128","0.0000015057","0","0","","51.885514373"
"2024-11-04","14.367237249","9.0168663484","13.300732208","9.4122120232","1.9681522828","","1.7298472926","0.370384433","0.6439400008","","0.000000068","0.1342999872","0.0377103336","","","0","0.0000002063","0.0000001102","0.0000052","0.0000019128","0.0000017586","0","0","","50.9813914145"
"2024-11-05","14.4086089239","9.0282357028","13.2728860934","9.2064416312","1.9681525046","","1.7293430287","1.0005890431","0.6434500008","","0.000000068","0.1342999872","0.0377103336","0.01","","0","","0","0.0000064","0.0000014349","0.0000020066","0","0","","51.4397271588"
"2024-11-06","14.3496255981","9.0354826675","13.3007380917","9.2064416312","1.9681531614","","1.7284152439","2.2446322789","0.6436950008","","0.000000068","0.1342999872","0.0377103336","0.01","","0","","0.000007","0.0000056","0.0000014349","0.0000015057","0","0","","52.6592096029"
"2024-11-07","14.4086150346","9.0257842245","13.3006871358","9.1433816312","1.9681532444","","1.7281902923","1.226550278","0.6441850008","","0.000000068","0.1342999872","0.0358383336","0.01","","0","","0.0000835","0.0000072","0.0000019128","0.0000017542","0","0","","51.6257795974"
"2024-11-08","14.4085772387","9.0302824626","13.378458187","9.0336416312","1.968153234","","1.7290693055","0.958728869","0.6449200008","","0.000000068","0.1342999872","0.0334983336","0.01","","0","","0.0000865","0.0000072","0.0000019128","0.0000020076","0","0","0","51.329726938"
"2024-11-09","14.4085874752","9.0178499795","13.4206824885","9.0336416312","1.9681534456","","1.7276966512","0.3282334042","0.6456550008","","0.000000068","0.1342999872","0.0334983336","0.01","","0","","0.000088","0.0000072","0.0000014349","0.0000015057","0","0","","50.7283966056"
"2024-11-10","14.408580561","9.0042435152","13.4206949651","9.0336416312","1.9681532602","","1.7270498278","1.6897402897","0.6456550008","","0.000000068","0.1342999872","0.0321094447","0.01","","0","","0.00008","0.0000072","0.0000019128","0.0000020076","0","0","","52.0742596713"
"2024-11-11","14.3671893804","9.0422496073","13.3528337038","9.0337620237","1.9681527844","","1.7290319186","0.9236146799","0.6170283341","","0.000000068","0.1342999872","0.0361983336","","","0.0035","0.0000002042","0.0000651107","0.0000052","0.0000014349","0.0000015057","0","0","","51.2079342765"
"2024-11-12","14.3258647263","9.0767912231","13.3023234031","9.4387320242","1.9681530024","","1.7287983604","1.3296170332","0.6432050008","","0.000000068","0.1342999872","0.0387183336","0.01","","0.0042","0.0000002063","0.0000536094","0.000004","0.0000014349","0.0000015057","0","0","","52.0007639186"
"2024-11-13","14.3258172037","9.0603960281","13.301828628","9.7248416322","1.9681536166","","1.7279715467","1.3933877157","0.6432050008","","0.000000068","0.1342999872","0.0385023336","0.01","","0.0021","","0.0000655","0.0000048","0.0000019128","0.0000017591","0","0","","52.3305777325"
"2024-11-14","14.3018933048","9.0684254394","13.22409134","9.7248416322","1.968153728","","1.7299058975","1.334963772","0.6170283341","","0.000000068","0.1342999872","0.0386463336","0.01","","0.0028","","0.0000565","0.000006","0.0000014349","0.0000020071","0","0","","52.1551157788"
"2024-11-15","14.3671843832","9.0675376016","13.1806120777","9.7248416322","1.9681541072","","1.7279847502","1.3002481468","0.6439400008","","0.000000068","0.1342999872","0.0386463336","0.01","","0.0042","","0.0000685","0.0000056","0.0000019128","0.0000015057","0","0","","52.167726607"
"2024-11-16","15.1155898597","9.0612337392","13.1806106453","9.7244016322","1.9681540576","","1.7273923582","1.2703776603","0.6434500008","","0.000000068","0.1342999872","0.0387183336","0.01","","0.0042","","0.000058","0.0000052","0.0000014349","0.0000015057","0","0","","52.8784944827"
"2024-11-17","16.0075745402","9.0479641597","13.1935997662","9.7248416322","1.968153382","","1.7265227266","0.3078649651","0.6429600008","","0.000000068","0.1342999872","0.0387183336","","","0.0042","","0.000062","0.0000044","0.0000014349","0.0000017542","0","0","","52.7967691507"
"2024-11-18","16.0904033787","9.089314106","13.3005926797","9.7248416322","1.9681530256","","1.7292402809","1.4742273352","0.6439400008","","0.000000068","0.1342999872","0.0385023336","0.01","","0.0035","","0.000065","0.0000044","0.0000019128","0.0000017591","0","0","","54.2070878998"
"2024-11-19","16.0490292969","9.1178255678","13.4199230739","9.7248416322","1.9681532274","","1.7303421211","1.3037872817","0.6432050008","","0.000000068","0.1342999872","0.0386463336","0.01","","0.0021","","0.00005","0.0000056","0.0000014349","0.0000015057","0","0","","54.1422121312"
"2024-11-20","16.0076270342","9.0972448566","13.4201187945","9.7248416322","1.9681544156","","1.7292113991","1.2534961464","0.6434500008","","0.000000068","0.1342999872","0.0387183336","0.01","","0.0035","","0.0000615","0.0000044","0.0000014349","0.0000017586","0","0","","54.0307317617"
"2024-11-21","15.966198512","9.1071656605","13.420133089","9.7248416322","1.968154736","","1.7300759739","1.2855708803","0.6429600008","","0.000000068","0.1342999872","0.0386463336","0.01","","0.0042","","0.000067","0.0000044","0.0000019128","0.0000017542","0","0","","54.0323219405"
"2024-11-22","15.9561899514","9.1095815789","13.4201717824","9.7248416322","1.9681542444","","1.730361639","1.369338562","0.6429600008","","0.000000068","0.1342999872","0.0384303336","0.01","","0.0042","","0.0000535","0.0000052","0.0000014349","0.0000017591","0","0","","54.1085916739"
"2024-11-23","16.0075817093","9.0973737526","13.4083155859","9.7248416322","1.9681542528","","1.7283456088","1.2383562412","0.6434500008","","0.000000068","0.1342999872","0.0385023336","","","0.0042","","0.0000635","0.000004","0.0000014349","0.0000017537","0","0","","53.993491861"
"2024-11-24","15.9661862332","9.0887116201","13.3002256122","9.7248416322","1.9681541528","","1.7274294791","1.0770284435","0.6436950008","","0.000000068","0.1342999872","0.0386463336","0.01","","0.0035","","0.0000635","0.0000048","0.0000019128","0.0000015047","0","0","","53.6827902802"
"2024-11-25","15.9661985803","9.1261382918","13.1818026502","9.7248416322","1.9681536396","","1.7297169609","0.9368435155","0.6427150008","","0.000000068","0.1342999872","0.0385743336","0.01","","0.0014","","0.0000535","0.0000044","0.0000014349","0.0000017581","0","0","","53.4607457531"
