"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-04-28","1350.9206410682","711.4658055041","255.8976","40.5195989685","52.8671232648","1.1269037253","9.6547172709","9.3622060013","5.4974428635","9.9010788","4.8","0.6393601381","0.3731421459","0.3112500024","0.1490666664","0.01","0.0007","0.0000264","0.0000059125","0","0.0000019128","0.0000010136","","0","","0","0","","","2453.4966716583"
"2024-04-29","1357.6495333511","718.212157313","255.8976","40.5238955163","52.8016367345","1.1818075716","9.712946272","9.371835427","5.673014835","9.9067076","4.8","0.6393601377","0.3747704976","0.3111060024","0.1488266664","0.01","0.0007","0.0000312","0.0000058417","0","0.0000014349","0.0000007602","","0","","0","0","","","2467.2159371614"
"2024-04-30","1361.609164028","725.0793370599","255.8976","40.5262097814","52.801219162","1.2182807727","9.731438949","9.5695993483","5.8385965047","9.9070656","4.8","0.6393601377","0.3795514262","0.3113730024","0.1490466664","","0.0014","0.000026","0.00000615","0","0.0000014349","0.0000010136","","0","","0","0","","","2478.4592770372"
"2024-05-01","1233.8949891409","740.4572464811","255.8976","40.5280930002","52.669101844","1.2353593785","9.6698468142","9.4304533909","5.7523727562","9.9999796","4.8","0.6393601369","0.3712354975","0.301146576","0.144155484","0.01","0","0","0.0000012","0","0.0000019128","0.0000010136","","0.0000006888","","0","0","","","2365.8009449156"
"2024-05-02","1233.6556778703","724.8792205712","255.8976","40.5310590648","54.6038155146","1.2626259477","9.5049003549","9.3747020304","5.8721192863","9.9028768","4.8","0.6393601373","0.3796802257","0.301032576","0.1501094624","0.01","0","0.00003","0.0000012","0","0.0000014349","0.0000007602","","0.0000005022","","0","0","","","2351.7648137389"
"2024-05-03","1238.0098673053","774.7500384426","255.8976","40.5344494413","56.6214860668","1.3304749428","9.6266648951","9.395952118","5.8533977066","9.9034436","4.8","0.6393601379","0.3835660431","0.301272576","0.1591237096","0.01","0","0.0000244","0.0000058187","0","0.0000019128","0.0000010136","","0","","0","0","","","2408.2167301302"
"2024-05-04","1238.8067151413","745.8119639697","255.8976","40.5373602189","56.5517610179","1.3193531385","9.3579331164","9.3631650286","5.7577742565","9.8989492","4.8","0.639360138","0.3840057135","0.301185576","0.1572337096","0.01","0","0.0000288","0.0000058146","0","0.0000019128","0.0000007602","","0","","0","0","","","2379.5943975125"
"2024-05-05","1238.3212867286","751.0764242608","255.8976","40.540450035","56.4868162964","1.3475952781","9.3806034751","9.3618719793","5.7679294376","9.9005012","4.8","0.6393601379","0.3840058032","0.300927576","0.1577187096","0.01","0","0.00003","0.0000060291","0","0.0000014349","0.0000010136","0","0","","0","0","","","2384.3731293952"
"2024-05-06","1238.8493281203","756.5047013027","255.8976","40.5429218622","56.4842920851","1.4057878885","9.5349258521","9.3778626425","5.7675270946","9.9038908","4.8","0.6393601382","0.3875468696","0.301185576","0.1574387096","0.01","0","0.0000264","0.0000059292","0","0.0000019128","0.0000007602","","0","","0","0","","","2390.5644039436"
"2024-05-07","1283.5573408551","758.9509107865","255.8976","40.5450150164","56.3719105333","1.4293293524","9.9761756093","9.4048273217","6.0038793041","9.9025052","4.8","0.6393601382","0.3899366642","0.299316576","0.1573537096","0.01","0","0.0000608","0.0000061291","0","0.0000014349","0.0000010136","","0","","0","0","","","2438.3355304444"
