"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","Network Firewall($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","S3($)","Lambda($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Route 53($)","Cost Explorer($)","DynamoDB($)","Service Catalog($)","Key Management Service($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Athena($)","Elastic File System($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-12-27","119.5286720974","62.2020471507","13.5457787013","8.1854152088","9.4978692457","2.4","2.0751276516","0.775458065","","0.2212219352","0.2076401832","0.0113064","0.05","0.0213120648","0.0098","0.00204","0.0017416","0.000015","0.0000019208","0.0000020387","","0.00000006","0","0","","218.7354493232"
"2024-12-28","119.5233148573","62.7033147986","13.5295291991","8.1854110196","9.5018775151","2.4","2.0742883876","0.7751770312","","0.2209469352","0.2076401832","0.0105868","0.05","0.0213120648","0.0084","0.00204","0.0017452","0.000015","0.0000014437","0.0000015338","","0.00000006","0","0","","219.2156020292"
"2024-12-29","119.612032703","63.2492140834","13.4896982527","8.1853604568","9.5339689712","2.4","2.1716529549","0.7755472989","","0.2159419352","0.2076401832","0.008694","0.06","0.0213120648","0.0084","0.00204","0.0017452","0.000015","0.0000014437","0.0000015355","","0.00000006","0","0","","219.9432661433"
"2024-12-30","119.5373748388","63.6198984006","13.529478943","8.1853173833","9.5670169216","2.4","2.0732843713","0.7763837743","","0.2115719352","0.2076401832","0.0084828","0.05","0.0213120648","0.0098","0.00204","0.0017436","0.0000165","0.0000014421","0.0000017907","","0.00000006","0","0","","220.2013650089"
"2024-12-31","124.6029874445","63.6947294705","13.5480951312","8.1853595942","9.5701628548","2.4","2.0766398444","0.7786834045","","0.2118019352","0.2076401832","0.0084904","0.06","0.0213120648","0.0112","0.00204","0.001742","0.000018","0.0000019208","0.0000017842","","0.00000006","0","0","","225.3809060923"
"2025-01-01","125.3777705412","63.3414872356","13.5293192132","8.1853606573","9.5369916537","2.4","1.3258121092","0.7770817117","","0.2115769352","0.2076401832","1.5084396","0.06","0.021312","0","0.000474","0.001742","0","0.0000014437","0.0000015371","","0.00000006","0","0","","226.4850108811"
"2025-01-02","119.4657447928","63.2218583777","13.6162134357","8.185364401","9.4988265142","2.4","2.3806541612","0.778278585","","0.2045326879","0.2076401832","0.0085504","0.06","0.0213120648","0","0.00204","0.0017432","0","0.0000014421","0.0000015341","","0.00000006","0","0","","220.0527618397"
"2025-01-03","119.4571326423","63.3957588181","13.6424023169","8.1853555632","9.5255855567","2.4","2.3780640536","0.7786155723","","0.2115569352","0.2076401832","0.0083304","0.05","0.0213120648","0","0.002115","0.0017404","0","0.0000019208","0.0000020366","","0.00000006","0","0","","220.2656135237"
"2025-01-04","119.5233986797","62.1952706444","13.6052655869","8.1853530484","9.5333480316","2.4","2.3801193547","0.7793420429","","0.2116519352","0.2076401832","0.0075208","0.05","0.0213120648","0","0.00198","0.001742","0","0.000000963","0.0000015322","","0.00000006","0","0","","219.103946927"
"2025-01-05","119.5368095499","61.7271233496","13.5529079456","8.1853661331","9.5013779948","2.4","2.3798030483","0.7800069051","","0.2119669352","0.2076401832","0.0075668","0.06","0.0213120648","0","0.00204","0.0017404","0","0.0000019216","0.0000015327","","0.00000006","0","0","","218.5756648239"
"2025-01-06","119.59148303","62.0452340041","13.5522559497","8.4453433927","9.552586886","3.458669472","2.4208869148","0.7825047002","","0.2193688168","0.2076401832","0.0086952","0.04","0.0213120683","0","0.00213","0.0017436","0","0.0000019216","0.0000015327","","0.00000006","0","0","","220.3498577321"
"2025-01-07","120.7678357858","62.9069263408","13.5707554242","8.8093013237","9.5757018039","4.763286944","2.5403952158","0.7822385777","","0.2246151608","0.2080042725","0.0085708","0.05","0.021312072","0","0.002214","0.0017404","0","0.0000014421","0.0000015357","","0.00000006","0","0","","224.232901159"
"2025-01-08","120.1110511005","64.3761659402","13.5594054526","8.8092930161","9.5553075267","4.725834","2.4499427262","0.7812723281","","0.2245351608","0.2088650136","0.2085608","0.06","0.0213121038","0","0.002187","0.0017432","0","0.0000014421","0.0000017877","","0.00000006","0","0","","225.0954786584"
"2025-01-09","119.2721350494","66.7696882001","13.5652897551","8.8090594616","9.5267260101","4.8","2.3957723071","0.7808261211","","0.2245051608","0.2088650136","0.0085176","0.05","0.0213121086","0.0049","0.00225","0.0017436","0","0.0000014429","0.0000015341","","0.00000006","0","0","","226.4415934245"
"2025-01-10","119.3669620772","68.0654620998","14.1901906532","8.808872463","9.505175177","4.8","2.3710245889","0.7811276797","","0.2247201608","0.2088650136","0.008198","0.05","0.0213121148","0.0049","0.002397","0.0017452","0","0.0000019208","0.0000015327","","0.00000006","0","0","","228.4109557415"
"2025-01-11","119.5181614781","68.0555665301","14.6728661598","8.8088679862","9.5285261988","4.8","2.3691619866","0.7808597027","","0.2245851608","0.2088650136","0.006804","0.05","0.0213121176","0.0049","0.002385","0.001742","0","0.0000009614","0.0000020362","","0.00000006","0","0","","229.0546063919"
"2025-01-12","119.5395951768","68.055320694","14.661538363","8.808872365","9.528712057","4.8","2.3712703332","0.7820001783","","0.2245251608","0.2088650136","0.0068156","0.06","0.0213121176","0.0042","0.002385","0.001742","0","0.0000019208","0.0000015357","","0.00000006","0","0","","229.0771575758"
"2025-01-13","119.5234536496","68.0782213827","14.7588982567","8.8088713611","9.5045920679","4.8","2.3768478421","0.7828070133","","0.2245351608","0.2088650136","0.0080732","0.05","0.0213121176","0.0049","0.002385","0.0017416","0","0.0000014429","0.0000017796","","0.00000006","0","0","","229.1555069479"
"2025-01-14","119.5317991998","68.1175130051","14.6970437525","8.8912102479","9.5592193468","4.8","2.3745239081","0.7830172198","","0.2246251608","0.2088650136","0.0085532","0.05","0.0213121176","0.0084","0.002385","0.0017436","0.000012","0.0000014429","0.0000017821","","0.00000006","0","0","","229.280226057"
"2025-01-15","119.5370270286","68.3998513234","14.7105180421","9.1156466377","9.6895419373","4.8","2.3731879991","0.7842013844","0.0000016533","0.2245851608","0.2088650136","0.0084984","0.05","0.0213121176","0.0084","0.002385","0.0017404","0.0000141109","0.0000014421","0.0000015327","","0.00000006","0","0","","229.9357792436"
"2025-01-16","119.5294140494","68.1237304522","14.7193548793","9.1688716152","9.5844019401","4.8","2.3704884337","0.7847330712","","0.2245301608","0.2088650136","0.0083804","0.05","0.0213121176","0.0098","0.002418","0.0017436","0.0000135","0.0000014421","0.0000017861","","0.00000006","0","0","","229.6080605213"
"2025-01-17","119.5295330382","68.144600567","14.7265526595","9.1697062383","9.506087653","4.8","2.3787298302","0.7847603393","","0.2244951608","0.2088650136","0.0090548","0.06","0.0213121176","0.0084","0.002352","0.0017416","0.000015","0.0000019208","0.0000015336","","0.00000006","0","0","","229.5762095319"
"2025-01-18","119.6843965099","68.5174396392","14.7076157896","9.1924824463","9.5529277839","4.8","2.4140429725","0.7837725331","","0.2247001608","0.2088650136","0.0080948","0.05","0.0213121176","0.0098","0.002397","0.001742","0.0000135","0.0000014421","0.0000015329","","0.00000006","0","0","","230.1796053015"
"2025-01-19","119.5297754029","68.9090845017","14.6925208192","9.2183850699","9.5015586411","4.8","2.4000141293","0.7842310435","","0.2245051608","0.2088650136","0.0083076","0.06","0.0213121176","0.0098","0.002412","0.001742","0.0000135","0.0000014421","0.0000015336","","0.00000006","0","0","","230.3725300353"
"2025-01-20","120.6067460521","69.3057868592","14.6896024157","9.1314528387","9.6052616885","4.8","2.5432868228","1.3742638522","","0.2248701608","0.2088650136","0.0091816","0.05","0.0213121176","0.0098","0.002385","0.0017436","0.000015","0.0000014429","0.0000015329","","0.00000006","0","0","","232.584576057"
"2025-01-21","122.332912095","69.5434614013","14.8461857987","9.0488958614","9.626186926","4.8","2.7719257156","1.3146489605","0.0000015933","0.2254601608","0.2088650136","0.0091376","0.05","0.0213121176","0.0084","0.002325","0.0017436","0.0000156246","0.0000014429","0.0000017877","","0.00000006","0","0","","234.811480759"
