"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Secrets Manager($)","Elastic File System($)","S3($)","Backup($)","Relational Database Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Systems Manager($)","Lambda($)","SNS($)","Athena($)","SQS($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","CloudWatch Events($)","Total costs($)"
"2024-04-23","18.6116047053","37.1306060439","11.8138239167","5.8051603719","3.4596613334","2.4","1.2188490096","0.0716624721","0.5800447182","0.2274386902","0.3769833344","0.5658430003","0.0308320099","0.0830422755","0.155944272","0.05","","0.0007","","0.0003606478","0.0000168873","","0.0000104","","0.0000019128","0.0000010136","","0","0","","","82.5825870149"
"2024-04-24","19.8753686118","37.0608583826","11.6881349708","5.8082725244","3.3152504971","2.4","1.2184140096","0.0830427721","0.5800447343","0.2274457878","0.3699311113","0.6163337691","0.0318648469","0.0830422755","0.155944272","0.05","","0.0014","","0.0004059409","0.0000104902","","0.0000092","","0.0000014349","0.0000007602","","0","0","","","83.5657763915"
"2024-04-25","17.7404979671","36.660414677","11.5997798855","6.045043444","3.3933020723","2.4","1.2184170096","0.1013500339","0.5800449514","0.2274508853","0.3904716664","0.5661976307","0.0318619427","0.0840776581","0.155944272","0.05","","0.0014","","0.0003531999","0.0000008594","","0.0000096","","0.0000019128","0.0000010136","","0","0","","","81.2466206817"
"2024-04-26","18.3591612052","36.1537749734","11.6300686252","6.380921376","3.2997144836","2.4","1.2188640096","0.1244793194","0.5800449323","0.2274543981","0.3906316664","0.9311541203","0.0314925118","0.0840804768","0.155944272","0.05","","0.0014","","0.0003833455","0.0000083693","","0.0000092","0.0000041364","0.0000019128","0.0000010136","","0","0","","","82.0195943477"
"2024-04-27","15.5293870507","32.5078199789","11.3585451163","6.3769901244","3.4298922777","2.4","1.2188490096","0.1305989544","0.6242109414","0.2274555339","0.3905816664","0.5668239426","0.0307997252","0.0840804768","0.155944272","0.05","","0.0014","","0.0003384482","0.0000001105","","0.0000108","","0.0000014349","0.0000007602","","0","0","","","75.0837306241"
"2024-04-28","14.9581843524","32.4073410162","11.358447221","6.3761508877","3.3583322889","2.4","1.2185370096","0.1305989544","0.5800442913","0.2274555369","0.3901216664","0.5680058877","0.0306988026","0.0840804768","0.155944272","0.05","","0.0014","","0.0003848424","0","","0.0000096","","0.0000019128","0.0000010136","","0","0","","","74.2957400327"
"2024-04-29","19.1547530341","38.6414900304","11.3595471142","6.3798097861","3.3384770222","2.4","1.2189780096","0.1344073619","0.5719202511","1.3943090806","0.3906316664","0.5698320491","0.0331208098","0.0840819105","0.155944272","0.05","","0.0014","","0.0004210225","0.0000001005","","0.0000088","0.0000065379","0.0000014349","0.0000007602","","0","0","","","85.879141054"
"2024-04-30","20.8542875545","36.1207652788","11.3803589967","6.3823929888","3.3849202139","2.4","1.2185460096","0.150138113","0.5667117493","0.6207305205","0.3903266664","0.5819924737","0.0339484208","0.0840984929","0.155944272","0.04","","0.0007","","0.0003784","0.0000003966","","0.0000064","0.0001821755","0.0000019128","0.0000007602","","0","0","","","84.366431796"
"2024-05-01","19.2955410748","36.7622280472","11.4128250262","6.3808753372","3.3292527722","2.4","1.179917304","0.181396983","0.1742325488","0.4170493482","0.3780985472","0.5544888949","0.0317638421","0.0814094084","0.150913812","0.04","1","0","","0.0000153311","0.0000001374","","0.0000088","","0.0000019128","0.0000010136","","0","0","","","83.7700201411"
"2024-05-02","21.6327420721","39.9432392802","11.4758654874","6.3815401404","3.3405701389","2.4","1.179512304","0.2093060926","0.5484320244","0.4156335097","0.3787885472","0.9335731047","0.0329866996","0.0814094097","0.150913812","0.05","","0","","0.0001390832","0.000001619","","0.0000092","","0.0000014349","0.0000010136","","0","0","","","89.1546649736"
"2024-05-03","24.4133110475","41.4041196391","11.5947371839","6.3854146143","3.4217739305","2.4","1.180421304","0.2344163131","0.5731296208","0.7375398286","0.4127894624","0.5663785641","0.0338251955","0.081622915","0.150913812","0.05","","0","","0.000385719","0.0000001374","","0.0000084","","0.0000019128","0.0000007602","","0","0","","","93.6407903602"
"2024-05-04","15.0560449478","36.8976383266","11.4784179761","6.3777597515","3.3401284389","2.4","1.180355304","0.2481917952","0.5742378344","0.4411299557","0.4173682264","0.5553813261","0.0302451371","0.0816473392","0.150913812","0.05","","0","","0.0003515655","0","","0.00001","","0.0000014349","0.0000010136","","0","0","","","79.279824185"
"2024-05-05","15.3361972197","37.0056725423","11.4786707606","6.3768647566","3.2855229169","2.4","1.180361304","0.2481917952","0.5742378496","0.4396122642","0.4167082264","0.55538804","0.0302600222","0.0816473392","0.150913812","0.05","","0","","0.000361106","0","","0.0000092","","0.0000019128","0.0000010136","","0","0","","","79.6106220813"
"2024-05-06","25.5808076698","47.7895371709","11.7131683123","6.3821065953","3.3372738973","2.4","1.178222304","0.2536076277","0.5746786245","1.2321730053","0.4414282264","0.5929023058","0.0490801541","0.0821312783","0.150913812","0.05","","0","","0.0004152873","0.0000011712","","0.0000084","","0.0000019128","0.0000007602","","0","0","","","101.8084585152"
"2024-05-07","20.7563637296","40.6436150022","11.7782794545","6.3807947408","3.4062836501","2.4","1.179575304","0.2600674006","0.5742393055","1.5534697126","0.4322082264","0.5939186043","0.0444757368","0.0821547905","0.150913812","0.05","","0","","0.0003744134","0.0000001005","","0.000008","","0.0000014349","0.0000010136","","0","0","","","90.2867444323"
"2024-05-08","27.2964657342","43.429301689","12.0034188684","6.766859638","3.3616031361","2.4","1.179485304","0.2731124667","0.5742395431","2.0856572848","0.4065689253","0.5694507087","0.0497766294","0.0821743341","0.150913812","0.05","","0","","0.0003915356","0.0000001005","","0.0000084","","0.0000019128","0.0000010136","","0","0","","","100.6794310363"
"2024-05-09","22.5824359615","42.5163929142","11.971887982","6.9585101898","3.3682296084","2.4","1.179479304","0.2868516777","0.5742395599","1.3361347488","0.4227882264","0.5595399421","0.0494597039","0.0821743341","0.150913812","0.05","","0","","0.0003611029","0.000001014","","0.0000084","","0.0000014349","0.0000007602","","0","0","","","94.4894106768"
