"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Network Firewall($)","CloudWatch($)","VPC($)","Elastic File System($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","Route 53($)","Directory Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Key Management Service($)","Direct Connect($)","Lambda($)","Backup($)","Athena($)","SQS($)","Cost Explorer($)","OpenSearch Service($)","Service Catalog($)","SNS($)","Systems Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"2024-05-14","976.684447181","860.0904644946","40.6177122299","49.4090503268","75.5730075159","15.1384649358","17.6083618806","6.1548778701","7.776","4.8","5.8057412","3.3736963555","1.5914025027","1.76631258","0.7440521867","0.623595216","2.0639388866","0.566095142","0.350794599","","0.2756048","0.05","","0","0.0001989895","","0.0000019128","0.0000010136","","","0","0","","","","2071.0638218191"
"2024-05-15","979.325051231","864.8066923055","41.5246031383","49.0784370591","86.0083481591","15.3274225639","18.0644519339","6.317622085","7.776","4.8","5.8158656","3.3674023253","1.6012490195","1.7400774725","0.7635774902","0.622056216","2.07001941","0.4515289892","0.3508220196","","0.3490976","0.05","","0","0.0011657005","","0.0000019128","0.0000010136","","","0","0","","","","2090.211493245"
"2024-05-16","977.4277731644","862.9712761502","41.9122164956","46.4164054082","91.5178859634","14.9247336048","18.2293927902","6.3523274557","7.776","4.8","5.606876","3.2388410247","1.6200795974","1.76478258","0.7269424871","0.623589216","1.9882687665","0.4333878018","0.3508337297","","0.3080484","0.05","","0","0.0013361004","","0.0000014349","0.0000007602","","","0","0","","","","2089.0409989312"
"2024-05-17","969.0039360333","846.3780524101","41.6912470743","48.1468719863","72.9066060512","14.7223490634","18.0247717986","6.35203808","7.776","4.8","5.575554","3.375581864","1.6287585808","1.74773258","0.7318228104","0.623856216","1.9966063051","0.4394349546","0.3508337098","","0.303626","0.05","","0","0.0014473741","","0.0000019128","0.0000010136","","","0","0","","","","2046.6271298184"
"2024-05-18","976.3657345989","853.3722889139","42.7481565449","47.5910660137","71.4599672014","14.4473598095","18.012824428","6.3962979579","7.776","4.8","5.5044196","3.3351142613","1.62926826","1.67340258","1.4859126346","0.623802216","2.2093587728","0.4543659864","0.3508336207","","0.3117824","0.05","","0","0.0009369238","","0.0000019128","0.0000010136","","","0","0","","","","2060.5988956502"
"2024-05-19","966.0065569782","836.6241980324","42.2807812509","43.5566189871","66.5256352109","14.0122076245","18.0020906455","7.5192432245","7.776","4.8","5.025174","3.4504561973","1.62926826","1.68674758","0.7318375841","0.622326216","2.0416805284","0.324913772","0.3508336204","","0.3367968","0.05","","0","0.0014188417","","0.0000014349","0.0000007602","","","0","0","","","","2023.354787549"
"2024-05-20","978.4955911116","845.2410604285","43.1011916341","46.9817305177","74.6344231336","15.1279757008","17.3683125994","5.4292841295","7.776","4.8","5.498818","3.3050216694","1.6317446052","1.67284258","0.7370070717","0.623343216","2.0097446899","0.494329812","0.350833567","","0.3741804","0.05","","0","0.0015890876","","0.0000019128","0.0000010136","","","0","0","","","","2055.7050268804"
"2024-05-21","998.0391065393","872.993720398","43.652669585","47.1140943851","93.4519792653","15.0626790844","17.0347798285","5.4540971563","7.776","4.8","5.6290804","3.4662910138","1.6414884861","1.71469258","0.7310807455","0.621870216","2.0611000353","0.4838841646","0.3508335669","","0.2989732","0.05","","0","0.0012842367","","0.0000014349","0.0000010136","","","0","0","0","","","2122.4297073353"
"2024-05-22","1037.1881529507","853.4242215737","44.6865892736","48.7215803157","73.1791182653","14.9592127423","16.7642526317","5.7801193431","7.776","4.8","5.6873392","3.2784664694","1.657035221","1.72166258","0.7392048075","0.623802216","2.0205192286","0.4895648644","0.3513515812","","0.3362276","0.05","","0","0.0016146164","","0.0000019128","0.0000010136","0.0000000068","","0","0","","","","2124.2360384138"
"2024-05-23","951.0795317579","828.503743456","45.0558330274","45.4460075024","73.9304242612","14.7724687655","16.9137253747","5.3589563964","7.776","4.8","5.4180448","3.3439972028","1.6655411227","1.82750758","0.7284426314","0.623607216","1.9963885298","0.4164728003","0.3513509923","","0.35834","0.04","","0","0.0022683023","","0.0000019128","0.0000007602","","","0","0","","","","2010.4086543921"
