"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-27","24.5255237245","8.5674199773","5.1852325816","4.7763318409","0.0010618853","2.4","0.5736","1.0668038808","0.0018336","0.0937483328","0.0129256248","0","0.01","0.0014","0.0000268","0.0213120504","0.002838","0.000000312","0.0000006786","0.0000023952","","","0","0","","47.2400616842"
"2024-04-28","24.525552411","8.5695967038","5.1851874629","4.7774601348","0.0010569807","2.4","0.5736","1.0668054432","0.0018452","0.0937683328","0.0129256248","0","0.01","0.0014","0.0000072","0.0213120504","0.002898","0.000000283","0.0000005481","0.0000025715","","","0","0","","47.243418947"
"2024-04-29","24.5254799282","8.6644849312","5.1852080182","12.257159903","0.0239048881","2.4","0.5736","1.0668151536","0.0044036","0.0927883328","0.0154877653","0","0.01","0.0014","0.0000272","0.0213120504","0.002868","0.000000255","0.0000005742","0.000002705","","","0","0","","54.844943305"
"2024-04-30","24.5251967766","8.8101373089","5.1851518448","11.1685166732","0.0245788684","2.4","0.5736","1.0666792482","0.0043672","0.0940433328","0.0289994362","0","0.01","0.0014","0.0000228","0.0213120504","0.002934","0.000000299","0.0000004959","0.0000030174","","","0","0","","53.9169433518"
"2024-05-01","32.0226792206","10.0123239596","5.1907064618","10.9482752103","0.4090573866","2.4","0.5741761843","1.0322681008","0.0478744","0.0921279024","0.0356139066","0","0.01","0","1.0003608","0.0213120504","0.00225","0.00000027","0.0000006525","0.0000030606","","","0","0","","63.7990295665"
"2024-05-02","40.883454183","12.2571607067","5.1881362566","8.4256235901","0.3176725385","2.4","0.5742234481","1.0323049565","0.037964","0.0924629024","0.0381429187","0","0.01","0","0.0007244","0.0213120504","0.002715","0.000000299","0.0000005481","0.0000031062","","","0","0","","71.2819009043"
"2024-05-03","45.4082169305","18.9026613572","5.1893730238","10.3995528713","0.393298416","2.4","0.5743644309","1.1379160459","0.0448588","0.0912879024","0.0445620288","0.0000000043","0.01","0","0.0006076","0.0213120504","0.002709","0.000000284","0.0000005742","0.0000030155","","","0","0","","84.6207243352"
"2024-05-04","47.3274581942","9.4387720491","5.1851960717","9.6256725272","0.0773605577","2.4","0.5736689335","1.1870974538","0.0018516","0.0923779024","0.0479006184","0","0.01","0","0.0001244","0.0213120504","0.002706","0.000000328","0.0000005742","0.0000030937","","","0","0","","75.9915023543"
"2024-05-05","47.6682918433","9.4421034683","5.1852829922","9.6402154596","0.0773614071","2.4","0.573612","1.1870974538","0.0018684","0.0924879024","0.0479006184","0","0.01","0","0.0000212","0.0213120504","0.002574","0.000000358","0.0000005742","0.0000031402","","","0","0","","76.3501328679"
"2024-05-06","47.6682862743","11.6627164955","5.1873153856","9.8268240346","0.111890602","2.4","0.574055111","1.1870988128","0.0083416","0.0909779024","0.0498403944","0","0.01","0","0.0003732","0.0213120504","0.002442","0.000000328","0.0000006003","0.0000031054","","","0","0","","78.8014778967"
