"Service","EC2-Instances($)","EC2-Other($)","ElastiCache($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","S3($)","SQS($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-02","46.7060010299","25.7053102617","7.44","5.0555764773","3.7433879156","3.0806024647","2.4","0.5812003974","0.6521776","0.1989129936","0.068290128","0.0404848656","","","0","0.00011","0","0.0000019128","0.0000010136","","0","0","","95.6720570602"
"2024-05-03","46.7338251731","25.6697020562","7.44","5.0443328872","3.7391896204","3.0850568662","2.4","1.9732552225","0.652934","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.0001","0","0.0000019128","0.0000010136","","0","0","","97.0560867392"
"2024-05-04","46.7661828443","25.6637328317","7.44","5.0405264012","3.7062890691","3.0857710054","2.4","0.9375697324","0.652644","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.000105","0","0.0000014349","0.0000007602","","0","0","","96.0105110664"
"2024-05-05","46.7575075247","25.6318875001","7.44","5.0403913539","3.6990106777","3.0832279141","2.4","0.651576367","0.6525384","0.1989129936","0.068446128","0.0404848656","0.01","","0","0.0001","0","0.0000019128","0.0000007602","","0","0","","95.6740863977"
"2024-05-06","46.7745698689","25.8463698812","7.44","5.0528549168","3.7375635937","3.0961750294","2.4","0.7223327068","0.6522152","0.1989175479","0.068290128","0.0404848656","0.01","","0","0.000105","0","0.0000014349","0.0000010136","","0","0","","96.0398811868"
"2024-05-07","46.780364783","25.7343062867","7.44","5.0424519358","3.7225839312","3.0801087853","2.4","0.6659143495","0.6524248","0.1989129936","0.068446128","0.0404848656","0.01","","0","0.0001","0","0.0000019128","0.0000010136","","0","0","","95.8361017851"
"2024-05-08","46.8308632144","26.1823168468","7.44","5.0499888807","3.74515749","3.1191461209","2.4","0.6574347188","0.652394","0.1989277946","0.068290128","0.0404848656","0.01","","0","0.00009","0","0.0000014349","0.0000007602","","0","0","","96.3950962549"
"2024-05-09","46.7805553614","25.7587248529","7.44","5.0417592688","3.7424533323","3.0844698515","2.4","0.6599032465","0.6519368","0.1989129936","0.068293128","0.0404848656","0.01","","0","0.000095","0","0.0000019128","0.0000010136","","0","0","","95.877591627"
"2024-05-10","46.8971882111","26.1594483313","7.44","5.0517856968","3.7282704953","3.121662083","2.4","0.6805463847","0.6520804","0.1989203941","0.067744128","0.0404848656","0.01","","0","0.00011","0.0000000022","0.0000014349","0.0000010136","","0","0","","96.4482434406"
"2024-05-11","46.7710317932","25.8687383529","7.44","5.0403749671","3.682366937","3.1556591239","2.4","0.6553228412","0.652266","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.00013","0","0.0000019128","0.0000010136","","0","0","","95.9835809289"
"2024-05-12","46.7582775771","25.7025225911","7.44","5.0403509747","3.6752088837","3.163004073","2.4","0.6535788881","0.6519372","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.000125","0","0.0000014349","0.0000010136","","0","0","","95.8026956234"
"2024-05-13","46.8548029785","26.0049857046","7.44","5.0563886989","3.7443812987","3.1778735342","2.4","0.6797817293","0.65152","0.1989221022","0.068290128","0.0404848656","0.01","","0","0.000095","0","0.0000019128","0.0000007602","","0","0","","96.327528713"
"2024-05-14","46.8316191789","26.1446118484","7.44","5.0482986818","3.8028650197","3.5192758748","2.4","0.7523002982","0.6512716","0.1989252334","0.068290128","0.0404848656","0.01","","0","0.000115","0","0.0000014349","0.0000010136","","0","0","","96.9080601773"
"2024-05-15","46.8657808213","25.9577053611","7.44","5.0474619663","3.7100902362","3.1689621118","2.4","0.6767163014","0.6515508","0.1989129936","0.068380128","0.0404848656","0.01","","0","0.000115","0","0.0000019128","0.0000010136","","0","0","","96.2361635117"
"2024-05-16","46.7590316639","25.7464833196","7.44","6.7157718529","3.6775811728","3.1709391726","2.4","0.6837683127","0.6516304","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.000105","0","0.0000019128","0.0000010136","","0","0","","97.5630018081"
"2024-05-17","46.8055285545","25.9697460653","7.44","7.9233666199","3.6802975597","3.1725512158","2.4","0.6828329146","0.6514048","0.198918971","0.068308128","0.0404848656","0.01","","0","0.00012","0","0.0000019128","0.0000010136","","0","0","","99.0435626208"
"2024-05-18","46.7777462652","25.7510330788","7.44","7.9204948823","3.6749457809","3.1678153798","2.4","0.6564343713","0.6512968","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.00011","0","0.0000014349","0.0000007602","","0","0","","98.7575667406"
"2024-05-19","46.7356146798","25.7182258123","7.44","7.9203981999","3.670302607","3.1593852733","2.4","0.6553422213","0.6520368","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.000105","0","0.0000019128","0.0000010136","","0","0","","98.6691015072"
"2024-05-20","46.7821124091","25.8117099731","7.44","7.921233571","3.6791110725","3.1608044792","2.4","1.695358613","0.6518096","0.1989129936","0.068290128","0.0404848656","0.01","","0","0.000125","0","0.0000014349","0.0000010136","","0","0","","99.8599551536"
"2024-05-21","46.9312062963","26.3167752169","7.44","7.9285101498","3.7356162226","3.2203549042","2.4","1.4249459461","0.6515644","0.1989221062","0.067900128","0.0404848656","0.01","","0","0.00011","0","0.0000019128","0.0000010136","","0","0","","100.3663931621"
"2024-05-22","47.0876813723","26.6476925954","7.44","7.9369607013","3.7080443272","3.3710036237","2.4","2.5306466632","0.6513152","0.1989406151","0.068389128","0.0404848656","0.01","","0","0.00011","0","0.0000019128","0.0000007602","","0","0","","102.0912717648"
"2024-05-23","47.7230444551","26.2982923464","7.44","7.9311973024","3.7008945738","3.406003048","2.4","2.163030523","0.6517736","0.1989175599","0.068290128","0.0406550389","0.01","","0","0.000115","0","0.0000014349","0.0000010136","","0","0","","102.032216024"
"2024-05-24","49.3407064032","26.3034210427","7.44","7.9258062516","3.6866646954","3.8692170051","2.4","3.1794630434","0.6515308","0.198918983","0.068290128","0.0410694768","0.01","","0","0.000105","0","0.0000019128","0.0000010136","","0","0","","105.1151957556"
"2024-05-25","49.2472008801","26.1602439823","7.44","7.9584880959","3.6755423879","3.5295180104","2.4","0.6605391982","0.6519616","0.1989130056","0.068290128","0.0410694768","0.01","","0","0.00011","0","0.0000014349","0.0000007602","","0","0","","102.0418789603"
"2024-05-26","49.2246008804","26.1152569634","7.44","8.1390615112","3.6705446237","3.522755131","2.4","0.6573101678","0.6517256","0.1989130056","0.068413128","0.0410694768","0.01","","0.0014","0.00009","0","0.0000019128","0.0000010136","","0","0","","102.1411434143"
"2024-05-27","49.4217483619","26.7404661055","7.44","8.166217746","3.6910238147","3.5800201225","2.4","5.8529742884","0.6519324","0.1989144287","0.067927128","0.0410694768","0.01","","0.0014","0.00009","0.0000000044","0.0000019128","0.0000007602","","0","0","","108.2637865499"
"2024-05-28","49.2698851827","26.2441758448","7.44","8.1653675766","3.6818004739","3.5891741283","2.4","1.8875638719","0.6513828","0.1989130056","0.068494128","0.0410694768","0.01","","0.0014","0.000095","0","0.0000019128","0.0000010136","","0","0","","103.649324415"
"2024-05-29","49.1948090401","31.5839906356","7.44","8.1748571455","3.7577567294","3.6313778913","2.4","1.4097545806","0.6521968","0.1989130056","0.068413128","0.0410694768","0.01","","0.0014","0.00008","0","0.0000014349","0.0000010136","","0","0","","108.5646208814"
"2024-05-30","49.198363438","26.5568942657","7.44","8.167534935","3.7044828522","3.5735219373","2.4","0.7619837346","0.6518416","0.1989130056","0.068494128","0.0410694768","0.01","","0.0014","0.000095","0","0.0000019128","0.0000007602","","0","0","","102.7745970462"
"2024-05-31","49.2124958071","26.1041709248","7.44","7.949116634","3.7017133597","3.6245122682","2.4","1.6529762312","0.651834","0.1989130056","0.068413128","0.0410694768","0.01","","0.0014","0.000095","0","0.0000014349","0.0000010136","","0","0","","103.0567122839"
"2024-06-01","49.1152631606","26.8294439084","7.44","7.9215326394","3.6756432918","2.2339788867","2.4","0.7111518962","0.6376376","0.056832","0.0704406672","0.042438456","0.01","0.5","0","0.00012","0","0.0000019128","0.0000007602","","0","0","","101.6444851793"
"2024-06-02","49.1347566095","26.8434545575","7.44","7.9216600697","3.6694385242","4.0076130883","2.4","0.7098426782","0.65129","0.1989130261","0.0704406672","0.042438456","0.01","","0","0.000105","0","0.0000014349","0.0000010136","","0","0","","103.0999551252"
"2024-06-03","49.2240046551","26.9195511587","7.44","7.9340393015","3.6896779434","3.6862580641","2.4","1.5013516991","0.6512108","0.198913027","0.0704406672","0.042438456","0.01","","0","0.000105","0.0000000043","0.0000019128","0.0000010136","","0","0","","103.7679937028"
"2024-06-04","49.2001075788","26.9936971899","7.44","7.9253407249","3.6898768324","3.6915668833","2.4","0.7163878779","0.6526024","0.1989190033","0.0698946672","0.042438456","0.01","","0","0.000105","0","0.0000019128","0.0000007602","","0","0","","103.0309392867"
"2024-06-05","49.2751924981","27.1140752369","7.44","7.9314239723","3.6897354002","3.7015975539","2.4","1.6921512455","0.6516816","0.1989221392","0.0698946672","0.042438456","0.01","","0","0.00009","0","0.0000014349","0.0000010136","","0","0","","104.2172052178"
"2024-06-06","49.2727336886","27.4605420448","7.44","7.9296945214","3.7028444698","3.7283789202","2.4","0.9722419316","0.6515936","0.1989221428","0.0701286672","0.042438456","0.01","","0","0.00009","0.0000000043","0.0000019128","0.0000010136","","0","0","","103.8796113731"
"2024-06-07","49.2256223459","27.0609347748","7.44","7.9227209288","3.7178385042","3.6870822904","2.4","1.0447819133","0.6520392","0.1989218667","0.0700506672","0.042438456","0.01","","0","0.000085","0","0.0000014349","0.0000007602","","0","0","","103.4725181424"
"2024-06-08","49.1730140354","26.8068501225","7.44","7.9895296202","3.6994930178","4.0158204749","2.4","0.714702666","0.6523388","0.1989130424","0.0700506672","0.042438456","0.01","","0","0.00008","0","0.0000019128","0.0000007602","","0","0","","103.2132335754"
"2024-06-09","49.0360368866","26.9277041604","7.44","8.0414866396","3.6777058126","3.6800089255","2.4","0.7111159066","0.6523368","0.198913044","0.0700506672","0.042438456","","","0","0.00008","0","0.0000014349","0.0000010136","","0","0","","102.877879747"
"2024-06-10","48.0546298996","27.0187594789","7.44","8.047924972","3.5537475698","3.7045079826","2.4","0.6838493321","0.6532152","0.1989235748","0.0700506672","0.042438456","0.01","","0","0.00009","0.0000000022","0.0000019128","0.0000007602","","0","0","","101.8781398082"
"2024-06-11","47.8785336704","27.0590478583","7.44","8.0500856743","3.7079874996","3.6978276325","2.4","3.2486396298","0.65282","0.1989173133","0.0700506672","0.042438456","0.01","","0","0.00008","0","0.0000014349","0.0000007602","","0","0","","104.4564305965"
"2024-06-12","47.801598003","27.2247833078","7.44","7.9394471854","3.7096211845","3.7062418918","2.4","0.7218751809","0.6536788","0.1989173124","0.0700506672","0.042438456","0.01","","0","0.000075","0","0.0000014349","0.0000010136","","0","0","","101.9187294375"
"2024-06-13","47.7909775233","27.0308082781","7.44","8.0410494233","3.7086415509","3.695686922","2.4","1.3370583339","0.652962","0.1989221526","0.0700506672","0.042438456","0.01","","0","0.000085","0","0.0000019128","0.0000010136","","0","0","","102.4186832337"
"2024-06-14","47.6956752966","26.7736742721","7.44","8.0525567108","3.6980627224","3.6901279728","2.4","3.8263657486","0.6530712","0.1989221446","0.0698946672","0.042438456","0.01","","0","0.00005","0","0.0000014349","0.0000005068","","0","0","","104.5508411328"
"2024-06-15","47.7186418777","26.6589338328","7.44","8.0405628636","3.6804728123","3.6778808406","2.4","3.0631633482","0.653232","0.198913044","0.0671168894","0.042438456","0.01","","0","0.000025","0","0.0000009566","0.0000007602","","0","0","","103.6513826814"
"2024-06-16","47.6726470914","26.6392803894","7.44","8.0405688185","3.6715731531","3.6696428656","2.4","0.7148154555","0.6535456","0.198913044","0.0698946672","0.042438456","0.01","","0","0.000005","0","0.0000004782","0.0000002534","","0","0","","101.2233252723"
"2024-06-17","47.7259869861","26.8017712335","7.44","8.0408650113","3.6993382922","3.6864198044","2.4","0.7216024538","0.6532976","0.198913044","0.0698946672","0.042438456","","","","","0.0000000022","","","","0","","","101.4805275507"
"2024-06-18","40.8730191666","26.7896677938","7.44","7.9324526054","3.701814803","3.6822945349","2.4","0.719934321","0.6527424","0.198913044","0.0698946672","0.042438456","","","","","","","","","0","","","94.5031717919"
"2024-06-19","41.3054284772","26.745468376","7.44","7.9297041241","3.7021231306","3.6953746008","2.4","2.2486144149","0.6523636","0.1989130271","0.0691926672","0.042438456","","","0","","","","","","0","0","","96.4296208739"
"2024-06-20","41.3269057988","27.1628294783","7.44","7.9319819029","3.6853472624","3.735253573","2.4","0.7232052966","0.6525012","0.198934383","0.0690366672","0.042438456","","","","","","","","","0","","","95.3684340182"
"2024-06-21","41.1999926419","26.6486586836","7.44","7.9235401992","3.686806723","3.6849287803","2.4","0.7223832455","0.6528564","0.198913034","0.0697386672","0.042438456","0.02","","0","0.000015","0","0.0000009566","0.0000005068","","0","0","","94.6902732941"
"2024-06-22","40.4427789017","26.7203308088","7.44","7.9206207507","3.6778049717","3.6953146371","2.4","1.2047269917","0.6534116","0.1989130324","0.0696606672","0.042438456","","","","0.000005","","0.0000004782","","","0","0","","94.4660062955"
