"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","S3($)","API Gateway($)","Elastic Load Balancing($)","CloudWatch($)","VPC($)","ElastiCache($)","DynamoDB($)","Route 53($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","Athena($)","Service Catalog($)","Key Management Service($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","CloudFormation($)","Total costs($)"
"2024-10-08","1177.0563501188","179.563938809","170.0298913733","21.4017329459","14.6687445259","8.6350275034","8.5148075685","9.9709743121","2.9520093672","0.1065604104","0.009706","0.0394846768","0.01","0.0285219565","","0.0294","0.003132","0.0000026398","0.0000084","0.0000014349","0.0000020076","","0","0","","","1593.0202960501"
"2024-10-09","1190.5041318724","180.1128170824","170.0408158804","21.170659414","12.6660583303","8.7740498294","8.6489093857","10.0082941965","2.9520093672","0.1065604104","0.0101044","0.0394196768","0.01","0.0285219565","","0.0245","0.003132","0.0000791398","0.0000064","0.0000019128","0.0000015057","","0","0","","","1605.1000727603"
"2024-10-10","1202.6224674508","181.0099208684","170.289787527","21.1405614084","12.9213286935","8.7166881671","8.6789666139","9.9380680988","2.952009732","0.1065604104","0.0100776","0.0394396768","0.01","0.0285225753","","0.028","0.003132","0.0002611658","0.0000068","0.0000019128","0.0000017591","","0","0","","","1618.4958024601"
"2024-10-11","1184.2458791836","179.7365484867","169.6253817986","21.2579195574","12.2128025073","8.4331239768","8.369245515","9.8675337372","2.9520093936","0.1065604104","0.0091808","0.0395296768","0.01","0.0285899356","","0.0343","0.003132","0.0003580531","0.0000088","0.0000014349","0.0000017532","","0","0","","","1596.9321070202"
"2024-10-12","1169.2835295021","178.5746150122","169.618955357","20.8208541391","11.9408009382","8.1642781269","8.1926510281","9.7642991192","2.9520094392","0.1065604104","0.0090632","0.0396196768","0.01","0.0285419565","","0.035","0.003045","0.0002307925","0.0000104","0.0000019128","0.0000020066","","0","0","","","1579.5440680176"
"2024-10-13","1172.1855329136","178.8289735766","169.1781026778","20.8854479269","13.1877038161","8.2490732638","8.5623599636","9.7471087919","2.9520094392","0.1065604104","0.0095944","0.0395546768","0.01","0.026879199","","0.0343","0.003132","0.0002876398","0.0000104","0.0000014349","0.0000015057","","0","0","","","1584.0066340361"
"2024-10-14","1202.6054648421","180.4159191981","170.033892112","21.3659262032","14.1031172382","8.7856570859","8.9800834769","10.0234769744","2.9520094392","0.1065604104","0.0100676","0.0380467736","0.01","0.0285219565","","0.0364","0.003129","0.0002691398","0.0000096","0.0000019128","0.0000020076","","0","0","","","1619.4985549707"
"2024-10-15","1208.0980780061","180.6017249457","170.3963966244","21.543206141","14.0452243999","8.7576640862","8.9792403913","9.9819706646","2.9520094392","0.1065604104","0.0102276","0.0396496768","0.01","0.0285419503","","0.0343","0.003132","0.0002622933","0.0000104","0.0000014349","0.0000020076","","0","0","","","1625.5882024717"
"2024-10-16","1203.3415236372","179.8526307304","170.1925982626","21.3524451963","13.9881286936","8.659602282","8.9764132209","9.9095133025","2.952009504","0.1065604104","0.0106724","0.0395996768","0.01","0.0285419461","","0.0392","0.003132","0.0002622925","0.0000084","0.0000019128","0.0000017591","","0","0","","","1619.4628456272"
"2024-10-17","1210.8651309312","180.1365303962","170.5409266652","21.4914240607","14.2771159401","8.6109455883","9.1177406148","9.9884411546","2.9520096216","0.1065604104","0.0107044","0.0395496768","0.01","0.0285419398","","0.0294","0.003219","0.0002327925","0.0000084","0.000001749","0.0000015057","","0","0","","","1628.2084848469"
"2024-10-18","1186.0579058551","178.9044988982","170.2066461133","21.4791516468","13.779462593","8.4330938389","8.9166407217","9.8982474774","2.9520093528","0.1065604104","0.0106596","0.0395646768","0.01","0.0285331836","","0.0294","0.003171","0.0013566593","0.0000072","0.0000019128","0.0000020076","","0","0","","","1600.8569131477"
"2024-10-19","1193.4366364662","179.3803791578","170.495915993","21.4840646534","13.9668248106","8.3238039755","8.9467954889","9.8069248355","2.9520093744","0.1065604104","0.0105268","0.0395596768","0.01","0.0285619232","","0.0308","0.003132","0.0002419462","0.0000084","0.0000014349","0.0000020056","","0","0","","","1609.0227493524"
"2024-10-20","1184.1601084967","178.7988632349","170.52577396","21.3482682332","12.9598986183","8.1847369269","8.520241126","9.7448230074","2.9520085032","0.1065604104","0.0105724","0.0395196768","0.01","0.0285219565","","0.0343","0.003219","0.0002581397","0.0000076","0.0000019128","0.0000015047","","0","0","","","1597.4276847075"
"2024-10-21","1215.4879979272","180.5089193271","170.6405613324","21.7622519851","13.9260444253","8.6287432945","8.9732337626","9.970895781","2.9520084648","0.1065604104","0.0109916","0.0394496768","0.01","0.0285219565","","0.0245","0.003132","0.0001886397","0.0000064","0.0000014349","0.0000017591","","0","0","","","1633.0740101774"
"2024-10-22","1212.6778763776","179.9811908629","170.9404910754","22.2121732404","13.9026331832","8.5676574131","8.9511113267","9.9052491114","2.9520080304","0.1065604104","0.0109736","0.0394696768","0.01","0.0285219565","","0.0245","0.003138","0.0002066397","0.0000064","0.0000014349","0.0000017542","","0","0","","","1630.3137704936"
"2024-10-23","1221.4308981951","180.7405502013","171.0419737864","22.1533736797","14.0374353474","8.5803182901","8.9985169773","10.0188730991","2.9520080304","0.1065604104","0.0106644","0.0394696768","0.01","0.0285619794","","0.0252","0.003132","0.0001684445","0.0000064","0.0000019128","0.0000020071","","0","0","","","1640.1777148378"
"2024-10-24","1213.0503632391","179.7243074849","171.2855699955","21.9835178302","13.6705157819","8.4896331068","8.8903480794","9.8645226781","2.9520080304","0.1065604104","0.0107696","0.0379067736","0.01","0.0285456587","","0.0238","0.003147","0.0002222342","0.000006","0.0000014349","0.0000015057","","0","0","","","1630.1317468438"
"2024-10-25","1221.9949326455","180.4881078405","171.2929708325","21.9436976104","13.6561841846","8.4775716001","8.8671706011","9.8963307691","2.9520082848","0.1065604104","0.0110096","0.0394896768","0.01","0.0285219565","","0.0245","0.003132","0.0001881397","0.000006","0.0000019128","0.0000017591","","0","0","","","1639.7923858239"
"2024-10-26","1218.7893224944","179.9806414241","171.1714836305","21.9823865989","13.8654817393","8.4656801068","8.8619967074","9.8367287643","2.9520082848","0.1065604104","0.010828","0.0395346768","0.01","0.028621865","","0.0217","0.003132","0.0001944035","0.0000068","0.0000014349","0.0000017542","","0","0","","","1636.1263110953"
"2024-10-27","1192.5606672138","178.8771163685","170.8920520348","22.1398768431","12.8765419861","8.128872801","8.4776602059","9.7505611919","2.9520089232","0.1065604104","0.011022","0.0394496768","0.01","0.0285219565","","0.0224","0.003132","0.0001846397","0.0000052","0.0000019128","0.0000015057","","0","0","","","1606.8766368702"
"2024-10-28","1226.752262084","180.6036760151","171.5503698621","22.6309931519","13.6494813963","8.5446804367","8.8001334115","9.8523501095","2.9520079464","0.1065604104","0.0109568","0.0394146768","0.01","0.0285219565","","0.0077","0.003132","0.0001921397","0.0000072","0.0000014349","0.0000017591","","0","0","","","1645.5424427909"
"2024-10-29","1235.7857446316","181.6524718714","171.2477888258","22.8330026466","13.9141949399","8.6016865053","8.8272802145","9.8822711068","2.9520079464","0.1065604104","0.0114052","0.0394746768","","0.0285619108","","0.0035","0.003132","0.0002239451","0.0000076","0.0000019128","0.0000017542","","0","0","","","1655.8893180984"
"2024-10-30","1229.3143271903","180.3639155551","171.0210656138","22.638129026","13.713119454","8.4611932484","8.8462142185","9.8105059299","2.9520080064","0.1065604104","0.0106232","0.0395096768","0.01","0.0260432869","","0.0042","0.003132","0.0002332925","0.0000072","0.0000014349","0.0000020076","","0","0","","","1647.3207907515"
"2024-10-31","1198.770537372","178.879368675","171.1362641573","22.3370754213","11.3363990215","7.9385638201","8.0552925392","9.6917896181","2.9520080064","0.1065604104","0.0103188","0.0394796768","0.01","0.0285327794","","0.0035","0.003132","0.0003461905","0.0000064","0.0000019128","0.0000017591","","0","0","","","1611.2991785599"
"2024-11-01","1213.8401977619","184.8694653095","170.7751849217","23.2872436596","15.5423999911","7.9448301547","6.9043172113","9.6151885705","2.9520082728","0.10656","1.010722","0.0407550008","0.01","0.0008488","","0","0.001188","0.0000031561","0.0000072","0.0000014349","0.0000015057","","0","0","","","1636.9009229506"
"2024-11-02","1200.6724781914","183.7146409439","171.0962585753","23.2611798007","15.9580654911","8.0342601005","8.0562047176","9.7817934841","2.952009072","0.106560416","0.0107996","0.0407500008","0.01","0.004296907","","0","0.003132","0.0000026398","0.0000056","0.0000019128","0.0000020071","","0","0","","","1623.7024414601"
"2024-11-03","1202.2303482461","183.7995474297","171.150626483","23.1938230549","14.8848553572","7.8317724753","7.7659968718","9.6408617187","2.9520084552","0.1065604115","0.0108308","0.0407450008","0.01","0.0285619357","","0","0.003306","0.0000029448","0.0000076","0.0000014349","0.0000017586","","0","0","","","1623.6498579782"
"2024-11-04","1279.0394883068","188.6153867809","171.3856586196","24.0223679932","12.2788133468","8.493369012","8.0027126589","9.9208204892","2.952008484","0.1065604119","0.0103368","0.0407250008","0.01","0.0285219565","","0","0.003132","0.0000026398","0.0000056","0.0000019128","0.0000017537","","0","0","","","1704.9099137669"
"2024-11-05","1240.1249660715","186.4395357416","170.7382269546","24.3685330959","12.7348716849","8.3479157868","8.1407787884","9.8218914076","2.952008484","0.1065604108","0.0102808","0.0406800008","0.02","0.0285419586","","0","0.003132","0.0000027925","0.0000064","0.0000019128","0.0000017591","","0","0","","","1663.8779360499"
"2024-11-06","1257.6846220564","187.4523007017","171.4409696371","23.9089053484","13.7236140372","8.3769948773","8.3552251352","9.764962433","2.952008484","0.1065604114","0.01021","0.0407200008","0.05","0.0286301046","","0","0.003171","0.0003277291","0.0000064","0.0000014349","0.0000015057","","0","0","","","1683.8992312968"
"2024-11-07","1258.1370306229","188.0869941848","171.6101893445","23.9370890929","13.0516901749","8.4816157248","8.2449557906","9.7770762956","2.9520084192","0.1065604159","0.010436","0.0407150008","0.06","0.0286377379","","0","0.00174","0.001078406","0.0000052","0.0000019128","0.0000020071","","0","0","","","1684.5278263307"
"2024-11-08","1260.5562584845","187.1220597529","171.6033703121","24.0921856654","12.999580764","8.3623563018","8.2120615276","9.7436409599","2.9520088056","0.1065604119","0.0102132","0.0408500008","0.05","0.0286974421","","0","","0.0022381417","0.0000084","0.0000014349","0.0000015057","","0","0","","0","1685.8820931109"
"2024-11-09","1216.8692521366","185.0463023268","171.4115759301","23.6585100864","13.4437282192","8.1120676713","8.2385644148","9.7289352951","2.9520097104","0.1065604145","0.0104728","0.0407450008","0.05","0.0285611253","","0","","0.0007643668","0.0000072","0.0000019128","0.0000020071","","0","0","","","1639.698060618"
"2024-11-10","1228.6381818953","185.7902995044","171.2215750729","23.7519038268","11.4331924703","8.1811230386","8.1933444583","9.71346619","2.9520084336","0.1065604151","0.0107412","0.0408150008","0.06","0.0286460525","","0","","0.001006393","0.0000076","0.0000014349","0.0000017542","","0","0","","","1650.1228747407"
"2024-11-11","1260.1007125106","187.672311766","171.3438563247","24.2294400976","11.6433719777","8.4575527243","8.3913297823","9.8312556799","2.9520084336","0.1065604145","0.0106308","0.0373166674","0.05","0.0285992026","","0","0.002016","0.0010494885","0.0000064","0.0000014349","0.0000017586","","0","0","","","1684.8580214632"
"2024-11-12","1267.1041538432","187.441145283","171.0604159506","24.4466190875","11.6272316569","8.354764827","8.3614465492","9.8983621991","2.9520087744","0.1065604107","0.0100724","0.0406600008","0.05","0.0286124713","","0.0042","0.003798","0.0017058286","0.0000044","0.0000019128","0.0000015057","","0","0","","","1691.4917651008"
"2024-11-13","1260.5460070398","185.8942087428","170.7260034376","24.2847365074","11.8848668445","8.2469124084","8.4810479447","9.8140994666","2.9520087744","0.1065604158","0.0104264","0.0406400008","0.06","0.0285219565","","0.0042","0.003822","0.0001331397","0.0000052","0.0000019128","0.0000017542","","0","0","","","1683.084203946"
"2024-11-14","1275.539557489","186.6372907761","171.0376207446","24.4862639615","12.4599778911","8.445083407","8.6535875888","9.8247704595","2.9520087744","0.1065604107","0.0101364","0.0389733341","0.05","0.0285413065","","0.0042","0.00396","0.0001487177","0.0000056","0.0000014349","0.0000020066","","0","0","","","1700.2786903025"
"2024-11-15","1304.2445137892","186.1430382542","171.0190746163","24.4186937099","13.1226493799","8.4356255525","8.7884118088","9.8086164475","2.9520090168","0.1065604119","0.0104628","0.0406650008","0.05","0.0285219565","","0.0035","0.004167","0.0001551397","0.0000056","0.0000014349","0.0000015057","","0","0","","","1729.1766734246"
"2024-11-16","1276.0360220515","186.0309157496","176.6410376729","24.5844887959","12.7874194091","8.2626264722","8.7130607151","9.7610582861","2.9520091848","0.1065604119","0.0104356","0.0407000008","0.05","0.0285219565","","0.0042","0.004098","0.0001701397","0.000006","0.0000014349","0.0000015057","","0","0","","","1706.0133333867"
"2024-11-17","1242.4414663395","184.1369477472","184.3719686705","24.3076541344","12.7097233631","7.9142904494","8.5760517752","9.6882036292","2.9520091848","0.1065604119","0.010146","0.0406750008","0.06","0.0285219565","","0.0042","0.004029","0.0001591397","0.0000044","0.0000014349","0.0000020071","","0","0","","","1677.3526146442"
"2024-11-18","1231.3215249449","185.5278311975","184.8422870991","24.8458010247","13.13424617","8.356833367","8.8885083741","9.9606726571","2.9520079776","0.1065604119","0.0101824","0.0407050008","0.05","0.0285419523","","0.0042","0.003897","0.0001602926","0.0000052","0.0000019128","0.0000015052","","0","0","","","1670.0739684876"
"2024-11-19","1132.21202893","185.2344446521","184.6494339668","25.0277669015","14.1722395541","8.2702669961","9.2974255432","9.9617499906","2.9520079776","0.1065604159","0.010358","0.0408700008","0.07","0.0284195938","","0.0035","0.003897","0.0001926563","0.0000052","0.0000014349","0.0000017542","","0","0","","","1572.0411705679"
"2024-11-20","1127.0701578827","184.7853262823","184.3384029509","24.6566226992","13.9016195545","8.1243252011","9.2117192768","9.7484582184","2.9520082176","0.1065604114","0.0108884","0.0406350008","0.05","0.0285226544","","0.0042","0.00396","0.0002061714","0.0000048","0.0000019128","0.0000017542","","0","0","","","1565.0336213885"
"2024-11-21","1140.802093605","185.1487138498","183.9910753772","24.8128531998","14.714358033","8.3060436846","9.4737400717","9.7985848017","2.9520082176","0.1065604114","0.0106052","0.0406450008","0.05","0.0285419919","","0.0042","0.003972","0.0001712924","0.0000052","0.0000014349","0.0000017591","","0","0","","","1580.2441751309"
"2024-11-22","1126.0144335834","184.3278483133","184.321887334","24.7658310189","14.3032027004","8.0678533128","9.3445104301","9.7647524948","2.9520082176","0.1065604106","0.0108944","0.0406850008","0.05","0.0285261044","","0.0042","0.004029","0.0001926546","0.0000052","0.0000014349","0.0000012523","","0","0","","","1564.1074228629"
"2024-11-23","1129.1459312263","184.6496140884","184.1074895921","24.7829721607","14.232624951","8.1097260728","9.2925574458","9.7353620825","2.9520095496","0.106560415","0.010104","0.0406650008","0.05","0.0285260128","","0.0042","0.004098","0.0002121548","0.0000048","0.0000014349","0.0000017591","","0","0","","","1567.2526607466"
"2024-11-24","1125.3697140338","184.4569713586","184.3529099921","24.6073752371","14.2259249059","7.8849407691","9.1831358172","9.6662685761","2.952008856","0.1065604112","0.0103552","0.0406500008","0.06","0.02858609","","0.0042","0.003891","0.0001781127","0.000004","0.0000019128","0.0000017542","","0","0","","","1562.9536780276"
"2024-11-25","1172.6590629239","186.2609291637","184.6934549364","25.9383557297","14.5109576065","8.4261379114","9.4146880711","9.8002040574","2.9520087216","0.1065604112","0.0104332","0.0406300008","0.05","0.0285344211","","0.0042","0.004029","0.0002848037","0.0000048","0.0000014349","0.0000015057","","0","0","","","1614.9004786991"
"2024-11-26","1164.1946178967","187.5686668725","184.7560477227","25.0871170355","13.9076114879","8.3586505782","10.1178228547","9.7980417068","2.9520087216","0.1065604114","0.0104752","0.0406250008","0.05","0.0285219565","0.009555","0.0042","0.003951","0.0001406397","0.0000056","0.0000019168","0.0000015175","","0","0","","","1606.9946231193"
"2024-11-27","1149.7048031375","186.4247454471","169.1148898337","25.1530407224","13.0435976889","8.1802531887","8.8362692903","9.7587324655","2.9520087216","0.1065604114","0.0107636","0.0407150008","0.07","0.0286001213","","0.0042","0.004047","0.0005581255","0.0000088","0.0000014437","0.0000020406","","0","0","","","1573.433797039"
"2024-11-28","1160.0644538566","185.9549863642","162.8759501377","25.0541255188","12.6121384658","8.2734589043","8.617161473","9.7606171836","2.9520087216","0.1065604119","0.010306","0.0407250008","0.06","0.0286219443","","0.0042","0.004032","0.0001464021","0.0000088","0.0000014437","0.0000015387","","0","0","","","1576.4195041671"
"2024-11-29","1166.5844290736","185.9385224203","162.9665759992","25.7724790575","13.2331830883","8.5249508108","8.8054354072","9.8163249383","2.9520090408","0.1065604119","0.0103096","0.0390133341","0.05","0.0285260023","","0.0035","0.003045","0.0001821559","0.0000088","0.0000019224","0.0000020406","","0","0","","","1584.8350591032"
"2024-11-30","1158.5735612998","185.9301837281","162.6804610806","25.1093320325","13.1878045245","8.6223971104","8.7622779088","9.8273433506","2.9520096936","0.1065604107","0.0093964","0.0406550008","0.05","0.0285261398","","0.0035","0.003942","0.0001821548","0.0000088","0.0000019216","0.0000020406","","0","0","","","1575.8881455972"
"2024-12-01","1123.1080981176","179.9462154644","162.6213336513","24.4699702196","19.4225660063","8.7023879932","6.7381815409","9.8156634863","2.9520093816","0.01776","1.0099836","0.0394046768","0.05","0.000808","","0","0.002268","0.0000036754","0.0000088","0.0000014437","0.0000015403","","0","0","","","1538.8966655974"
"2024-12-02","1149.4498679837","181.9372091705","163.9876627462","25.0833917434","19.9549424913","8.9429744403","8.7970147518","9.9350723123","2.9520084984","0.10656","0.0105996","0.0399496768","0.06","0.0204367044","","0","0.004212","0.000007547","0.0000088","0.0000019216","0.0000017905","","0","0","","","1571.2819221782"
"2024-12-03","1143.6279994694","181.1189194118","164.4835245613","24.4608603835","19.0961532288","8.6247224967","8.6428573041","9.8513860298","2.9520089184","0.1065604104","0.0100648","0.0394896768","0.05","0.0286380567","","0","0.00396","0.000003109","0.0000088","0.0000014437","0.0000017872","","0","0","","","1563.0971598876"
"2024-12-04","1155.6952873691","181.14939752","163.9873320561","24.5099061917","19.2241613779","8.6796889956","8.7201949499","9.8484426836","2.95200822","0.1065604104","0.01055","0.0393996768","0.05","0.0285647462","","0","0.004038","0.0000033115","0.0000088","0.0000019216","0.0000020376","","0","0","","","1575.005548268"
"2024-12-05","1150.9544554245","180.7704108642","162.9350573307","24.8109724995","15.2955138884","8.7218011636","8.6579735723","9.9800646987","2.95200822","0.1065604104","0.0100908","0.0377467736","0.05","0.0285261086","","0","0.004056","0.0000031564","0.0000088","0.0000014437","0.0000015387","","0","0","","","1565.3152526933"
"2024-12-06","1145.8983487366","180.4566491722","163.7855749285","24.5602615717","15.5318515738","8.6597011771","8.675662548","8.5957404229","2.9520059064","0.1065604104","0.0103072","0.0393546768","0.05","0.0285261482","","0","0.004104","0.0000031559","0.000008","0.0000019216","0.0000020392","","0","0","","","1559.3546635893"
"2024-12-07","1140.5297418167","180.1742391156","163.7751821479","24.5304017355","14.719270808","8.4690508049","8.4235731358","5.4517327444","2.9520049344","0.1065604104","0.0100212","0.0393796768","0.06","0.0284778501","","0","0.00396","0.0000434618","0.0000088","0.0000014429","0.0000015357","","0","0","","","1549.2736516209"
"2024-12-08","1130.6706414735","179.6199870317","162.9423154063","24.4680336452","10.3368510174","8.2684050321","7.2860618124","5.4637242124","2.952003636","0.1065604104","0.0100896","0.0393996768","0.05","0.0285477149","","0","0.004032","0.0001448079","0.0000072","0.0000019216","0.0000017907","","0","0","","","1532.2468083893"
"2024-12-09","1165.2828883994","181.1606404328","162.9353388909","24.9225217563","13.0719755569","8.5677556276","8.0795796459","5.4653098227","2.952003636","0.1065604104","0.009958","0.0395746768","0.05","0.0285260107","","0.0042","0.004515","0.0002626547","0.0000152","0.0000014494","0.000001808","","0","0","","","1572.6816289785"
"2024-12-10","1182.3864317786","182.0069223804","162.9554185836","25.2483231824","10.2076146751","8.6823093782","7.385814559","5.4824084297","2.952003636","0.1065604104","0.0096076","0.0396746768","0.05","0.0272132852","","0.0042","0.004764","0.0003065014","0.0000168","0.0000019304","0.0000018221","","0","0","","","1587.5495936293"
"2024-12-11","1153.5210599842","181.8695909727","162.9372311697","24.8749523853","12.479921733","8.4690838036","7.936022227","5.4595835911","2.9520035352","0.1065604104","0.0096868","0.0394096768","0.06","0.0285419607","","0.0035","0.002511","0.0001637925","0.0000104","0.0000014445","0.000001793","","0","0","","","1560.7498366797"
"2024-12-12","1065.5647774422","180.7447419755","162.072061179","24.8757088251","13.5287205482","8.5273753256","8.1762349262","5.4403607304","2.9520035352","0.1065604104","0.0092128","0.0394496768","0.05","0.0285219565","","0.0042","0.001824","0.0001551397","0.0000096","0.0000019224","0.0000017951","","0","0","","","1472.1219217883"
"2024-12-13","1065.9810678086","180.6667001238","162.6974510407","25.2683439541","12.0131515118","8.5411143123","8.2923523956","5.4929054395","2.9520032088","0.1065604104","0.0094076","0.0393846768","0.05","0.0285621691","","0.0042","0.001776","0.0001429451","0.0000088","0.0000019216","0.0000017872","","0","0","","","1472.1451361054"
"2024-12-14","1049.4263892541","179.7116832984","162.7549509684","24.7916399158","11.7850120997","8.3427105408","8.1980067132","5.4310335082","2.9520032088","0.1065604104","0.0093536","0.0394146768","0.05","0.0285419357","","0.0042","0.001776","0.0001492924","0.0000096","0.0000014437","0.0000017907","","0","0","","","1453.6334382571"
"2024-12-15","1044.8431852214","179.3861766646","162.7779250407","24.7068775523","6.9865988361","8.0554164963","6.7432369002","5.4027649435","2.9520032088","0.1065604104","0.0091656","0.0393946768","0.06","0.0285419523","","0.0042","0.001776","0.0001417918","0.0000088","0.0000019216","0.0000017872","","0","0","","","1442.103977804"
"2024-12-16","1068.5983731164","182.6215804078","162.7405357873","25.1876491186","11.4093328825","8.5710486154","8.1930445983","5.6357859558","2.9520025896","0.1065757554","0.0096432","0.0394196768","0.05","0.0285419919","","0.0035","0.001797","0.0001527918","0.0000088","0.0000014437","0.0000017921","","0","0","","","1476.1489955234"
"2024-12-17","1075.1792628976","185.315465953","162.8560578435","25.3658047226","11.7948087345","8.5952928075","8.2641728615","8.0234328123","2.9520025896","0.1065696479","0.0097672","0.0396496768","0.06","0.0285662336","","0.0042","0.00144","0.0002524962","0.0000088","0.0000019216","0.0000017872","","0","0","","","1488.5967589854"
"2024-12-18","1062.7279889187","182.5417823446","162.6861979036","25.0989929737","11.7154184205","8.3004375218","8.1954685098","6.4292405506","2.9520035832","0.1065604104","0.0094432","0.0377817736","0.05","0.0285322524","","0.0042","0.001587","0.0001190966","0.000008","0.0000014429","0.0000015357","","0","0","","","1470.8857654381"
"2024-12-19","1067.6930847373","182.6463478871","162.8044571752","25.2149678416","11.7021540239","8.3888263125","8.2042275793","5.7035947167","2.9520035832","0.1065604104","0.0099356","0.0394896768","0.05","0.0285323147","","0.0042","0.001791","0.0001307941","0.000008","0.0000019216","0.0000017893","","0","0","","","1475.5503153637"
"2024-12-20","1063.3091711151","182.7821577458","162.9199476067","25.0991056823","7.824781334","8.3784235044","7.1136934647","5.6783944","2.9520031224","0.1065604104","0.0104612","0.0393846768","0.05","0.0283184581","","0.007","0.001776","0.0001331397","0.0000088","0.0000014429","0.0000017851","","0","0","","","1466.3013238884"
"2024-12-21","1056.5896812414","182.1002802676","162.5743447178","25.1151431569","9.7792991685","8.2438050759","7.6475488205","5.9522034987","2.9520046464","0.1065604104","0.0102304","0.0377367736","0.06","0.026117693","","0.0084","0.001776","0.000128446","0.0000088","0.0000019216","0.0000015345","","0","0","","","1461.2052725728"
"2024-12-22","1047.2657946783","181.2015247156","162.854068372","25.033884415","10.3946974335","7.9146561354","7.7197967121","5.5803128429","2.9520046296","0.1065604104","0.0107408","0.0393696768","0.05","0.0250322638","","0.007","0.001752","0.0001382924","0.000008","0.0000014421","0.0000020406","","0","0","","","1451.1573448605"
"2024-12-23","1078.4845674427","183.5490688592","162.9379497038","25.197964371","11.7204481422","8.4089856265","8.2414165116","5.716094779","2.9520039528","0.1065604104","0.010822","0.0393746768","0.05","0.0207562699","","0.0084","0.001776","0.0001331397","0.0000088","0.0000014437","0.0000015368","","0","0","","","1487.4463336661"
