"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Cost Explorer($)","Service Catalog($)","Route 53($)","Secrets Manager($)","S3($)","DynamoDB($)","Key Management Service($)","SQS($)","Athena($)","SNS($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-29","26.4170789024","7.9904195855","4.5608105409","1.1474047479","1.038709692","0.01","0.0014","0.0001388","0.0279264512","0.0162086028","0.02131206","0.002967","0.000096","","0","0.0000033199","0.000000342","0.0000005481","0","0","","41.2344765927"
"2024-05-30","26.4154471045","7.9429800836","4.5604136648","1.1474040888","1.0383064662","0.01","0.0014","0.0002024","0.0268211824","0.0163412701","0.02131206","0.002829","0.000096","","0","0.0000032997","0.00000027","0.0000005481","0","0","","41.1835574382"
"2024-05-31","26.4172396742","7.9324563135","4.5603886372","1.1473976787","1.038709692","0.01","0.0007","0.00014","0.0279064512","0.0166941495","0.02131206","0.002829","0.0001008","","0","0.0000031467","0.000000313","0.0000006003","0","0","","41.1758785163"
"2024-06-01","26.3321129645","8.0837266884","4.5603611836","1.1473061099","0.9533333244","0.01","0","0.200058","0.0287566664","0.0169182485","0.0213120624","0.002772","0.000096","","0","0.0000033427","0.000000341","0.0000006003","0","0","","41.3567575321"
"2024-06-02","26.4174029462","8.0825293877","4.5603429417","1.1472311303","1.0733333232","0.01","0","0.0156956","0.0288516664","0.0170290498","0.0213120624","0.002706","0.0001008","","0","0.0000033218","0.000000341","0.0000006264","0","0","","41.3765391969"
"2024-06-03","26.4175688107","8.0908730299","5.8626378114","1.1474243288","1.0733333232","0.01","0","0.0001284","0.0284816664","0.0168443451","0.0213120637","0.002706","0.0000768","","0","0.0000032328","0.000000314","0.0000004959","0","0","","42.6713906219"
"2024-06-04","26.4176095326","8.081841227","7.4403984277","1.1473931046","1.0729166566","0.01","0","0.00025","0.0287566664","0.0165083845","0.0213120648","0.002706","0.0000864","","0","0.0000030564","0.000000299","0.0000005481","0","0","","44.2397823677"
"2024-06-05","26.4179729469","8.0987385988","7.4404025858","1.1473858222","1.0733333232","0.01","0","0.0002196","0.0284716664","0.0165581674","0.0213120648","0.002178","0.000096","","0","0.000002589","0.000000269","0.000000522","0","0","","44.2566721555"
"2024-06-06","26.4178449117","8.0897001343","7.4403815936","1.1473476444","1.0733333232","0.01","0","0.0001636","0.0285716664","0.016558711","0.0213120648","0.002442","0.0000864","","0","0.0000030827","0.000000252","0.0000004959","0","0","","44.24774588"
"2024-06-07","26.417957635","8.0801996987","7.4405117565","1.1472350222","1.0733333232","0.01","0","0.0000792","0.0280916664","0.0165392693","0.0213120648","0.002376","0.0000816","","0","0.0000031272","0.000000255","0.0000004698","0","0","","44.2377210881"
"2024-06-08","26.4178483835","8.0789323148","7.4405561986","1.1472052328","1.0733333232","","0","0.000032","0.0286616664","0.0169793919","0.0213120648","0.002376","0.0000816","","0","0.0000031254","0.000000269","0.0000004698","0","0","","44.2273220402"
"2024-06-09","26.4178688225","8.0797873838","7.4405571977","1.1472","1.0733333232","0.02","0","0.0000968","0.0282816664","0.0165456915","0.0213120648","0.002376","0.0000912","","0","0.0000031703","0.000000255","0.0000004698","0","0","","44.247454045"
"2024-06-10","26.4181195189","8.0801025589","7.4406137174","1.1472208184","1.0733333232","0.01","0","0.0000856","0.0284716664","0.0164986087","0.0213120648","0.00231","0.000072","","0","0.0000030801","0.000000239","0.0000003915","0","0","","44.2381435873"
"2024-06-11","26.4180391719","8.0797811072","7.4405683558","1.1472274667","1.0733333232","0.01","0","0.0000844","0.0282816664","0.0167140823","0.0213120648","0.002046","0.000072","","0","0.0000029503","0.000000225","0.0000003654","0","0","","44.237463179"
"2024-06-12","26.418214921","8.0804491397","7.4406312115","1.1472","1.0733333232","0.01","0","0.0000576","0.0281866664","0.0165140104","0.0213120648","0.002376","0.0000816","","0","0.0000031192","0.000000225","0.0000004176","0","0","","44.2383602988"
"2024-06-13","26.4183639211","8.0902617125","7.4405646208","1.1472362222","1.0720833234","0.01","0","0.0001248","0.0281916664","0.0164737955","0.0213120648","0.002376","0.000072","","0","0.0000030872","0.00000021","0.0000004698","0","0","","44.2470638937"
"2024-06-14","26.418425826","8.0800677375","7.4405761779","1.1472329777","1.0729166566","0.01","0","0.0000812","0.0277116664","0.0160776955","0.0213120648","0.002244","0.0000576","","0","0.0000031907","0.000000135","0.0000003132","0","0","","44.2367072413"
"2024-06-15","26.4184793074","8.0793909678","7.4405599284","1.1472","1.0733333232","0.01","0","0.0000484","0.0270466664","0.0154697267","0.0213120648","0.002244","0.0000192","","0","0.0000036263","0.000000075","0.0000001044","0","0","","44.2351073904"
"2024-06-16","26.3951516283","8.0885025896","7.4405663991","1.1472","1.0733333232","","0","0.0000136","0.0267616664","0.0152855894","0.0213120648","0.00231","0.0000048","","0","0.000003582","0.000000015","0.0000000261","0","0","","44.2104452839"
"2024-06-17","26.4187455675","8.0978453629","7.4405729565","1.1472","1.0733333232","0.01","","0.0000224","0.0255555553","0.0152169836","0.0213120648","0.00231","","","","0.0000037792","","","0","","","44.252117993"
"2024-06-18","20.4773775207","8.099347383","7.4405742857","1.1472","1.0733333232","","0","0.0000028","0.0255605553","0.0151313679","0.0213120648","0.002244","","","","0.0000034942","","","0","","","38.3020867948"
"2024-06-19","20.8688222501","8.2516588061","7.4416517285","1.1474115452","1.0733333232","","0","0.0000904","0.0266816664","0.0153616784","0.0213120648","0.00165","","","0.0000000043","0.0000033782","","0.0000000261","0","0","","38.8479768713"
"2024-06-20","21.075925501","8.291472683","7.4410323718","1.1473286717","1.0733333232","","","0.000096","0.0266666664","0.0152596996","0.0213120648","0.001518","","","","0.0000034073","","","0","","","39.0939483888"
"2024-06-21","21.0064173498","8.2891679856","7.4405906316","1.1472427111","1.0733333232","0.03","0","0.0001008","0.0268566664","0.0153011366","0.0213120648","0.002178","0.0000144","","0","0.0000033866","0.000000045","0.0000000783","0","0","","39.052518579"
"2024-06-22","20.9930819721","8.2892337856","7.4405607455","1.1472","1.0733333232","0.01","","0.0000324","0.0267616664","0.0151311098","0.0213120648","0.002046","","","","0.0000034437","","0.0000000261","0","","","39.0186965372"
"2024-06-23","21.0346427357","8.2912907774","7.4405646554","1.1472","1.0733333232","0.05","0","0.0000384","0.0273316664","0.0157262036","0.0213120648","0.002244","0.0000528","","0","0.0000032404","0.0000001637","0.0000002349","0","0","","39.1037402655"
"2024-06-24","21.0474833996","8.4841198649","7.449866736","1.1472725445","1.0733333232","0.01","0.0021","0.0001004","0.0293366664","0.0176755337","0.0213120648","0.002376","0.0001296","","0","0.0000030092","0.000000328","0.0000007047","0","0","","39.285110175"
"2024-06-25","21.2056056868","8.5688641151","7.4407151831","1.1472746667","1.0733333232","0.01","0.0021","0.0000884","0.0295166664","0.0175249606","0.0213120648","0.002376","0.000144","","0","0.0000027332","0.000000458","0.0000006525","0","0","","39.5188589104"
"2024-06-26","21.1310959809","8.504395086","7.4405588926","1.1472029718","1.0733333232","0.01","0.0021","0.0000152","0.0296116664","0.0173114247","0.0213120648","0.00198","0.0001248","","0","0.0000027259","0.000000458","0.0000008352","0","0","","39.3790454295"
"2024-06-27","21.244021595","8.5052197311","7.4405655079","1.1472254591","1.0733333232","0.01","0.0021","0.0000252","0.0285666664","0.01729038","0.0213120648","0.002376","0.000096","","0","0.000002746","0.000000342","0.0000006003","0","0","","39.4921356158"
"2024-06-28","21.2191046362","8.5049978471","7.4418979997","1.147525692","1.0733333232","0.01","0.0021","0.0001496","0.0284716664","0.0179557689","0.0213120648","0.002484","0.000144","","0","0.0000028612","0.000000444","0.0000008091","0","0","","39.4694807126"
"2024-06-29","21.4349543108","8.5042480231","7.4405782079","1.1472480444","1.0729166566","0.01","0.0014","0.0000452","0.0296116664","0.0179070555","0.0213120648","0.00207","0.0001536","","0","0.0000028055","0.000000472","0.0000006786","0","0","","39.6824487856"
"2024-06-30","20.9012028682","8.5093692193","7.4406231412","1.1472550825","1.0733333232","","0.0028","0.0000512","0.0297066664","0.0179649005","0.0213120648","0.002484","0.0001536","","0","0.0000028744","0.000000383","0.0000008352","0","0","","39.1462601587"
"2024-07-01","21.0679681709","8.3277806937","7.4408356296","1.1473591808","1.038709692","0.01","0","0.2001264","0.0287514512","0.0177603798","0.0213120624","0.00231","0.0001248","","0","0.0000028841","0.000000472","0.0000008091","0","0","","39.3030426256"
"2024-07-02","21.7682845945","8.3378618274","7.4405763445","1.1472444701","1.038709692","0.01","0","0.0000604","0.0281814512","0.0177166072","0.0213120624","0.002376","0.0001488","","0","0.0000027729","0.000000472","0.0000008352","0","0","","39.8124763294"
"2024-07-03","21.3687128276","8.3357799371","7.4405697814","1.1472607996","1.038709692","0.01","0","0.000072","0.0281814512","0.0179056494","0.0213120624","0.00231","0.0001536","","0","0.0000027934","0.000000472","0.0000008091","0","0","","39.4109718752"
"2024-07-04","21.3195717937","8.3206514788","7.441311388","1.1474088219","1.038709692","0.01","0","0.0000908","0.0278964512","0.0169883519","0.0213120624","0.002376","0.0001344","","0","0.0000030067","0.000000414","0.0000007308","0","0","","39.3464553914"
"2024-07-05","21.4034630667","8.3198752145","7.4405972977","1.1472572001","1.038709692","0.01","0","0.0000516","0.0278964512","0.016825015","0.0213120624","0.002376","0.0001104","","0","0.0000028755","0.000000356","0.0000006003","0","0","","39.4284778314"
"2024-07-06","21.3819741314","8.320985175","7.4405805017","1.1472339555","1.038709692","0.01","0","0.0000444","0.0267261824","0.0167400016","0.0213120624","0.002046","0.000096","","0","0.0000027503","0.000000328","0.0000005742","0","0","","39.4064517545"
"2024-07-07","21.3193357524","8.3256938676","7.440745992","1.1472409777","1.038709692","0.01","0","0.0000548","0.0277064512","0.0165699748","0.0213120624","0.00231","0.000096","","0","0.0000027808","0.000000344","0.0000005742","0","0","","39.3497792691"
"2024-07-08","21.4901752744","8.3171956291","7.4406002354","1.1472827112","1.038709692","0.01","0","0.0000864","0.0277064512","0.016825015","0.0213120624","0.002376","0.0001056","","0","0.0000028817","0.000000328","0.0000005481","0","0","","39.5123788285"
"2024-07-09","21.5101621125","8.3987360144","7.4413490825","1.1474124968","1.0383064662","0.01","0","0.0001192","0.0269411824","0.017205215","0.0213120624","0.001914","0.0001056","","0","0.0000028864","0.000000269","0.0000006003","0","0","","39.6135671879"
"2024-07-10","21.4839270915","8.4278804273","7.4415716796","1.1474603586","1.0383064662","0.01","0","0.000184","0.0286914512","0.0182952552","0.0213120624","0.002442","0.000144","","0","0.0000027729","0.00000043","0.0000006003","0","0","","39.6202185952"
"2024-07-11","21.4862373617","8.3297947926","7.4407421486","1.1473060663","1.038709692","0.01","0.0154","0.0001048","0.0276811824","0.018292038","0.0213120624","0.00231","0.0001536","","0","0.0000027957","0.000000472","0.0000008091","0","0","","39.5380478208"
"2024-07-12","21.4719140125","8.3148871094","7.4405660025","1.1472030626","1.038709692","0.01","0.0259","0.000026","0.0289414512","0.0178016932","0.0213120624","0.00231","0.0001536","","0","0.0000029502","0.0000005","0.0000008613","0","0","","39.5197289973"
"2024-07-13","21.3989154364","8.3143739055","7.4406135194","1.1472","1.038709692","0.01","0.315","0.0000192","0.0287514512","0.0182225992","0.0213120624","0.002376","0.0001536","","0","0.0000030354","0.000000486","0.0000008352","0","0","","39.7356518227"
"2024-07-14","21.321145831","8.3167810137","7.4406207299","1.1472","1.038709692","0.01","0.3094","0.0000112","0.0285614512","0.017967559","0.0213120624","0.002376","0.000144","","0","0.0000029052","0.000000444","0.000000783","0","0","","39.6542336714"
"2024-07-15","21.5446919492","8.3319719903","7.440632221","1.1472024445","1.038709692","0.01","0.4046","0.0000064","0.0281814512","0.0181375858","0.0213120624","0.002376","0.0001488","","0","0.0000028833","0.000000458","0.0000008091","0","0","","39.9879747468"
"2024-07-16","21.4710673121","8.3150554594","7.4406089201","1.1472","1.038709692","0.01","0.4046","0.0031716","0.0286564512","0.0177125188","0.0213120624","0.002376","0.0001392","","0","0.0000030312","0.000000444","0.000000783","0","0","","39.9006134742"
"2024-07-17","22.7958248714","9.0318450714","7.4408015365","1.1472","1.038709692","0.01","0.3927","0.0000108","0.0286564512","0.0180547029","0.0213120624","0.002403","0.000144","","0","0.0000030878","0.00000043","0.0000007047","0","0","","41.9276664103"
"2024-07-18","23.7126041042","9.6352651565","7.4405659303","1.1472","1.038709692","0.01","0.3689","0.000022","0.0274861824","0.0180546884","0.0213120624","0.00231","0.0001392","","0","0.0000029506","0.00000043","0.0000006786","0","0","","43.4225730754"
"2024-07-19","23.3944542012","9.6341940225","7.440562849","1.1472","1.038709692","0.01","0.3332","0.0000136","0.0276114512","0.0176275054","0.0213120624","0.002376","0.00012","","0","0.0000028708","0.0000011521","0.0000006525","0","0","","43.0673860591"
