account_id,month,proportion_pct,minimum_commitment
992382754296,2025-05-01,0.002,1267.7
992382754296,2025-06-01,0.002,1331.13
992382754296,2025-07-01,0.002,1397.66
992382754296,2025-08-01,0.002,1467.53
992382754296,2025-09-01,0.003,1540.96
992382754296,2025-10-01,0.003,1617.95
992382754296,2025-11-01,0.003,1698.83
992382754296,2025-12-01,0.003,1783.81
992382754296,2026-01-01,0.003,1872.98
992382754296,2026-02-01,0.003,1966.65
992382754296,2026-03-01,0.003,2064.97
891377131146,2025-04-01,0.018,10928.51
891377131146,2025-05-01,0.019,11474.94
891377131146,2025-06-01,0.02,12048.66
891377131146,2025-07-01,0.021,12651.06
891377131146,2025-08-01,0.022,13283.64
891377131146,2025-09-01,0.023,13947.85
891377131146,2025-10-01,0.024,14645.24
891377131146,2025-11-01,0.026,15377.45
891377131146,2025-12-01,0.027,16146.34
891377131146,2026-01-01,0.028,16953.69
891377131146,2026-02-01,0.03,17801.36
891377131146,2026-03-01,0.031,18691.44
767398050080,2025-04-01,0.326,195657.17
767398050080,2025-05-01,0.331,198591.98
767398050080,2025-06-01,0.336,201570.92
767398050080,2025-07-01,0.341,204594.44
767398050080,2025-08-01,0.346,207663.33
767398050080,2025-09-01,0.351,210778.35
767398050080,2025-10-01,0.357,213939.97
767398050080,2025-11-01,0.362,217149.13
767398050080,2025-12-01,0.367,220406.36
767398050080,2026-01-01,0.373,223712.44
767398050080,2026-02-01,0.378,227068.14
767398050080,2026-03-01,0.384,230474.09
736384229724,2025-04-01,0.004,2633.11
736384229724,2025-05-01,0.004,2659.47
736384229724,2025-06-01,0.004,2686.07
736384229724,2025-07-01,0.005,2712.9
736384229724,2025-08-01,0.005,2740.04
736384229724,2025-09-01,0.005,2767.41
736384229724,2025-10-01,0.005,2795.09
736384229724,2025-11-01,0.005,2823.08
736384229724,2025-12-01,0.005,2851.31
736384229724,2026-01-01,0.005,2879.84
736384229724,2026-02-01,0.005,2908.61
736384229724,2026-03-01,0.005,2937.69
252197745876,2025-04-01,0.019,11348.08
252197745876,2025-05-01,0.019,11461.52
252197745876,2025-06-01,0.019,11576.13
252197745876,2025-07-01,0.019,11691.89
252197745876,2025-08-01,0.02,11808.82
252197745876,2025-09-01,0.02,11926.92
252197745876,2025-10-01,0.02,12046.17
252197745876,2025-11-01,0.02,12166.67
252197745876,2025-12-01,0.02,12288.33
252197745876,2026-01-01,0.021,12411.23
252197745876,2026-02-01,0.021,12535.3
252197745876,2026-03-01,0.021,12660.68
161115069565,2025-04-01,0.023,13836.89
161115069565,2025-05-01,0.023,13975.3
161115069565,2025-06-01,0.024,14115.02
161115069565,2025-07-01,0.024,14256.22
161115069565,2025-08-01,0.024,14398.74
161115069565,2025-09-01,0.024,14542.73
161115069565,2025-10-01,0.024,14688.2
161115069565,2025-11-01,0.025,14835.06
161115069565,2025-12-01,0.025,14983.4
161115069565,2026-01-01,0.025,15133.2
161115069565,2026-02-01,0.025,15284.56
161115069565,2026-03-01,0.026,15437.39
264522784930,2025-04-01,0.0,0.0
264522784930,2025-05-01,0.0,0.0
264522784930,2025-06-01,0.0,0.0
264522784930,2025-07-01,0.0,0.0
264522784930,2025-08-01,0.0,0.0
264522784930,2025-09-01,0.0,0.0
264522784930,2025-10-01,0.0,0.0
264522784930,2025-11-01,0.0,0.0
264522784930,2025-12-01,0.0,0.0
264522784930,2026-01-01,0.0,0.0
264522784930,2026-02-01,0.0,0.0
264522784930,2026-03-01,0.0,0.0
647564693872,2025-04-01,0.0,0.0
647564693872,2025-05-01,0.0,0.0
647564693872,2025-06-01,0.0,0.0
647564693872,2025-07-01,0.0,0.0
647564693872,2025-08-01,0.0,0.0
647564693872,2025-09-01,0.0,0.0
647564693872,2025-10-01,0.0,0.0
647564693872,2025-11-01,0.0,0.0
647564693872,2025-12-01,0.0,0.0
647564693872,2026-01-01,0.0,0.0
647564693872,2026-02-01,0.0,0.0
647564693872,2026-03-01,0.0,0.0
359716425895,2025-04-01,0.088,52727.31
359716425895,2025-05-01,0.09,54278.11
359716425895,2025-06-01,0.093,55828.92
359716425895,2025-07-01,0.096,57379.72
359716425895,2025-08-01,0.098,58930.52
359716425895,2025-09-01,0.101,60481.33
359716425895,2025-10-01,0.105,62807.53
359716425895,2025-11-01,0.11,65909.14
359716425895,2025-12-01,0.112,67459.94
359716425895,2026-01-01,0.116,69786.14
359716425895,2026-02-01,0.119,71336.95
359716425895,2026-03-01,0.123,73663.15
135329050410,2025-04-01,0.002,1163.1
135329050410,2025-05-01,0.002,1163.1
135329050410,2025-06-01,0.002,1163.1
135329050410,2025-07-01,0.002,1240.64
135329050410,2025-08-01,0.002,1240.64
135329050410,2025-09-01,0.002,1240.64
135329050410,2025-10-01,0.002,1240.64
135329050410,2025-11-01,0.002,1318.18
135329050410,2025-12-01,0.002,1318.18
135329050410,2026-01-01,0.002,1318.18
135329050410,2026-02-01,0.002,1318.18
135329050410,2026-03-01,0.002,1318.18
769263341944,2025-04-01,0.0,0.0
769263341944,2025-05-01,0.0,0.0
769263341944,2025-06-01,0.0,0.0
769263341944,2025-07-01,0.0,0.0
769263341944,2025-08-01,0.0,0.0
769263341944,2025-09-01,0.0,0.0
769263341944,2025-10-01,0.0,0.0
769263341944,2025-11-01,0.0,0.0
769263341944,2025-12-01,0.0,0.0
769263341944,2026-01-01,0.0,0.0
769263341944,2026-02-01,0.0,0.0
769263341944,2026-03-01,0.0,0.0
968032760053,2025-04-01,0.315,188965.37
968032760053,2025-05-01,0.318,190981.42
968032760053,2025-06-01,0.322,192997.46
968032760053,2025-07-01,0.202,121040.19
968032760053,2025-08-01,0.205,123133.78
968032760053,2025-09-01,0.209,125227.36
968032760053,2025-10-01,0.212,127320.94
968032760053,2025-11-01,0.216,129569.61
968032760053,2025-12-01,0.22,131740.73
968032760053,2026-01-01,0.226,135540.2
968032760053,2026-02-01,0.23,137788.87
968032760053,2026-03-01,0.234,140115.07
546818093346,2025-04-01,0.021,12639.05
546818093346,2025-05-01,0.021,12871.67
546818093346,2025-06-01,0.022,13026.75
546818093346,2025-07-01,0.0,0.0
546818093346,2025-08-01,0.0,0.0
546818093346,2025-09-01,0.0,0.0
546818093346,2025-10-01,0.0,0.0
546818093346,2025-11-01,0.0,0.0
546818093346,2025-12-01,0.0,0.0
546818093346,2026-01-01,0.0,0.0
546818093346,2026-02-01,0.0,0.0
546818093346,2026-03-01,0.0,0.0
211125515568,2025-04-01,0.047,27992.0
211125515568,2025-05-01,0.047,28379.7
211125515568,2025-06-01,0.048,28767.4
211125515568,2025-07-01,0.034,20160.44
211125515568,2025-08-01,0.034,20470.6
211125515568,2025-09-01,0.035,20780.76
211125515568,2025-10-01,0.035,21090.92
211125515568,2025-11-01,0.036,21478.62
211125515568,2025-12-01,0.036,21788.79
211125515568,2026-01-01,0.037,22176.49
211125515568,2026-02-01,0.037,22486.65
211125515568,2026-03-01,0.038,22874.35
608146213544,2025-04-01,0.0,0.0
608146213544,2025-05-01,0.0,0.0
608146213544,2025-06-01,0.0,0.0
608146213544,2025-07-01,0.0,0.0
608146213544,2025-08-01,0.0,0.0
608146213544,2025-09-01,0.0,0.0
608146213544,2025-10-01,0.0,0.0
608146213544,2025-11-01,0.0,0.0
608146213544,2025-12-01,0.0,0.0
608146213544,2026-01-01,0.0,0.0
608146213544,2026-02-01,0.0,0.0
608146213544,2026-03-01,0.0,0.0
439726107081,2025-04-01,0.003,1938.5
439726107081,2025-05-01,0.003,1938.5
439726107081,2025-06-01,0.003,1938.5
439726107081,2025-07-01,0.0,0.0
439726107081,2025-08-01,0.0,0.0
439726107081,2025-09-01,0.0,0.0
439726107081,2025-10-01,0.0,0.0
439726107081,2025-11-01,0.0,0.0
439726107081,2025-12-01,0.0,0.0
439726107081,2026-01-01,0.0,0.0
439726107081,2026-02-01,0.0,0.0
439726107081,2026-03-01,0.0,0.0
885068115609,2025-04-01,0.008,5040.11
885068115609,2025-05-01,0.008,5040.11
885068115609,2025-06-01,0.008,5040.11
885068115609,2025-07-01,0.008,5040.11
885068115609,2025-08-01,0.008,5040.11
885068115609,2025-09-01,0.008,5040.11
885068115609,2025-10-01,0.008,5040.11
885068115609,2025-11-01,0.008,5040.11
885068115609,2025-12-01,0.008,5040.11
885068115609,2026-01-01,0.008,5040.11
885068115609,2026-02-01,0.008,5040.11
885068115609,2026-03-01,0.008,5040.11
21891570382,2025-04-01,0.032,19385.04
21891570382,2025-05-01,0.033,19927.82
21891570382,2025-06-01,0.034,20470.6
21891570382,2025-07-01,0.035,21013.38
21891570382,2025-08-01,0.036,21556.16
21891570382,2025-09-01,0.037,22176.49
21891570382,2025-10-01,0.038,22796.81
21891570382,2025-11-01,0.039,23417.13
21891570382,2025-12-01,0.04,24037.45
21891570382,2026-01-01,0.041,24735.31
21891570382,2026-02-01,0.042,25433.17
21891570382,2026-03-01,0.044,26131.03
767397937234,2025-04-01,0.142,84977.04
767397937234,2025-05-01,0.167,100199.72
767397937234,2025-06-01,0.194,116222.62
767397937234,2025-07-01,0.089,53594.98
767397937234,2025-08-01,0.091,54542.52
767397937234,2025-09-01,0.093,55509.45
767397937234,2025-10-01,0.095,56906.72
767397937234,2025-11-01,0.101,60658.12
767397937234,2025-12-01,0.1,59785.01
767397937234,2026-01-01,0.102,61267.58
767397937234,2026-02-01,0.105,62779.62
767397937234,2026-03-01,0.107,64321.89
17820698743,2025-04-01,0.002,1163.1
17820698743,2025-05-01,0.002,1163.1
17820698743,2025-06-01,0.002,1163.1
17820698743,2025-07-01,0.002,1163.1
17820698743,2025-08-01,0.002,1163.1
17820698743,2025-09-01,0.002,1163.1
17820698743,2025-10-01,0.002,1163.1
17820698743,2025-11-01,0.002,1163.1
17820698743,2025-12-01,0.002,1163.1
17820698743,2026-01-01,0.002,1163.1
17820698743,2026-02-01,0.002,1163.1
17820698743,2026-03-01,0.002,1163.1
339712759199,2025-04-01,0.0,0.0
339712759199,2025-05-01,0.0,0.0
339712759199,2025-06-01,0.0,0.0
339712759199,2025-07-01,0.0,0.0
339712759199,2025-08-01,0.0,0.0
339712759199,2025-09-01,0.0,0.0
339712759199,2025-10-01,0.0,0.0
339712759199,2025-11-01,0.0,0.0
339712759199,2025-12-01,0.0,0.0
339712759199,2026-01-01,0.0,0.0
339712759199,2026-02-01,0.0,0.0
339712759199,2026-03-01,0.0,0.0
746682193773,2025-04-01,0.0,0.0
746682193773,2025-05-01,0.0,0.0
