service_id,service_type,month,spend
17,DocumentDB (with MongoDB compatibility),2025-01-01,18726.7681
17,DocumentDB (with MongoDB compatibility),2025-02-01,17108.5814
17,DocumentDB (with MongoDB compatibility),2025-03-01,16209.3513
18,Elastic Container Service for Kubernetes,2024-04-01,21348.86
18,Elastic Container Service for Kubernetes,2024-05-01,17744.7998
18,Elastic Container Service for Kubernetes,2024-06-01,16413.8334
18,Elastic Container Service for Kubernetes,2024-07-01,17459.6514
18,Elastic Container Service for Kubernetes,2024-08-01,18284.1019
18,Elastic Container Service for Kubernetes,2024-09-01,15514.9528
18,Elastic Container Service for Kubernetes,2024-10-01,14744.4972
18,Elastic Container Service for Kubernetes,2024-11-01,15104.2957
18,Elastic Container Service for Kubernetes,2024-12-01,19305.2647
18,Elastic Container Service for Kubernetes,2025-01-01,17660.5135
18,Elastic Container Service for Kubernetes,2025-02-01,14999.5473
18,Elastic Container Service for Kubernetes,2025-03-01,17016.6165
19,IoT Device Management,2024-04-01,13597.342
19,IoT Device Management,2024-05-01,12747.8637
19,IoT Device Management,2024-06-01,10302.7001
19,IoT Device Management,2024-07-01,10963.1224
19,IoT Device Management,2024-08-01,11159.5841
19,IoT Device Management,2024-09-01,12255.6271
19,IoT Device Management,2024-10-01,13861.8588
19,IoT Device Management,2024-11-01,12164.7816
19,IoT Device Management,2024-12-01,10940.7867
19,IoT Device Management,2025-01-01,14597.4813
19,IoT Device Management,2025-02-01,11625.4523
19,IoT Device Management,2025-03-01,11774.356
20,Elastic File System,2024-04-01,10351.779
20,Elastic File System,2024-05-01,9383.0063
20,Elastic File System,2024-06-01,7483.4083
20,Elastic File System,2024-07-01,6643.4565
20,Elastic File System,2024-08-01,6883.4491
20,Elastic File System,2024-09-01,6526.7466
20,Elastic File System,2024-10-01,6430.2828
20,Elastic File System,2024-11-01,8090.6576
20,Elastic File System,2024-12-01,16884.4765
20,Elastic File System,2025-01-01,17667.51
20,Elastic File System,2025-02-01,16798.8486
20,Elastic File System,2025-03-01,17852.1382
21,Managed Streaming for Apache Kafka,2024-04-01,12936.9511
21,Managed Streaming for Apache Kafka,2024-05-01,13175.4708
21,Managed Streaming for Apache Kafka,2024-06-01,12817.1388
21,Managed Streaming for Apache Kafka,2024-07-01,13440.141
21,Managed Streaming for Apache Kafka,2024-08-01,12229.6151
21,Managed Streaming for Apache Kafka,2024-09-01,9016.9082
21,Managed Streaming for Apache Kafka,2024-10-01,9100.9602
21,Managed Streaming for Apache Kafka,2024-11-01,8691.26
21,Managed Streaming for Apache Kafka,2024-12-01,8930.7598
21,Managed Streaming for Apache Kafka,2025-01-01,8902.768
21,Managed Streaming for Apache Kafka,2025-02-01,8268.652
21,Managed Streaming for Apache Kafka,2025-03-01,8899.1542
22,Direct Connect,2024-04-01,7895.0317
22,Direct Connect,2024-05-01,8224.1138
22,Direct Connect,2024-06-01,7390.004
22,Direct Connect,2024-07-01,6942.6563
22,Direct Connect,2024-08-01,6040.9082
22,Direct Connect,2024-09-01,5635.5526
22,Direct Connect,2024-10-01,8286.1084
22,Direct Connect,2024-11-01,5614.815
22,Direct Connect,2024-12-01,5969.6556
22,Direct Connect,2025-01-01,6082.9135
22,Direct Connect,2025-02-01,5787.6525
22,Direct Connect,2025-03-01,3831.9056
23,EC2 Container Registry (ECR),2024-04-01,5232.7571
23,EC2 Container Registry (ECR),2024-05-01,5567.1685
23,EC2 Container Registry (ECR),2024-06-01,5847.2566
23,EC2 Container Registry (ECR),2024-07-01,6103.231
23,EC2 Container Registry (ECR),2024-08-01,6273.657
23,EC2 Container Registry (ECR),2024-09-01,6321.0109
23,EC2 Container Registry (ECR),2024-10-01,6438.6655
23,EC2 Container Registry (ECR),2024-11-01,6593.0424
23,EC2 Container Registry (ECR),2024-12-01,6794.4687
23,EC2 Container Registry (ECR),2025-01-01,6990.47
23,EC2 Container Registry (ECR),2025-02-01,7225.6669
23,EC2 Container Registry (ECR),2025-03-01,7358.3634
24,Route 53,2024-04-01,4450.3339
24,Route 53,2024-05-01,4668.5527
24,Route 53,2024-06-01,4482.0493
24,Route 53,2024-07-01,4617.6625
24,Route 53,2024-08-01,4587.7933
24,Route 53,2024-09-01,4278.0986
24,Route 53,2024-10-01,4450.6409
24,Route 53,2024-11-01,4117.1413
24,Route 53,2024-12-01,4310.5388
24,Route 53,2025-01-01,4632.2227
24,Route 53,2025-02-01,4159.3406
24,Route 53,2025-03-01,4482.9522
25,Network Firewall,2024-04-01,4831.4165
25,Network Firewall,2024-05-01,4424.2978
25,Network Firewall,2024-06-01,4434.0108
25,Network Firewall,2024-07-01,3711.2841
25,Network Firewall,2024-08-01,3609.0729
25,Network Firewall,2024-09-01,3235.0433
25,Network Firewall,2024-10-01,3353.15
25,Network Firewall,2024-11-01,3256.9753
25,Network Firewall,2024-12-01,3365.4273
