account_id,service_name,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,total_cost
054736913503,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Elastic Load Balancing,3.53,3.53,3.56,3.56,2.82,3.56,3.56,24.12
054736913503,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,AWS Secrets Manager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,AWS Backup,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
054736913503,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Simple Storage Service,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.26
054736913503,EC2 - Other,11.4,11.4,11.75,11.65,8.4,11.48,11.47,77.55
054736913503,Amazon Elastic File System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon DynamoDB,0.21,0.21,0.21,0.21,0.17,0.21,0.21,1.43
054736913503,AWS Key Management Service,0.14,0.14,0.14,0.14,0.11,0.14,0.13,0.94
054736913503,Amazon CloudFront,0,0,0.0,0.0,0,0,0,0.0
054736913503,Amazon Elastic Container Service for Kubernetes,4.8,4.8,4.8,4.8,3.8,4.8,4.8,32.6
054736913503,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Route 53,0,0,0,0,0,0.1,0,0.1
054736913503,AWS Cost Explorer,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35
054736913503,Amazon ElastiCache,2.01,2.02,2.01,2.01,1.59,2.01,2.01,13.66
054736913503,Amazon EC2 Container Registry (ECR),2.86,2.86,2.87,2.87,2.27,2.77,2.77,19.27
054736913503,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Elastic Compute Cloud - Compute,6.95,6.95,7.5,7.5,5.93,7.5,7.49,49.82
064619502227,AmazonCloudWatch,10.87,8.31,5.87,6.04,5.13,12.5,11.99,60.71
064619502227,CloudWatch Events,0,0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,Amazon Virtual Private Cloud,20.89,20.89,21.37,21.36,16.98,21.31,21.3,144.1
064619502227,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,AWS Service Catalog,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.04
064619502227,Amazon Elastic Load Balancing,7.53,7.23,7.6,7.59,6.09,7.63,7.64,51.31
064619502227,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,AWS Secrets Manager,1.16,1.15,1.16,1.11,0.92,1.13,1.11,7.74
064619502227,AWS Glue,0.06,0.1,0.07,0.07,0.06,0.06,0.03,0.45
064619502227,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,Amazon Simple Storage Service,1.15,0.74,1.13,1.16,1.04,1.05,1.06,7.33
064619502227,EC2 - Other,35.14,31.85,36.3,36.55,20.41,34.6,34.28,229.13
064619502227,Amazon Elastic File System,0.0,0.0,0.29,0.09,0.07,0.16,0.02,0.63
064619502227,Amazon DynamoDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,AWS Key Management Service,0.24,0.24,0.24,0.24,0.18,0.24,0.23,1.61
064619502227,Amazon Elastic Container Service for Kubernetes,4.8,4.8,4.8,4.8,3.8,4.8,4.8,32.6
064619502227,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,Amazon Route 53,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
064619502227,AWS Cost Explorer,0.1,0.09,0.09,0.1,0.08,0.09,0.09,0.64
064619502227,Amazon EC2 Container Registry (ECR),1.51,1.51,1.51,1.51,1.2,1.46,1.46,10.16
064619502227,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064619502227,Amazon Elastic Compute Cloud - Compute,21.18,19.72,23.97,23.52,19.52,23.45,22.98,154.34
066548792077,AmazonCloudWatch,0.22,0.22,0.23,0.23,0.18,0.23,0.24,1.55
066548792077,CloudWatch Events,0,0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon Virtual Private Cloud,12.79,12.79,12.8,12.8,10.2,12.8,12.82,87.0
066548792077,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,AWS Service Catalog,0.06,0.04,0.09,0.09,0.05,0.0,0.0,0.33
066548792077,Amazon Elastic Load Balancing,4.04,4.05,4.07,4.06,3.22,4.08,4.15,27.67
066548792077,AWS IoT,0.0,0.0,0.09,0.01,0.01,0.02,0.03,0.16
066548792077,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,AWS Secrets Manager,1.07,1.06,1.06,1.02,0.85,1.04,1.02,7.12
066548792077,AWS Backup,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
066548792077,AWS IoT Device Defender,0.0,0.0,0.08,0.08,0.08,0.19,0.12,0.55
066548792077,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon Simple Storage Service,0.28,0.27,0.28,0.27,0.27,0.27,0.26,1.9
066548792077,AWS IoT Analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,EC2 - Other,7.01,7.01,7.43,7.06,5.63,7.64,7.84,49.62
066548792077,Amazon Elastic File System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon DynamoDB,0.1,0.1,0.1,0.08,0.02,1.36,0.02,1.78
066548792077,AWS Key Management Service,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.48
066548792077,Amazon Elastic Container Service for Kubernetes,2.4,2.4,2.4,2.4,1.9,2.4,2.4,16.3
066548792077,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon Route 53,0,0,0,0,0,0.2,0,0.2
066548792077,AWS Cost Explorer,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.49
066548792077,Amazon Kinesis Firehose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon EC2 Container Registry (ECR),1.16,1.16,1.17,1.18,0.94,1.15,1.15,7.91
066548792077,Amazon Simple Queue Service,0.99,0.99,0.99,0.72,0.9,1.09,1.09,6.77
066548792077,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066548792077,Amazon Elastic Compute Cloud - Compute,9.78,9.78,10.94,9.23,8.18,9.01,9.01,65.93
066548792077,AWS IoT Device Management,0.0,0.0,0.01,0.01,0.01,0.02,0.06,0.11
066548792077,Amazon Glacier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,AmazonCloudWatch,0.7,0.7,0.72,0.71,0.56,0.89,0.89,5.17
066636274316,CloudWatch Events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,Amazon Virtual Private Cloud,11.72,11.72,11.72,11.72,9.28,11.72,11.72,79.6
066636274316,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,AWS Service Catalog,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.04
066636274316,Amazon Elastic Load Balancing,6.29,6.05,6.17,6.19,5.03,6.18,6.15,42.06
066636274316,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,AWS Secrets Manager,0.01,0.01,0.02,0.03,0.02,0.03,0.03,0.15
066636274316,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,Amazon Simple Storage Service,9.31,9.31,9.94,10.4,15.74,10.81,9.79,75.3
066636274316,EC2 - Other,18.6,19.43,19.76,18.83,12.83,17.04,18.51,125.0
066636274316,Amazon DynamoDB,0.16,0.16,0.16,0.16,0.13,0.16,0.16,1.09
066636274316,AWS Key Management Service,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07
066636274316,Amazon Lightsail,8.32,8.32,8.32,8.32,6.54,11.31,8.31,59.44
066636274316,Amazon CloudFront,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.03
