Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
DynamoDB Accelerator (DAX)($),106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32,106.32
QuickSight($),90.110667336,90.110667336,90.6440006736,90.9106673424,90.9106673424,90.9106673424,90.9106673424,91.2106673448,91.7106673488,91.7106673488,91.7106673488,91.7106673488,91.7106673488,91.7106673488,91.7106673488,91.7106673488,91.7106673488
Network Firewall($),90.7219218101,90.2920520411,90.0523901096,90.3094128323,90.287279679,90.0780591645,90.2718394886,90.2215868516,90.9742813467,90.2670948302,90.0057170897,90.2812600671,90.3344021427,90.3974635484,90.5603897953,90.5198162289,90.8027605325
Config($),127.258,105.647,128.795,83.093,40.402,71.3,101.289,135.66,88.43,89.293,114.219,51.865,62.065,71.998,83.782,72.496,67.512
Direct Connect($),84.9454225997,84.9453254498,85.4555600162,85.2792536982,84.9853565163,85.1662129394,85.1324497429,85.0430763444,85.2741785751,85.169292783,85.0505781261,85.4027557459,85.3076144116,85.226086458,85.1794873674,85.1529175844,85.1717692119
SUSE Linux Enterprise Server for SAP Applications 15 SP1($),81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744
Lambda($),66.1593454624,73.9117475261,73.4602927086,74.1452838318,74.5252179095,72.4193134332,74.6902066099,79.5952737826,80.2791600931,73.6597546334,74.6991831479,74.3306472159,74.8452277844,71.8165381022,73.114563775,75.8419834206,74.1254966394
GuardDuty($),69.9333894213,67.8583039774,67.7758533555,68.0281329858,64.478268021,63.7436820895,67.9954374854,67.5148345539,67.6276769011,63.6101085021,50.5048853022,47.251355633,46.8494973867,49.7368765393,50.3632506352,49.9839673672,50.0892613596
Transfer Family($),57.7501470825,57.6054498097,57.6056753067,57.6058718186,57.6053348067,57.6030344774,57.6076454136,57.7707464658,57.7046266624,57.6052467869,57.6059220654,57.6029086088,57.6028826024,57.6086785641,57.7733437928,57.6057845805,57.6053628531
WorkSpaces($),786.4,6.72,7.56,8.82,2.94,,13.02,10.08,9.24,10.08,7.98,,,4.2,4.62,7.14,8.4
VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG)($),51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84,51.84
Rekognition($),69.6990656,73.2128156,72.4828156,70.0803156,70.5715656,26.5665656,70.2753156,119.5315656,22.8940656,34.0553156,32.8603156,30.5790656,10.8290656,23.3828156,30.4453156,35.4103156,32.3090656
Textract($),54.0885,69.4995,64.3065,54.2895,44.4315,25.461,43.0965,40.08,40.692,50.1495,47.835,44.4105,22.1895,34.2135,40.032,50.1495,44.6145
