account_id,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
753168370952,  23.2568 K,  23.9545 K,  24.6731 K,  25.4133 K,  26.1757 K,  26.9610 K,  27.7698 K,  28.6029 K,  29.4610 K,  30.3448 K,  31.2552 K,  32.1928 K
522974168642,  16.4959 K,  16.9907 K,  17.5005 K,  18.0255 K,  18.5663 K,  19.1232 K,  19.6969 K,  20.2878 K,  20.8965 K,  21.5234 K,  22.1691 K,  22.8341 K
722152247093,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K,  2.5503 K
66636274316,  3.6004 K,  3.6364 K,  3.6728 K,  3.7095 K,  3.7466 K,  3.7840 K,  3.8219 K,  3.8601 K,  3.8987 K,  3.9377 K,  3.9771 K,  4.0168 K
824873459626,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K,  1.4767 K
475919677060,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
239666495852,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K,  0.5919 K
605458724602,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
663804405009,,,,,,,,,,,,
155772818492,,,,,,,,,,,,
368920154232,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K,  1.7609 K
985226307906,,,,,,,,,,,,
538615689396,,,,,,,,,,,,
269350686318,,,,,,,,,,,,
477161539263,,,,,,,,,,,,
475804058290,,,,,,,,,,,,
474140895141,,,,,,,,,,,,
318633126153,,,,,,,,,,,,
367464822874,,,,,,,,,,,,
407648374860,  7.3000 K,  7.4000 K,  7.4000 K,  7.5000 K,  7.6000 K,  7.6000 K,  7.7000 K,  7.8000 K,  7.8000 K,  7.9000 K,  8.0000 K,  8.1000 K
251917288737,  13.1000 K,  13.2000 K,  13.3000 K,  13.4000 K,  13.5000 K,  13.6000 K,  13.7000 K,  13.8000 K,  13.9000 K,  14.0000 K,  14.1000 K,  14.2000 K
755560366148,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K,  64.0000 K
2637409966,  190.0000 K,  190.0000 K,  190.0000 K,  195.0000 K,  195.0000 K,  195.0000 K,  195.0000 K,  195.0000 K,  195.0000 K,  200.0000 K,  200.0000 K,  200.0000 K
210577074618,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K,  40.0000 K
58264205572,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K
752518464574,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  24.0000 K,  24.0000 K,  24.0000 K,  24.0000 K,  24.0000 K,  24.0000 K
518207312579,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
615069360012,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K
685585466397,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K
952840895893,  7.0000 K,  7.0000 K,  7.0000 K,  7.0000 K,  7.0000 K,  7.0000 K,  8.0000 K,  8.0000 K,  8.0000 K,  8.0000 K,  8.0000 K,  8.0000 K
471112938013,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
337891198417,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K,  250.0000 K
654654208887,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K
851725259328,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K,  2.5000 K
975050351452,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K
767397827620,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K
654654394550,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K,  1.0000 K
637423614657,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  22.0000 K,  23.0000 K,  23.0000 K,  23.0000 K,  23.0000 K,  23.0000 K,  23.0000 K
898496923608,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K,  109.4030 K
659606126372,  47.4000 K,  47.7000 K,  48.1000 K,  48.9000 K,  49.8000 K,  50.7000 K,  51.6000 K,  52.5000 K,  53.4000 K,  54.4000 K,  55.5000 K,  56.6000 K
899249751508,  135.5000 K,  138.2000 K,  141.0000 K,  143.8000 K,  146.7000 K,  149.6000 K,  152.6000 K,  155.6000 K,  158.8000 K,  161.9000 K,  165.2000 K,  168.5000 K
705108899578,  95.6000 K,  57.5000 K,  50.7000 K,  51.7000 K,  52.7000 K,  53.8000 K,  54.8000 K,  55.9000 K,  57.1000 K,  58.2000 K,  59.4000 K,  60.6000 K
479671683529,  42.6000 K,  43.5000 K,  44.3000 K,  45.2000 K,  46.1000 K,  47.0000 K,  48.0000 K,  48.9000 K,  49.9000 K,  50.9000 K,  51.9000 K,  53.0000 K
564188254156,  86.9000 K,  87.6000 K,  88.2000 K,  89.8000 K,  91.3000 K,  92.9000 K,  94.6000 K,  96.2000 K,  97.9000 K,  99.9000 K,  101.9000 K,  103.9000 K
340077773684,  236.6000 K,  238.9000 K,  241.3000 K,  245.6000 K,  249.9000 K,  254.2000 K,  258.7000 K,  263.2000 K,  267.8000 K,  273.2000 K,  278.6000 K,  284.2000 K
75790327284,  112.6000 K,  116.0000 K,  119.5000 K,  123.0000 K,  126.7000 K,  130.5000 K,  133.2000 K,  137.1000 K,  141.3000 K,  145.5000 K,  149.9000 K,  154.4000 K
576293063887,  16.0004 K,  16.5000 K,  17.0000 K,  17.5000 K,  17.6000 K,  18.0000 K,  18.5000 K,  19.0000 K,  19.1000 K,  19.2000 K,  19.3000 K,  19.5000 K
718893572916,  3.5049 K,  3.5750 K,  3.6465 K,  3.7194 K,  3.7938 K,  3.8697 K,  3.9471 K,  4.0260 K,  4.1066 K,  4.1887 K,  4.2725 K,  4.3579 K
510772292268,  1.5000 K,  1.5000 K,  1.6000 K,  1.6000 K,  1.7000 K,  1.7000 K,  1.8000 K,  1.8000 K,  1.9000 K,  2.0000 K,  2.0000 K,  2.1000 K
471112958605,  2.4000 K,  2.4000 K,  2.4000 K,  2.4000 K,  2.5000 K,  2.5000 K,  2.6000 K,  2.6000 K,  2.7000 K,  2.7000 K,  2.8000 K,  2.8000 K
153518195166,  1.5000 K,  1.5000 K,  1.6000 K,  1.6000 K,  1.6000 K,  1.6000 K,  1.6000 K,  1.6000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K
481935107677,  2.0000 K,  2.1000 K,  2.1000 K,  2.2000 K,  2.3000 K,  2.3000 K,  2.4000 K,  2.5000 K,  2.5000 K,  2.6000 K,  2.7000 K,  2.8000 K
